sample_id,mode,audio_path,spk1_path,spk2_path,map_path,preview_path,channels,label_type
SyntheticHeavyOverlap_dev_01,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_01_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_01_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_01_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_01.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_01.png,log_mel|overlap_proxy|uncertainty_proxy,deployable
SyntheticHeavyOverlap_dev_02,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_02_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_02_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_02_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_02.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_02.png,log_mel|overlap_proxy|uncertainty_proxy,deployable
SyntheticHeavyOverlap_dev_03,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_03_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_03_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_03_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_03.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_03.png,log_mel|overlap_proxy|uncertainty_proxy,deployable
SyntheticHeavyOverlap_dev_04,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_04_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_04_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_04_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_04.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_04.png,log_mel|overlap_proxy|uncertainty_proxy,deployable
SyntheticHeavyOverlap_dev_05,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_05_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_05_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_05_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_05.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_05.png,log_mel|overlap_proxy|uncertainty_proxy,deployable
SyntheticHeavyOverlap_dev_06,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_06_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_06_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_06_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_06.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_06.png,log_mel|overlap_proxy|uncertainty_proxy,deployable
SyntheticHeavyOverlap_dev_07,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_07_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_07_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_07_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_07.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_07.png,log_mel|overlap_proxy|uncertainty_proxy,deployable
SyntheticHeavyOverlap_dev_08,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_08_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_08_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_08_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_08.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_08.png,log_mel|overlap_proxy|uncertainty_proxy,deployable
SyntheticHeavyOverlap_dev_09,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_09_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_09_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_09_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_09.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_09.png,log_mel|overlap_proxy|uncertainty_proxy,deployable
SyntheticHeavyOverlap_dev_10,deployable,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_10_mixed.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_10_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticHeavyOverlap/SyntheticHeavyOverlap_dev_10_spk2.wav,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_10.npy,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_10.png,log_mel|overlap_proxy|uncertainty_proxy,deployable
