resample,threshold,oob_cpwer,n_oob,n_escalated_oob,oob_fraction,escalation_fraction_oob
0,0.01,0.820561,30,26,0.38961,0.866667
1,0.01,0.765367,31,26,0.402597,0.83871
2,0.01,0.747084,33,28,0.428571,0.848485
3,0.01,0.68506,30,25,0.38961,0.833333
4,0.01,0.694502,28,23,0.363636,0.821429
5,0.01,0.769561,30,23,0.38961,0.766667
6,0.01,0.75193,27,22,0.350649,0.814815
7,0.01,0.772974,27,24,0.350649,0.888889
8,0.01,0.798734,26,20,0.337662,0.769231
9,0.01,0.841001,28,23,0.363636,0.821429
10,0.01,0.746769,29,25,0.376623,0.862069
11,0.01,0.741221,27,25,0.350649,0.925926
12,0.01,0.7225,32,27,0.415584,0.84375
13,0.01,0.763867,27,21,0.350649,0.777778
14,0.01,0.688177,28,22,0.363636,0.785714
15,0.01,0.720671,25,22,0.324675,0.88
16,0.01,0.780065,29,23,0.376623,0.793103
17,0.01,0.717695,26,22,0.337662,0.846154
18,0.01,0.676616,29,26,0.376623,0.896552
19,0.01,0.859,26,22,0.337662,0.846154
20,0.01,0.771611,24,19,0.311688,0.791667
21,0.01,0.784934,30,25,0.38961,0.833333
22,0.01,0.816568,26,20,0.337662,0.769231
23,0.01,0.807804,25,20,0.324675,0.8
24,0.01,0.878754,27,22,0.350649,0.814815
25,0.01,0.791872,31,25,0.402597,0.806452
26,0.01,0.713759,27,19,0.350649,0.703704
27,0.01,0.783736,31,27,0.402597,0.870968
28,0.01,0.784985,29,23,0.376623,0.793103
29,0.01,0.831414,23,20,0.298701,0.869565
30,0.01,0.706865,26,19,0.337662,0.730769
31,0.01,0.777518,29,25,0.376623,0.862069
32,0.01,0.725859,29,25,0.376623,0.862069
33,0.01,0.758152,28,24,0.363636,0.857143
34,0.01,0.822981,30,25,0.38961,0.833333
35,0.01,0.797666,25,23,0.324675,0.92
36,0.01,0.781537,32,28,0.415584,0.875
37,0.01,0.834676,28,22,0.363636,0.785714
38,0.01,0.799658,29,25,0.376623,0.862069
39,0.01,0.802161,29,24,0.376623,0.827586
40,0.01,0.744184,28,23,0.363636,0.821429
41,0.01,0.710071,30,24,0.38961,0.8
42,0.01,0.857466,29,25,0.376623,0.862069
43,0.01,0.830662,32,26,0.415584,0.8125
44,0.01,0.833536,22,19,0.285714,0.863636
45,0.01,0.736406,28,26,0.363636,0.928571
46,0.01,0.755649,28,23,0.363636,0.821429
47,0.01,0.762198,25,19,0.324675,0.76
48,0.01,0.803521,29,21,0.376623,0.724138
49,0.01,0.791229,28,25,0.363636,0.892857
50,0.01,0.842897,24,20,0.311688,0.833333
51,0.01,0.757231,31,28,0.402597,0.903226
52,0.01,0.754785,26,21,0.337662,0.807692
53,0.01,0.804013,28,24,0.363636,0.857143
54,0.01,0.696436,23,21,0.298701,0.913043
55,0.01,0.840732,30,27,0.38961,0.9
56,0.01,0.826302,25,21,0.324675,0.84
57,0.01,0.846803,30,24,0.38961,0.8
58,0.01,0.750683,25,21,0.324675,0.84
59,0.01,0.758585,31,23,0.402597,0.741935
60,0.01,0.730356,34,29,0.441558,0.852941
61,0.01,0.815039,25,18,0.324675,0.72
62,0.01,0.746997,31,25,0.402597,0.806452
63,0.01,0.741114,26,20,0.337662,0.769231
64,0.01,0.780108,29,22,0.376623,0.758621
65,0.01,0.725433,24,21,0.311688,0.875
66,0.01,0.783594,26,21,0.337662,0.807692
67,0.01,0.783636,27,22,0.350649,0.814815
68,0.01,0.709609,26,19,0.337662,0.730769
69,0.01,0.796824,30,25,0.38961,0.833333
70,0.01,0.773025,33,28,0.428571,0.848485
71,0.01,0.897939,24,19,0.311688,0.791667
72,0.01,0.821862,26,24,0.337662,0.923077
73,3.22,0.979382,28,19,0.363636,0.678571
74,0.01,0.775732,35,30,0.454545,0.857143
75,0.01,0.762706,32,25,0.415584,0.78125
76,0.01,0.771281,29,27,0.376623,0.931034
77,0.01,0.744534,31,29,0.402597,0.935484
78,0.01,0.70585,23,19,0.298701,0.826087
79,0.01,0.900109,26,23,0.337662,0.884615
80,0.01,0.730708,25,21,0.324675,0.84
81,0.01,0.787729,25,22,0.324675,0.88
82,0.01,0.814837,25,22,0.324675,0.88
83,0.01,0.746063,23,21,0.298701,0.913043
84,0.01,0.761946,25,24,0.324675,0.96
85,0.01,0.857677,26,21,0.337662,0.807692
86,0.01,0.767159,28,22,0.363636,0.785714
87,0.01,0.715743,34,27,0.441558,0.794118
88,0.01,0.751301,34,30,0.441558,0.882353
89,0.01,0.761174,33,27,0.428571,0.818182
90,0.01,0.695761,30,25,0.38961,0.833333
91,0.01,0.749288,27,22,0.350649,0.814815
92,0.01,0.806277,25,22,0.324675,0.88
93,0.01,0.859592,22,17,0.285714,0.772727
94,0.01,0.877527,27,20,0.350649,0.740741
95,0.01,0.810637,32,25,0.415584,0.78125
96,0.01,0.830633,25,20,0.324675,0.8
97,0.01,0.83211,25,19,0.324675,0.76
98,0.01,0.801375,28,26,0.363636,0.928571
99,0.01,0.768952,29,24,0.376623,0.827586
100,0.01,0.786453,25,19,0.324675,0.76
101,0.01,0.774389,27,22,0.350649,0.814815
102,0.01,0.741546,28,25,0.363636,0.892857
103,0.01,0.748107,31,26,0.402597,0.83871
104,3.22,0.969662,26,17,0.337662,0.653846
105,0.01,0.683141,27,24,0.350649,0.888889
106,0.01,0.845614,30,24,0.38961,0.8
107,0.01,0.676653,30,27,0.38961,0.9
108,0.01,0.80468,27,24,0.350649,0.888889
109,0.01,0.780178,30,25,0.38961,0.833333
110,0.01,0.722981,30,28,0.38961,0.933333
111,0.01,0.812356,26,22,0.337662,0.846154
112,0.01,0.763533,30,25,0.38961,0.833333
113,3.22,0.94026,27,20,0.350649,0.740741
114,0.01,0.80642,30,23,0.38961,0.766667
115,0.01,0.828189,33,27,0.428571,0.818182
116,0.01,0.789419,32,26,0.415584,0.8125
117,0.01,0.781082,28,24,0.363636,0.857143
118,0.01,0.77571,27,22,0.350649,0.814815
119,0.01,0.758242,28,22,0.363636,0.785714
120,0.01,0.690277,29,23,0.376623,0.793103
121,0.01,0.77094,33,26,0.428571,0.787879
122,0.01,0.809131,31,25,0.402597,0.806452
123,3.22,0.930077,27,18,0.350649,0.666667
124,0.01,0.770391,32,28,0.415584,0.875
125,0.01,0.760075,23,20,0.298701,0.869565
126,0.01,0.736586,28,22,0.363636,0.785714
127,3.22,0.91833,30,22,0.38961,0.733333
128,0.01,0.813981,32,25,0.415584,0.78125
129,0.01,0.819399,27,20,0.350649,0.740741
130,0.01,0.745656,30,26,0.38961,0.866667
131,0.01,0.774612,31,25,0.402597,0.806452
132,0.01,0.755693,33,29,0.428571,0.878788
133,0.01,0.77849,28,25,0.363636,0.892857
134,0.01,0.809541,29,24,0.376623,0.827586
135,0.01,0.77212,28,25,0.363636,0.892857
