con,pro,overlap_ratio,sep2_cer,catastrophic
con_001,pro_001,0.1,0.176471,0
con_001,pro_002,0.1,22.3,1
con_001,pro_003,0.1,14.866667,1
con_001,pro_004,0.1,0.684211,0
con_001,pro_005,0.1,0.333333,0
con_001,pro_006,0.1,10.125,1
con_001,pro_007,0.1,0.222222,0
con_001,pro_008,0.1,0.0,0
con_001,pro_009,0.1,0.375,0
con_001,pro_010,0.1,0.105263,0
con_001,pro_011,0.1,0.666667,0
con_001,pro_012,0.1,0.875,0
con_001,pro_013,0.1,0.444444,0
con_001,pro_014,0.1,0.818182,0
con_001,pro_015,0.1,0.428571,0
con_002,pro_001,0.1,0.176471,0
con_002,pro_002,0.1,22.3,1
con_002,pro_003,0.1,0.6,0
con_002,pro_004,0.1,0.631579,0
con_002,pro_005,0.1,0.333333,0
con_002,pro_006,0.1,21.0,1
con_002,pro_007,0.1,0.222222,0
con_002,pro_008,0.1,0.3,0
con_002,pro_009,0.1,0.375,0
con_002,pro_010,0.1,0.157895,0
con_002,pro_011,0.1,13.166667,1
con_002,pro_012,0.1,0.625,0
con_002,pro_013,0.1,0.333333,0
con_002,pro_014,0.1,0.636364,0
con_002,pro_015,0.1,0.285714,0
con_003,pro_001,0.1,0.176471,0
con_003,pro_002,0.1,0.2,0
con_003,pro_003,0.1,0.6,0
con_003,pro_004,0.1,0.631579,0
con_003,pro_005,0.1,0.333333,0
con_003,pro_006,0.1,1.0,0
con_003,pro_007,0.1,0.444444,0
con_003,pro_008,0.1,0.1,0
con_003,pro_009,0.1,0.375,0
con_003,pro_010,0.1,0.157895,0
con_003,pro_011,0.1,0.666667,0
con_003,pro_012,0.1,0.875,0
con_003,pro_013,0.1,0.222222,0
con_003,pro_014,0.1,0.727273,0
con_003,pro_015,0.1,0.285714,0
con_004,pro_001,0.1,0.176471,0
con_004,pro_002,0.1,0.2,0
con_004,pro_003,0.1,0.6,0
con_004,pro_004,0.1,0.631579,0
con_004,pro_005,0.1,0.333333,0
con_004,pro_006,0.1,1.0,0
con_004,pro_007,0.1,0.444444,0
con_004,pro_008,0.1,0.1,0
con_004,pro_009,0.1,0.375,0
con_004,pro_010,0.1,0.157895,0
con_004,pro_011,0.1,0.666667,0
con_004,pro_012,0.1,0.875,0
con_004,pro_013,0.1,0.222222,0
con_004,pro_014,0.1,0.727273,0
con_004,pro_015,0.1,0.285714,0
con_005,pro_001,0.1,0.176471,0
con_005,pro_002,0.1,1.7,1
con_005,pro_003,0.1,0.6,0
con_005,pro_004,0.1,0.263158,0
con_005,pro_005,0.1,0.333333,0
con_005,pro_006,0.1,24.25,1
con_005,pro_007,0.1,0.222222,0
con_005,pro_008,0.1,0.3,0
con_005,pro_009,0.1,0.375,0
con_005,pro_010,0.1,0.105263,0
con_005,pro_011,0.1,0.666667,0
con_005,pro_012,0.1,0.875,0
con_005,pro_013,0.1,0.444444,0
con_005,pro_014,0.1,0.818182,0
con_005,pro_015,0.1,0.285714,0
con_006,pro_001,0.1,0.176471,0
con_006,pro_002,0.1,1.7,1
con_006,pro_003,0.1,0.6,0
con_006,pro_004,0.1,0.263158,0
con_006,pro_005,0.1,0.333333,0
con_006,pro_006,0.1,24.25,1
con_006,pro_007,0.1,0.222222,0
con_006,pro_008,0.1,0.3,0
con_006,pro_009,0.1,0.375,0
con_006,pro_010,0.1,0.105263,0
con_006,pro_011,0.1,0.666667,0
con_006,pro_012,0.1,0.875,0
con_006,pro_013,0.1,0.444444,0
con_006,pro_014,0.1,0.818182,0
con_006,pro_015,0.1,0.285714,0
con_007,pro_001,0.1,0.235294,0
con_007,pro_002,0.1,0.3,0
con_007,pro_003,0.1,0.6,0
con_007,pro_004,0.1,0.578947,0
con_007,pro_005,0.1,0.333333,0
con_007,pro_006,0.1,10.25,1
con_007,pro_007,0.1,0.222222,0
con_007,pro_008,0.1,0.4,0
con_007,pro_009,0.1,0.0625,0
con_007,pro_010,0.1,0.105263,0
con_007,pro_011,0.1,0.666667,0
con_007,pro_012,0.1,0.875,0
con_007,pro_013,0.1,0.444444,0
con_007,pro_014,0.1,0.818182,0
con_007,pro_015,0.1,0.285714,0
con_008,pro_001,0.1,0.176471,0
con_008,pro_002,0.1,0.2,0
con_008,pro_003,0.1,0.6,0
con_008,pro_004,0.1,0.631579,0
con_008,pro_005,0.1,0.333333,0
con_008,pro_006,0.1,0.875,0
con_008,pro_007,0.1,0.222222,0
con_008,pro_008,0.1,0.4,0
con_008,pro_009,0.1,0.375,0
con_008,pro_010,0.1,0.105263,0
con_008,pro_011,0.1,0.75,0
con_008,pro_012,0.1,0.875,0
con_008,pro_013,0.1,0.444444,0
con_008,pro_014,0.1,0.818182,0
con_008,pro_015,0.1,0.285714,0
con_009,pro_001,0.1,0.235294,0
con_009,pro_002,0.1,0.2,0
con_009,pro_003,0.1,0.6,0
con_009,pro_004,0.1,0.631579,0
con_009,pro_005,0.1,0.333333,0
con_009,pro_006,0.1,0.875,0
con_009,pro_007,0.1,0.444444,0
con_009,pro_008,0.1,0.0,0
con_009,pro_009,0.1,0.0625,0
con_009,pro_010,0.1,0.105263,0
con_009,pro_011,0.1,0.5,0
con_009,pro_012,0.1,0.875,0
con_009,pro_013,0.1,0.222222,0
con_009,pro_014,0.1,0.454545,0
con_009,pro_015,0.1,0.285714,0
con_010,pro_001,0.1,0.176471,0
con_010,pro_002,0.1,22.3,1
con_010,pro_003,0.1,0.133333,0
con_010,pro_004,0.1,0.631579,0
con_010,pro_005,0.1,0.333333,0
con_010,pro_006,0.1,23.375,1
con_010,pro_007,0.1,0.444444,0
con_010,pro_008,0.1,0.1,0
con_010,pro_009,0.1,0.375,0
con_010,pro_010,0.1,0.105263,0
con_010,pro_011,0.1,0.666667,0
con_010,pro_012,0.1,0.375,0
con_010,pro_013,0.1,0.444444,0
con_010,pro_014,0.1,0.727273,0
con_010,pro_015,0.1,0.428571,0
con_011,pro_001,0.1,0.235294,0
con_011,pro_002,0.1,22.3,1
con_011,pro_003,0.1,0.2,0
con_011,pro_004,0.1,0.526316,0
con_011,pro_005,0.1,0.333333,0
con_011,pro_006,0.1,1.0,0
con_011,pro_007,0.1,0.444444,0
con_011,pro_008,0.1,0.0,0
con_011,pro_009,0.1,0.3125,0
con_011,pro_010,0.1,0.105263,0
con_011,pro_011,0.1,0.583333,0
con_011,pro_012,0.1,0.375,0
con_011,pro_013,0.1,0.333333,0
con_011,pro_014,0.1,0.545455,0
con_011,pro_015,0.1,0.428571,0
