con,pro,overlap_ratio,cer_mixed,cer_sep,catastrophic,no_speech_prob,avg_logprob,decoder_confidence,token_entropy,dominant_token_fraction,confident_silent_score,compression_ratio,cr_lat_frac,lockin_lat_frac
con_001,pro_001,0.1,0.46875,0.3125,False,0.159658,-0.523333,0.592542,2.70805,0.105263,0.081216,0.85,,
con_001,pro_002,0.1,0.56,9.16,True,0.114318,-0.077636,0.925302,0.08578,0.986607,0.092704,29.086957,0.125,0.022422
con_001,pro_002,0.3,0.64,9.16,True,0.119087,-0.076568,0.92629,0.08578,0.986607,0.078151,29.086957,0.125,0.022422
con_001,pro_002,0.5,0.64,9.16,True,0.128533,-0.0798,0.923301,0.08578,0.986607,0.09818,29.086957,0.125,0.022422
con_001,pro_003,0.1,0.233333,7.666667,True,0.136846,-0.090686,0.913305,0.08578,0.986607,0.124982,29.086957,0.125,0.022422
con_001,pro_003,0.3,0.266667,0.5,False,0.14308,-0.463806,0.628886,2.639057,0.111111,0.063905,0.857143,,
con_001,pro_003,0.5,0.333333,0.5,False,0.107902,-0.457433,0.632906,2.639057,0.111111,0.068292,0.857143,,
con_001,pro_006,0.1,0.434783,3.826087,True,0.228186,-0.432881,0.648637,2.70805,0.19697,0.14801,6.0,0.525,
con_001,pro_006,0.3,0.521739,8.086957,True,0.257145,-0.235179,0.790429,2.639057,0.142857,0.203254,15.166667,0.225,
con_001,pro_006,0.5,0.608696,7.565217,True,0.256083,-0.250448,0.778452,2.639057,0.142857,0.199349,13.702703,0.225,
con_001,pro_010,0.1,0.382353,0.264706,False,0.09494,-0.524411,0.591904,2.70805,0.157895,0.056195,0.851351,,
con_002,pro_001,0.1,0.285714,0.285714,False,0.158004,-0.623041,0.536311,2.540036,0.142857,0.084739,0.852459,,
con_002,pro_002,0.1,0.333333,10.952381,True,0.122794,-0.084071,0.919366,0.08578,0.986607,0.085661,29.086957,0.125,0.022422
con_002,pro_002,0.3,0.47619,11.0,True,0.128277,-0.081232,0.921979,0.08578,0.986607,0.082399,29.086957,0.125,0.022422
con_002,pro_002,0.5,0.333333,10.952381,True,0.127307,-0.082854,0.920485,0.08578,0.986607,0.096178,29.086957,0.125,0.022422
con_002,pro_006,0.1,0.578947,9.210526,True,0.26875,-0.251588,0.777565,2.615631,0.142857,0.208971,13.702703,0.225,
con_002,pro_006,0.3,0.473684,9.210526,True,0.267913,-0.247496,0.780753,2.615631,0.142857,0.209174,13.702703,0.225,
con_002,pro_006,0.5,0.842105,6.684211,True,0.234222,-0.338841,0.712596,2.615631,0.195946,0.166906,8.44186,0.375,
con_002,pro_009,0.1,0.185185,0.407407,False,0.183783,-0.676679,0.508302,2.540036,0.142857,0.081509,0.847826,,
con_002,pro_011,0.1,9.391304,7.086957,True,0.110919,-0.253532,0.776055,2.369837,0.251185,0.056621,14.454545,0.225,
con_002,pro_011,0.3,0.608696,0.608696,False,0.116834,-0.625199,0.535155,2.043192,0.222222,0.062524,0.882353,,
con_002,pro_011,0.5,0.826087,0.652174,False,0.120603,-0.614542,0.540888,2.369382,0.166667,0.065233,0.882353,,
con_003,pro_001,0.1,0.214286,0.464286,False,0.145251,-0.553876,0.574718,2.397895,0.095238,0.083478,0.85,,
con_003,pro_007,0.1,0.55,0.65,False,0.204028,-0.578753,0.560597,2.397895,0.090909,0.114377,0.731707,,
con_003,pro_013,0.1,0.55,0.6,False,0.48961,-1.032001,0.356293,2.079442,0.125,0.174445,0.75,,
con_004,pro_004,0.1,0.214286,0.678571,False,0.435123,-0.831534,0.435381,2.079442,0.125,0.108924,0.852459,,
con_004,pro_010,0.1,0.25,0.357143,False,0.466148,-0.747167,0.473707,2.079442,0.125,0.114861,0.838235,,
con_005,pro_001,0.1,0.346154,0.269231,False,0.179592,-0.598089,0.549861,2.397895,0.095238,0.090894,0.85,,
con_005,pro_002,0.1,0.421053,1.105263,True,0.18725,-1.201762,0.300664,2.397895,0.090909,0.056299,1.016949,,
con_005,pro_002,0.3,0.473684,1.210526,True,0.176371,-1.200217,0.301129,2.397895,0.090909,0.05311,1.047619,,
con_005,pro_002,0.5,0.736842,0.368421,False,0.161229,-0.945169,0.388614,2.397895,0.090909,0.054614,0.785714,,
con_005,pro_006,0.1,0.235294,11.647059,True,0.224327,-0.225928,0.797775,2.397895,0.142857,0.178963,16.333333,0.2,
con_005,pro_006,0.3,0.352941,0.647059,False,0.324947,-1.176017,0.308505,2.302585,0.1,0.088806,0.710526,,
con_005,pro_006,0.5,0.823529,0.470588,False,0.304624,-0.92336,0.397182,2.351673,0.153846,0.120991,0.738095,,
con_005,pro_009,0.1,0.2,0.4,False,0.251829,-0.714664,0.489357,2.397895,0.090909,0.123234,0.822581,,
con_005,pro_015,0.1,0.125,0.375,False,0.179649,-0.602158,0.547629,2.197225,0.111111,0.054099,0.710526,,
con_006,pro_002,0.1,0.263158,1.105263,True,0.151725,-1.147703,0.317365,2.564949,0.090909,0.037307,1.016949,,
con_006,pro_002,0.3,0.578947,1.210526,True,0.13432,-1.151897,0.316037,2.564949,0.083333,0.0364,1.047619,,
con_006,pro_002,0.5,0.631579,0.368421,False,0.140536,-0.945169,0.388614,2.397895,0.090909,0.054614,0.785714,,
con_006,pro_006,0.1,0.352941,11.647059,True,0.224327,-0.225928,0.797775,2.564949,0.142857,0.178963,16.333333,0.2,
con_006,pro_006,0.3,0.764706,0.588235,False,0.324947,-1.143289,0.318769,2.302585,0.1,0.088806,0.710526,,
con_006,pro_006,0.5,0.529412,0.470588,False,0.304624,-0.92336,0.397182,2.351673,0.153846,0.120991,0.738095,,
con_006,pro_008,0.1,0.421053,0.368421,False,0.305201,-0.828684,0.436624,2.397895,0.090909,0.133258,0.731707,,
con_006,pro_014,0.1,0.4,0.65,False,0.211559,-0.758548,0.468346,2.458311,0.153846,0.099083,0.765957,,
con_007,pro_005,0.1,0.333333,0.277778,False,0.169593,-0.881737,0.414063,2.079442,0.2,0.069859,0.757576,,
con_007,pro_006,0.1,0.411765,4.941176,True,0.306292,-0.409181,0.664194,2.079442,0.142857,0.203437,8.129032,0.425,
con_007,pro_006,0.3,0.588235,0.411765,False,0.292039,-0.871644,0.418263,2.079442,0.125,0.10693,0.75,,
con_007,pro_006,0.5,0.529412,0.352941,False,0.314676,-0.858353,0.42386,2.079442,0.153846,0.122371,0.738095,,
con_007,pro_012,0.1,0.294118,0.529412,False,0.149413,-0.882851,0.413602,2.079442,0.2,0.055108,0.727273,,
con_008,pro_003,0.1,0.392857,0.607143,False,0.623746,-0.669762,0.51183,2.458311,0.153846,0.319252,0.857143,,
