window_id,overlap_label,num_speakers,router_v2_method,lang_id_entropy,corrected_decision,word_mixed_cpwer,word_separated_cpwer,word_oracle_cpwer,word_corrected_cpwer,char_mixed_cpwer,char_separated_cpwer,char_oracle_cpwer,char_corrected_cpwer,residual_corrected_minus_oracle,separated_char_errors,separated_char_length,mixed_char_errors,mixed_char_length
0,NoOverlap,6,separated,1.553509,mixed,1.0,2.333333,1.0,1.0,0.963636,1.645455,0.963636,0.963636,0.0,181,110,106,110
1,NoOverlap,1,separated,0.0,separated,2.0,1.0,1.0,1.0,0.80625,1.0,0.80625,1.0,0.19375,-1,-1,129,160
2,NoOverlap,1,separated,0.0,separated,2.0,1.0,1.0,1.0,0.663793,0.663793,0.663793,0.663793,0.0,77,116,77,116
3,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,0.722543,0.67052,0.67052,0.67052,0.0,116,173,125,173
4,NoOverlap,1,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1
5,NoOverlap,1,separated,0.490342,mixed,1.0,2.0,1.0,1.0,0.777778,0.951389,0.777778,0.777778,0.0,137,144,112,144
6,NoOverlap,2,separated,0.0,separated,1.0,1.0,1.0,1.0,0.815951,0.846626,0.815951,0.846626,0.030675,138,163,133,163
7,NoOverlap,1,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1
8,NoOverlap,1,mixed,0.322757,separated,4.0,1.0,1.0,1.0,0.960784,0.95098,0.95098,0.95098,0.0,97,102,98,102
9,NoOverlap,1,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1
10,NoOverlap,1,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1
11,NoOverlap,1,mixed,0.563285,mixed,1.0,3.0,1.0,1.0,1.0,0.693989,0.693989,1.0,0.306011,127,183,-1,-1
12,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,0.691781,0.691781,0.691781,0.691781,0.0,101,146,101,146
13,NoOverlap,1,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1
14,NoOverlap,2,separated,0.373609,separated,1.0,1.0,1.0,1.0,0.871508,0.865922,0.865922,0.865922,0.0,155,179,156,179
15,NoOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.994536,0.994536,0.994536,0.0,182,183,-1,-1
16,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.960396,0.960396,0.960396,0.0,194,202,-1,-1
17,MidOverlap,3,mixed,0.630778,mixed,1.0,1.333333,1.0,1.0,1.0,0.895683,0.895683,1.0,0.104317,249,278,-1,-1
18,HeavyOverlap,3,separated,1.240671,mixed,1.0,1.666667,1.0,1.0,1.0,0.901024,0.901024,1.0,0.098976,264,293,-1,-1
19,LightOverlap,2,mixed,0.863121,mixed,1.0,1.0,1.0,1.0,0.867299,0.914692,0.867299,0.867299,0.0,193,211,183,211
20,LightOverlap,2,mixed,1.298023,mixed,1.0,2.0,1.0,1.0,1.0,0.898305,0.898305,1.0,0.101695,159,177,-1,-1
21,NoOverlap,2,mixed,0.503258,mixed,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,113,113,-1,-1
22,NoOverlap,2,separated,0.143726,separated,1.0,2.0,1.0,2.0,0.542373,0.491525,0.491525,0.491525,0.0,58,118,64,118
23,NoOverlap,2,mixed,1.216316,mixed,1.0,3.0,1.0,1.0,1.0,1.574713,1.0,1.0,0.0,137,87,-1,-1
24,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.99435,0.99435,0.99435,0.0,176,177,-1,-1
25,LightOverlap,2,mixed,1.086049,mixed,1.0,1.5,1.0,1.0,0.684874,0.663866,0.663866,0.684874,0.021008,158,238,163,238
26,NoOverlap,2,separated,1.750916,mixed,1.0,3.5,1.0,1.0,0.73991,0.856502,0.73991,0.73991,0.0,191,223,165,223
27,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,0.696203,0.696203,0.696203,0.696203,0.0,165,237,165,237
28,NoOverlap,3,mixed,0.785235,mixed,1.0,2.0,1.0,1.0,1.0,0.953704,0.953704,1.0,0.046296,103,108,-1,-1
29,LightOverlap,2,mixed,0.0,separated,2.0,1.0,1.0,1.0,0.944444,0.868056,0.868056,0.868056,0.0,125,144,136,144
30,NoOverlap,1,separated,0.322852,separated,1.0,2.0,1.0,2.0,0.802691,0.802691,0.802691,0.802691,0.0,179,223,179,223
31,NoOverlap,2,separated,1.1635,mixed,1.5,2.5,1.5,1.5,0.986425,0.968326,0.968326,0.986425,0.0181,214,221,218,221
32,LightOverlap,3,mixed,1.31639,mixed,1.333333,1.333333,1.333333,1.333333,0.979899,0.809045,0.809045,0.979899,0.170854,161,199,195,199
33,MidOverlap,3,mixed,1.068306,mixed,1.0,2.666667,1.0,1.0,0.880383,0.976077,0.880383,0.880383,0.0,204,209,184,209
34,LightOverlap,3,mixed,0.0,separated,1.0,1.0,1.0,1.0,0.867403,0.977901,0.867403,0.977901,0.110497,177,181,157,181
35,NoOverlap,1,mixed,1.265471,mixed,1.0,2.0,1.0,1.0,1.0,0.962264,0.962264,1.0,0.037736,102,106,-1,-1
36,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,0.678363,0.672515,0.672515,0.672515,0.0,115,171,116,171
37,NoOverlap,1,separated,0.373609,separated,1.0,1.0,1.0,1.0,0.730159,0.626984,0.626984,0.626984,0.0,79,126,92,126
38,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,0.870504,0.798561,0.798561,0.798561,0.0,111,139,121,139
39,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,0.662791,0.674419,0.662791,0.674419,0.011628,58,86,57,86
40,NoOverlap,1,separated,0.0,separated,6.0,1.0,1.0,1.0,0.961538,0.5,0.5,0.5,0.0,39,78,75,78
41,NoOverlap,2,separated,1.241695,mixed,1.0,1.5,1.0,1.0,0.982301,0.955752,0.955752,0.982301,0.026549,108,113,111,113
42,NoOverlap,2,separated,1.554222,mixed,1.5,3.0,1.5,1.5,0.873626,0.989011,0.873626,0.873626,0.0,180,182,159,182
43,MidOverlap,3,mixed,1.685816,mixed,1.0,1.666667,1.0,1.0,0.924883,0.938967,0.924883,0.924883,0.0,200,213,197,213
44,MidOverlap,3,mixed,0.831474,mixed,1.0,1.0,1.0,1.0,0.937799,0.866029,0.866029,0.937799,0.07177,181,209,196,209
45,LightOverlap,4,mixed,1.378783,mixed,1.0,3.25,1.0,1.0,0.974619,0.979695,0.974619,0.974619,0.0,193,197,192,197
46,NoOverlap,2,separated,0.0,separated,1.0,1.0,1.0,1.0,0.840237,0.822485,0.822485,0.822485,0.0,139,169,142,169
47,LightOverlap,4,mixed,1.090274,mixed,1.0,2.0,1.0,1.0,1.0,0.988304,0.988304,1.0,0.011696,169,171,-1,-1
48,MidOverlap,3,mixed,1.371283,mixed,1.0,2.0,1.0,1.0,0.900498,0.99005,0.900498,0.900498,0.0,199,201,181,201
49,LightOverlap,4,mixed,1.360527,mixed,1.0,2.0,1.0,1.0,1.0,0.930233,0.930233,1.0,0.069767,200,215,-1,-1
50,MidOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1
51,LightOverlap,3,mixed,1.324496,mixed,1.0,2.0,1.0,1.0,0.963855,1.036145,0.963855,0.963855,0.0,258,249,240,249
52,LightOverlap,3,mixed,0.94566,mixed,1.0,1.0,1.0,1.0,0.747126,0.752874,0.747126,0.747126,0.0,131,174,130,174
53,LightOverlap,2,mixed,1.080626,mixed,1.0,3.0,1.0,1.0,1.0,0.959184,0.959184,1.0,0.040816,188,196,-1,-1
54,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1
55,MidOverlap,3,mixed,0.409073,mixed,1.0,1.333333,1.0,1.0,1.0,0.941748,0.941748,1.0,0.058252,194,206,-1,-1
56,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,0.9163,0.863436,0.863436,0.863436,0.0,196,227,208,227
57,NoOverlap,2,mixed,1.183979,mixed,1.0,2.0,1.0,1.0,1.0,0.983696,0.983696,1.0,0.016304,181,184,-1,-1
58,NoOverlap,1,separated,0.0,separated,2.0,1.0,1.0,1.0,0.793548,0.819355,0.793548,0.819355,0.025806,127,155,123,155
59,NoOverlap,2,mixed,0.325552,separated,1.0,1.0,1.0,1.0,1.0,0.783439,0.783439,0.783439,0.0,123,157,-1,-1
60,NoOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1
61,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,0.771277,0.771277,0.771277,0.771277,0.0,145,188,145,188
62,NoOverlap,2,separated,0.0,separated,1.0,1.0,1.0,1.0,0.775641,1.0,0.775641,1.0,0.224359,-1,-1,121,156
63,LightOverlap,2,mixed,1.426068,mixed,1.0,3.0,1.0,1.0,1.0,0.985437,0.985437,1.0,0.014563,203,206,-1,-1
64,NoOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1
65,LightOverlap,3,mixed,1.313896,mixed,1.0,2.666667,1.0,1.0,1.0,1.13198,1.0,1.0,0.0,223,197,-1,-1
66,LightOverlap,3,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,248,248,-1,-1
67,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,226,226,-1,-1
