pair_id,con,pro,overlap_ratio,cer_mixed_greedy,cer_mixed_fallback,cer_mixed_hybrid,cer_sep_greedy,cer_sep_fallback,cer_sep_hybrid,div_mixed,div_sep,cr_mixed_greedy,cr_mixed_fallback,cr_sep_greedy,cr_sep_fallback,temp_mixed_used,temp_sep_used
0,con_001.wav,pro_001.wav,0.0,0.46875,0.46875,0.46875,0.34375,0.34375,0.34375,0.0,0.0,0.9505,0.9505,0.8226,0.8226,0.0,0.0
0,con_001.wav,pro_001.wav,0.15,0.46875,0.46875,0.46875,0.34375,0.34375,0.34375,0.0,0.0,0.9327,0.9327,0.8226,0.8226,0.0,0.0
0,con_001.wav,pro_001.wav,0.35,0.25,0.25,0.25,0.34375,0.34375,0.34375,0.0,0.0,0.9158,0.9158,0.8226,0.8226,0.0,0.0
0,con_001.wav,pro_001.wav,0.6,0.4375,0.4375,0.4375,0.34375,0.34375,0.34375,0.0,0.0,0.8721,0.8721,0.8226,0.8226,0.0,0.0
0,con_001.wav,pro_001.wav,0.9,0.78125,1.0,1.0,0.34375,0.34375,0.34375,1.2,0.0,0.9231,0.8036,0.8226,0.8226,1.0,0.0
1,con_002.wav,pro_008.wav,0.0,0.380952,0.380952,0.380952,0.380952,0.380952,0.380952,0.0,0.0,0.8846,0.8846,0.8824,0.8824,0.0,0.0
1,con_002.wav,pro_008.wav,0.15,0.380952,0.380952,0.380952,0.380952,0.380952,0.380952,0.0,0.0,0.8846,0.8846,0.8824,0.8824,0.0,0.0
1,con_002.wav,pro_008.wav,0.35,0.52381,0.52381,0.52381,0.380952,0.380952,0.380952,0.0,0.0,0.8514,0.8514,0.8824,0.8824,0.0,0.0
1,con_002.wav,pro_008.wav,0.6,0.666667,0.666667,0.666667,0.380952,0.380952,0.380952,0.0,0.0,0.8308,0.8308,0.8824,0.8824,0.0,0.0
1,con_002.wav,pro_008.wav,0.9,0.904762,0.904762,0.904762,0.380952,0.380952,0.380952,0.0,0.0,0.8036,0.8036,0.8824,0.8824,0.0,0.0
2,con_003.wav,pro_015.wav,0.0,0.444444,0.444444,0.444444,0.666667,1.055556,1.055556,0.0,1.125,0.8333,0.8333,0.7105,0.8444,0.0,1.0
2,con_003.wav,pro_015.wav,0.15,0.666667,0.666667,0.666667,0.666667,0.722222,0.666667,0.0,0.0625,0.6562,0.6562,0.7105,0.7179,0.0,0.2
2,con_003.wav,pro_015.wav,0.35,0.666667,0.666667,0.666667,0.666667,0.555556,0.555556,0.0,0.375,0.6562,0.6562,0.7105,0.7105,0.0,1.0
2,con_003.wav,pro_015.wav,0.6,0.777778,0.777778,0.777778,0.666667,1.055556,1.055556,0.0,1.0,0.6562,0.6562,0.7105,0.7442,0.0,1.0
2,con_003.wav,pro_015.wav,0.9,0.833333,0.833333,0.833333,0.666667,0.722222,0.666667,0.0,0.0625,0.6562,0.6562,0.7105,0.7179,0.0,0.2
3,con_004.wav,pro_007.wav,0.0,0.555556,0.555556,0.555556,0.444444,0.5,0.5,0.0,0.3125,0.7317,0.7317,0.7317,0.7317,0.0,1.0
3,con_004.wav,pro_007.wav,0.15,0.611111,0.611111,0.611111,0.444444,0.444444,0.444444,0.0,0.25,0.75,0.75,0.7317,0.7317,0.0,1.0
3,con_004.wav,pro_007.wav,0.35,6.166667,0.722222,0.722222,0.444444,0.5,0.5,1.0,0.25,17.6842,0.8136,0.7317,0.7317,1.0,1.0
3,con_004.wav,pro_007.wav,0.6,0.666667,0.888889,0.888889,0.444444,0.444444,0.444444,0.833333,0.25,13.5405,0.7317,0.7317,0.7317,1.0,1.0
3,con_004.wav,pro_007.wav,0.9,0.777778,1.0,1.0,0.444444,0.555556,0.555556,1.0,0.375,0.7963,0.5714,0.7317,0.7317,1.0,1.0
4,con_005.wav,pro_014.wav,0.0,0.65,0.65,0.65,0.5,0.6,0.6,0.0,0.368421,0.8625,0.8625,0.7692,0.7692,0.0,1.0
4,con_005.wav,pro_014.wav,0.15,0.6,0.6,0.6,0.5,0.65,0.65,0.0,0.421053,0.8382,0.8382,0.7692,0.7692,0.0,1.0
4,con_005.wav,pro_014.wav,0.35,0.75,1.6,1.6,0.5,0.55,0.55,1.833333,0.263158,0.8308,0.8764,0.7692,0.7692,1.0,0.6
4,con_005.wav,pro_014.wav,0.6,0.8,1.0,1.0,0.5,0.75,0.75,1.0,0.473684,0.8136,0.8182,0.7692,0.7692,1.0,1.0
4,con_005.wav,pro_014.wav,0.9,0.8,2.65,2.65,0.5,0.95,0.95,4.727273,0.736842,0.7857,1.1391,0.7692,0.8036,1.0,1.0
