overlap_ratio,mean_cr_greedy,mean_cr_fallback,mean_cr_divergence,mean_cer_greedy,mean_cer_fallback,temp_fallback_fired_frac
0.0,1.54447,0.810065,0.767055,0.758416,0.685127,0.0
0.05,1.570355,0.805225,0.77834,1.002513,0.619106,0.0
0.1,2.98274,0.82683,2.1677,1.400911,0.833089,0.0
0.15,1.580375,0.808435,0.8107,1.046984,0.6922,0.0
0.2,0.78837,0.801615,0.013245,0.462277,0.477663,0.0
0.25,0.79138,0.79647,0.0152,0.436155,0.631411,0.0
0.3,0.785255,0.820955,0.0357,0.481777,0.798472,0.0
0.35,0.787165,0.864065,0.0769,0.47872,0.63643,0.0
0.4,0.789835,1.04861,0.267125,0.459479,0.673736,0.0
0.45,0.790195,0.795805,0.00561,0.463206,0.57365,0.0
0.5,0.79219,0.792785,0.000595,0.458179,0.49422,0.0
0.6,0.789265,0.792165,0.0029,0.443572,0.526206,0.0
0.7,0.795905,0.797815,0.0074,0.463475,0.562196,0.0
0.8,0.79846,0.80241,0.00395,0.451964,0.518487,0.0
0.9,0.796405,0.795715,0.00143,0.464463,0.522698,0.0
