window_id,overlap_ratio,overlap_label,always_mixed_cpwer,always_separated_cpwer,router_v2_cpwer,router_v2_method,oracle_best_cpwer,lang_id_entropy,length_ratio,max_cr,n_scripts,lang_flag,silence_flag,multilingual_flag,repetition_flag,mode_flag,corrected_decision,corrected_cpwer,lang_only_decision,lang_only_cpwer,silence_only_decision,silence_only_cpwer,mode_only_decision,mode_only_cpwer,lang_silence_decision,lang_silence_cpwer,lang_mode_decision,lang_mode_cpwer,silence_mode_decision,silence_mode_cpwer
0,0.0,NoOverlap,1.0,2.3333333333333335,2.3333333333333335,separated,1.0,1.553509,6.689655,1.102041,3,True,True,True,False,True,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
1,0.0,NoOverlap,2.0,1.0,1.0,separated,1.0,0.0,0.0,0.0,0,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
2,0.0,NoOverlap,2.0,1.0,1.0,separated,1.0,0.0,0.916667,1.32,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
3,0.0,NoOverlap,1.0,1.0,1.0,separated,1.0,0.0,1.216216,1.336634,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
4,0.0,NoOverlap,1.0,1.0,1.0,mixed,1.0,0.0,0.0,0.0,0,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
5,0.0,NoOverlap,1.0,2.0,2.0,separated,1.0,0.490342,0.428571,0.928571,2,True,False,False,False,False,mixed,1.0,mixed,1.0,separated,2.0,separated,2.0,mixed,1.0,mixed,1.0,separated,2.0
6,0.0,NoOverlap,1.0,1.0,1.0,separated,1.0,0.0,1.025974,1.530612,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
7,0.0,NoOverlap,1.0,1.0,1.0,mixed,1.0,0.0,0.0,0.0,0,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
8,0.0,NoOverlap,4.0,1.0,4.0,mixed,1.0,0.322757,0.708333,0.900901,2,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
9,0.0,NoOverlap,1.0,1.0,1.0,mixed,1.0,0.0,0.0,0.0,0,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
10,0.0,NoOverlap,1.0,1.0,1.0,mixed,1.0,0.0,0.0,0.0,0,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
11,0.0,NoOverlap,1.0,3.0,1.0,mixed,1.0,0.563285,136.0,1.354839,2,True,True,False,False,False,mixed,1.0,mixed,1.0,mixed,1.0,separated,3.0,mixed,1.0,mixed,1.0,mixed,1.0
12,0.0,NoOverlap,1.0,1.0,1.0,separated,1.0,0.0,1.0,1.546875,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
13,0.0,NoOverlap,1.0,1.0,1.0,mixed,1.0,0.0,0.0,0.0,0,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
14,0.0209,NoOverlap,1.0,1.0,1.0,separated,1.0,0.373609,0.99115,1.347458,2,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
15,0.0,NoOverlap,1.0,1.0,1.0,mixed,1.0,0.0,2.0,0.428571,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
16,0.1008,LightOverlap,1.0,1.0,1.0,mixed,1.0,0.0,201.0,2.30597,1,False,True,False,False,False,mixed,1.0,separated,1.0,mixed,1.0,separated,1.0,mixed,1.0,separated,1.0,mixed,1.0
17,0.3831,MidOverlap,1.0,1.3333333333333333,1.0,mixed,1.0,0.630778,167.0,1.668449,3,True,True,True,False,True,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
18,0.5379,HeavyOverlap,1.0,1.6666666666666667,1.6666666666666667,separated,1.0,1.240671,196.0,2.965517,2,True,True,False,True,True,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
19,0.1081,LightOverlap,1.0,1.0,1.0,mixed,1.0,0.863121,1.173913,1.349282,2,True,False,False,False,False,mixed,1.0,mixed,1.0,separated,1.0,separated,1.0,mixed,1.0,mixed,1.0,separated,1.0
20,0.0738,LightOverlap,1.0,2.0,1.0,mixed,1.0,1.298023,115.0,1.375796,2,True,True,False,False,False,mixed,1.0,mixed,1.0,mixed,1.0,separated,2.0,mixed,1.0,mixed,1.0,mixed,1.0
21,0.005,NoOverlap,1.0,1.5,1.0,mixed,1.0,0.503258,9.0,0.694444,1,True,True,False,False,False,mixed,1.0,mixed,1.0,mixed,1.0,separated,1.5,mixed,1.0,mixed,1.0,mixed,1.0
22,0.0,NoOverlap,1.0,2.0,2.0,separated,1.0,0.143726,1.020833,1.367925,1,False,False,False,False,False,separated,2.0,separated,2.0,separated,2.0,separated,2.0,separated,2.0,separated,2.0,separated,2.0
23,0.018,NoOverlap,1.0,3.0,1.0,mixed,1.0,1.216316,144.0,1.177665,3,True,True,True,False,True,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
24,0.1231,LightOverlap,1.0,1.0,1.0,mixed,1.0,0.0,3.0,0.5,1,False,True,False,False,False,mixed,1.0,separated,1.0,mixed,1.0,separated,1.0,mixed,1.0,separated,1.0,mixed,1.0
25,0.1261,LightOverlap,1.0,1.5,1.0,mixed,1.0,1.086049,1.087248,1.460145,2,True,False,False,False,False,mixed,1.0,mixed,1.0,separated,1.5,separated,1.5,mixed,1.0,mixed,1.0,separated,1.5
26,0.0403,NoOverlap,1.0,3.5,3.5,separated,1.0,1.750916,1.264,1.409774,4,True,False,True,False,True,mixed,1.0,mixed,1.0,separated,3.5,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
27,0.0,NoOverlap,1.0,1.0,1.0,separated,1.0,0.0,1.014286,1.484321,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
28,0.0,NoOverlap,1.0,2.0,1.0,mixed,1.0,0.785235,35.0,0.853333,2,True,True,False,False,False,mixed,1.0,mixed,1.0,mixed,1.0,separated,2.0,mixed,1.0,mixed,1.0,mixed,1.0
29,0.1072,LightOverlap,2.0,1.0,2.0,mixed,1.0,0.0,0.410959,1.0,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
30,0.0,NoOverlap,1.0,2.0,2.0,separated,1.0,0.322852,1.026667,1.491639,2,False,False,False,False,False,separated,2.0,separated,2.0,separated,2.0,separated,2.0,separated,2.0,separated,2.0,separated,2.0
31,0.0,NoOverlap,1.5,2.5,2.5,separated,1.5,1.1635,1.222222,0.991228,2,True,False,False,False,False,mixed,1.5,mixed,1.5,separated,2.5,separated,2.5,mixed,1.5,mixed,1.5,separated,2.5
32,0.0705,LightOverlap,1.3333333333333333,1.3333333333333333,1.3333333333333333,mixed,1.3333333333333333,1.31639,3.321429,1.381295,2,True,True,False,False,False,mixed,1.333333,mixed,1.333333,mixed,1.333333,separated,1.333333,mixed,1.333333,mixed,1.333333,mixed,1.333333
33,0.4087,MidOverlap,1.0,2.6666666666666665,1.0,mixed,1.0,1.068306,1.630769,1.165829,2,True,False,False,False,False,mixed,1.0,mixed,1.0,separated,2.666667,separated,2.666667,mixed,1.0,mixed,1.0,separated,2.666667
34,0.0605,LightOverlap,1.0,1.0,1.0,mixed,1.0,0.0,0.712766,2.272727,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
35,0.0,NoOverlap,1.0,2.0,1.0,mixed,1.0,1.265471,49.0,0.918519,2,True,True,False,False,False,mixed,1.0,mixed,1.0,mixed,1.0,separated,2.0,mixed,1.0,mixed,1.0,mixed,1.0
36,0.0,NoOverlap,1.0,1.0,1.0,separated,1.0,0.0,1.094118,1.334928,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
37,0.0,NoOverlap,1.0,1.0,1.0,separated,1.0,0.373609,1.15625,1.384279,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
38,0.0,NoOverlap,1.0,1.0,1.0,separated,1.0,0.0,0.974684,1.228723,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
39,0.0,NoOverlap,1.0,1.0,1.0,separated,1.0,0.0,0.982759,1.14,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
40,0.0,NoOverlap,6.0,1.0,1.0,separated,1.0,0.0,0.938462,1.180645,1,False,False,False,False,False,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0,separated,1.0
41,0.0,NoOverlap,1.0,1.5,1.5,separated,1.0,1.241695,0.857143,0.90678,3,True,False,True,False,True,mixed,1.0,mixed,1.0,separated,1.5,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
42,0.028,NoOverlap,1.5,3.0,3.0,separated,1.5,1.554222,0.72973,0.970874,3,True,False,True,False,True,mixed,1.5,mixed,1.5,separated,3.0,mixed,1.5,mixed,1.5,mixed,1.5,mixed,1.5
43,0.3961,MidOverlap,1.0,1.6666666666666667,1.0,mixed,1.0,1.685816,1.663551,2.015748,3,True,False,True,False,True,mixed,1.0,mixed,1.0,separated,1.666667,mixed,1.0,mixed,1.0,mixed,1.0,mixed,1.0
44,0.3185,MidOverlap,1.0,1.0,1.0,mixed,1.0,0.831474,1.029412,1.092857,2,True,False,False,False,False,mixed,1.0,mixed,1.0,separated,1.0,separated,1.0,mixed,1.0,mixed,1.0,separated,1.0
45,0.0615,LightOverlap,1.0,3.25,1.0,mixed,1.0,1.378783,0.991803,0.943038,2,True,False,False,False,False,mixed,1.0,mixed,1.0,separated,3.25,separated,3.25,mixed,1.0,mixed,1.0,separated,3.25
