resample,threshold,oob_cpwer,oob_compute,n_oob,n_escalated_oob,oob_fraction,escalation_fraction_oob
0,0.01,0.820561,1.37096,30,26,0.38961,0.866667
1,0.01,0.765367,1.358994,31,26,0.402597,0.83871
2,0.01,0.747084,1.363178,33,28,0.428571,0.848485
3,0.01,0.68506,1.356693,30,25,0.38961,0.833333
4,0.01,0.694502,1.351597,28,23,0.363636,0.821429
5,0.01,0.769561,1.328157,30,23,0.38961,0.766667
6,0.01,0.75193,1.348766,27,22,0.350649,0.814815
7,0.01,0.772974,1.380472,27,24,0.350649,0.888889
8,0.01,0.798734,1.329255,26,20,0.337662,0.769231
9,0.01,0.841001,1.351597,28,23,0.363636,0.821429
10,0.01,0.746769,1.368992,29,25,0.376623,0.862069
11,0.01,0.741221,1.396325,27,25,0.350649,0.925926
12,0.01,0.7225,1.361151,32,27,0.415584,0.84375
13,0.01,0.763867,1.332913,27,21,0.350649,0.777778
14,0.01,0.688177,1.33631,28,22,0.363636,0.785714
15,0.01,0.720671,1.376667,25,22,0.324675,0.88
16,0.01,0.780065,1.339473,29,23,0.376623,0.793103
17,0.01,0.717695,1.36218,26,22,0.337662,0.846154
18,0.01,0.676616,1.383752,29,26,0.376623,0.896552
19,0.01,0.859,1.36218,26,22,0.337662,0.846154
20,0.01,0.771611,1.338858,24,19,0.311688,0.791667
21,0.01,0.784934,1.356693,30,25,0.38961,0.833333
22,0.01,0.816568,1.329255,26,20,0.337662,0.769231
23,0.01,0.807804,1.342425,25,20,0.324675,0.8
24,0.01,0.878754,1.348766,27,22,0.350649,0.814815
25,0.01,0.791872,1.345186,31,25,0.402597,0.806452
26,0.01,0.713759,1.301207,27,19,0.350649,0.703704
27,0.01,0.783736,1.372801,31,27,0.402597,0.870968
28,0.01,0.784985,1.339473,29,23,0.376623,0.793103
29,0.01,0.831414,1.372201,23,20,0.298701,0.869565
30,0.01,0.706865,1.312792,26,19,0.337662,0.730769
31,0.01,0.777518,1.368992,29,25,0.376623,0.862069
32,0.01,0.725859,1.368992,29,25,0.376623,0.862069
33,0.01,0.758152,1.366884,28,24,0.363636,0.857143
34,0.01,0.822981,1.356693,30,25,0.38961,0.833333
35,0.01,0.797666,1.393789,25,23,0.324675,0.92
36,0.01,0.781537,1.374527,32,28,0.415584,0.875
37,0.01,0.834676,1.33631,28,22,0.363636,0.785714
38,0.01,0.799658,1.368992,29,25,0.376623,0.862069
39,0.01,0.802161,1.354233,29,24,0.376623,0.827586
40,0.01,0.744184,1.351597,28,23,0.363636,0.821429
41,0.01,0.710071,1.342425,30,24,0.38961,0.8
42,0.01,0.857466,1.368992,29,25,0.376623,0.862069
43,0.01,0.830662,1.347775,32,26,0.415584,0.8125
44,0.01,0.833536,1.369663,22,19,0.285714,0.863636
45,0.01,0.736406,1.397457,28,26,0.363636,0.928571
46,0.01,0.755649,1.351597,28,23,0.363636,0.821429
47,0.01,0.762198,1.325304,25,19,0.324675,0.76
48,0.01,0.803521,1.309953,29,21,0.376623,0.724138
49,0.01,0.791229,1.382171,28,25,0.363636,0.892857
50,0.01,0.842897,1.356693,24,20,0.311688,0.833333
51,0.01,0.757231,1.386609,31,28,0.402597,0.903226
52,0.01,0.754785,1.345717,26,21,0.337662,0.807692
53,0.01,0.804013,1.366884,28,24,0.363636,0.857143
54,0.01,0.696436,1.390811,23,21,0.298701,0.913043
55,0.01,0.840732,1.385228,30,27,0.38961,0.9
56,0.01,0.826302,1.359546,25,21,0.324675,0.84
57,0.01,0.846803,1.342425,30,24,0.38961,0.8
58,0.01,0.750683,1.359546,25,21,0.324675,0.84
59,0.01,0.758585,1.317571,31,23,0.402597,0.741935
60,0.01,0.730356,1.365085,34,29,0.441558,0.852941
61,0.01,0.815039,1.308182,25,18,0.324675,0.72
62,0.01,0.746997,1.345186,31,25,0.402597,0.806452
63,0.01,0.741114,1.329255,26,20,0.337662,0.769231
64,0.01,0.780108,1.324713,29,22,0.376623,0.758621
65,0.01,0.725433,1.374527,24,21,0.311688,0.875
66,0.01,0.783594,1.345717,26,21,0.337662,0.807692
67,0.01,0.783636,1.348766,27,22,0.350649,0.814815
68,0.01,0.709609,1.312792,26,19,0.337662,0.730769
69,0.01,0.796824,1.356693,30,25,0.38961,0.833333
70,0.01,0.773025,1.363178,33,28,0.428571,0.848485
71,0.01,0.897939,1.338858,24,19,0.311688,0.791667
72,0.01,0.821862,1.395106,26,24,0.337662,0.923077
73,0.01,0.829581,1.33631,28,22,0.363636,0.785714
74,0.01,0.775732,1.366884,35,30,0.454545,0.857143
75,0.01,0.762706,1.334399,32,25,0.415584,0.78125
76,0.01,0.771281,1.398512,29,27,0.376623,0.931034
77,0.01,0.744534,1.400416,31,29,0.402597,0.935484
78,0.01,0.70585,1.353591,23,19,0.298701,0.826087
79,0.01,0.900109,1.378643,26,23,0.337662,0.884615
80,0.01,0.730708,1.359546,25,21,0.324675,0.84
81,0.01,0.787729,1.376667,25,22,0.324675,0.88
82,0.01,0.814837,1.376667,25,22,0.324675,0.88
83,0.01,0.746063,1.390811,23,21,0.298701,0.913043
84,0.01,0.761946,1.41091,25,24,0.324675,0.96
85,0.01,0.857677,1.345717,26,21,0.337662,0.807692
86,0.01,0.767159,1.33631,28,22,0.363636,0.785714
87,0.01,0.715743,1.339907,34,27,0.441558,0.794118
88,0.01,0.751301,1.377674,34,30,0.441558,0.882353
89,0.01,0.761174,1.350207,33,27,0.428571,0.818182
90,0.01,0.695761,1.356693,30,25,0.38961,0.833333
91,0.01,0.749288,1.348766,27,22,0.350649,0.814815
92,0.01,0.806277,1.376667,25,22,0.324675,0.88
93,0.01,0.859592,1.330751,22,17,0.285714,0.772727
94,0.01,0.877527,1.31706,27,20,0.350649,0.740741
95,0.01,0.810637,1.334399,32,25,0.415584,0.78125
96,0.01,0.830633,1.342425,25,20,0.324675,0.8
97,0.01,0.83211,1.325304,25,19,0.324675,0.76
98,0.01,0.801375,1.397457,28,26,0.363636,0.928571
99,0.01,0.768952,1.354233,29,24,0.376623,0.827586
100,0.01,0.786453,1.325304,25,19,0.324675,0.76
101,0.01,0.774389,1.348766,27,22,0.350649,0.814815
102,0.01,0.741546,1.382171,28,25,0.363636,0.892857
103,0.01,0.748107,1.358994,31,26,0.402597,0.83871
104,0.01,0.808337,1.329255,26,20,0.337662,0.769231
105,0.01,0.683141,1.380472,27,24,0.350649,0.888889
106,0.01,0.845614,1.342425,30,24,0.38961,0.8
107,0.01,0.676653,1.385228,30,27,0.38961,0.9
108,0.01,0.80468,1.380472,27,24,0.350649,0.888889
109,0.01,0.780178,1.356693,30,25,0.38961,0.833333
110,0.01,0.722981,1.399496,30,28,0.38961,0.933333
111,0.01,0.812356,1.36218,26,22,0.337662,0.846154
112,0.01,0.763533,1.356693,30,25,0.38961,0.833333
113,0.01,0.784911,1.364619,27,23,0.350649,0.851852
114,0.01,0.80642,1.328157,30,23,0.38961,0.766667
115,0.01,0.828189,1.350207,33,27,0.428571,0.818182
116,0.01,0.789419,1.347775,32,26,0.415584,0.8125
117,0.01,0.781082,1.366884,28,24,0.363636,0.857143
118,0.01,0.77571,1.348766,27,22,0.350649,0.814815
119,0.01,0.758242,1.33631,28,22,0.363636,0.785714
120,0.01,0.690277,1.339473,29,23,0.376623,0.793103
121,0.01,0.77094,1.337237,33,26,0.428571,0.787879
122,0.01,0.809131,1.345186,31,25,0.402597,0.806452
123,0.01,0.862995,1.31706,27,20,0.350649,0.740741
124,0.01,0.770391,1.374527,32,28,0.415584,0.875
125,0.01,0.760075,1.372201,23,20,0.298701,0.869565
126,0.01,0.736586,1.33631,28,22,0.363636,0.785714
127,0.01,0.813469,1.356693,30,25,0.38961,0.833333
128,0.01,0.813981,1.334399,32,25,0.415584,0.78125
129,0.01,0.819399,1.31706,27,20,0.350649,0.740741
130,0.01,0.745656,1.37096,30,26,0.38961,0.866667
131,0.01,0.774612,1.345186,31,25,0.402597,0.806452
132,0.01,0.755693,1.376148,33,29,0.428571,0.878788
133,0.01,0.77849,1.382171,28,25,0.363636,0.892857
134,0.01,0.809541,1.354233,29,24,0.376623,0.827586
135,0.01,0.77212,1.382171,28,25,0.363636,0.892857
136,0.01,0.709512,1.345717,26,21,0.337662,0.807692
137,0.01,0.798262,1.31706,27,20,0.350649,0.740741
138,0.01,0.84804,1.30214,34,24,0.441558,0.705882
139,0.01,0.754864,1.347775,32,26,0.415584,0.8125
140,0.01,0.755694,1.33631,28,22,0.363636,0.785714
141,0.01,0.788459,1.37096,30,26,0.38961,0.866667
142,0.01,0.759616,1.374527,24,21,0.311688,0.875
143,0.01,0.696351,1.380472,27,24,0.350649,0.888889
144,0.01,0.730653,1.396325,27,25,0.350649,0.925926
145,0.01,0.807214,1.361151,32,27,0.415584,0.84375
146,0.01,0.755532,1.334981,23,18,0.298701,0.782609
147,0.01,0.796881,1.337237,33,26,0.428571,0.787879
148,0.01,0.705534,1.358994,31,26,0.402597,0.83871
149,0.01,0.839772,1.33631,28,22,0.363636,0.785714
150,0.01,0.77843,1.363178,33,28,0.428571,0.848485
151,0.01,0.783701,1.291061,25,17,0.324675,0.68
152,0.01,0.789034,1.36218,26,22,0.337662,0.846154
153,0.01,0.764127,1.356693,36,30,0.467532,0.833333
154,0.01,0.732052,1.354233,29,24,0.376623,0.827586
155,0.01,0.756878,1.366884,28,24,0.363636,0.857143
156,0.01,0.734829,1.413763,30,29,0.38961,0.966667
157,0.01,0.72246,1.374527,24,21,0.311688,0.875
158,0.01,0.778748,1.368992,29,25,0.376623,0.862069
159,0.01,0.810427,1.351597,28,23,0.363636,0.821429
160,0.01,0.783745,1.356693,30,25,0.38961,0.833333
161,0.01,0.794955,1.295194,29,20,0.376623,0.689655
162,0.01,0.78991,1.397457,28,26,0.363636,0.928571
163,0.01,0.791563,1.348766,27,22,0.350649,0.814815
164,0.01,0.820771,1.299622,30,21,0.38961,0.7
165,0.01,0.778947,1.37096,30,26,0.38961,0.866667
166,0.01,0.818295,1.358994,31,26,0.402597,0.83871
167,0.01,0.857641,1.376667,25,22,0.324675,0.88
168,0.01,0.837961,1.309953,29,21,0.376623,0.724138
169,0.01,0.815847,1.356693,30,25,0.38961,0.833333
170,0.01,0.8409,1.328157,30,23,0.38961,0.766667
171,0.01,0.788543,1.342425,30,24,0.38961,0.8
172,0.01,0.704302,1.386609,31,28,0.402597,0.903226
173,0.01,0.729148,1.374527,32,28,0.415584,0.875
174,0.01,0.803337,1.358994,31,26,0.402597,0.83871
175,0.01,0.765141,1.348766,27,22,0.350649,0.814815
176,0.01,0.778272,1.347775,32,26,0.415584,0.8125
177,0.01,0.765175,1.383752,29,26,0.376623,0.896552
178,0.01,0.813728,1.36218,26,22,0.337662,0.846154
179,0.01,0.699168,1.41091,25,24,0.324675,0.96
180,0.01,0.723712,1.382171,28,25,0.363636,0.892857
181,0.01,0.814284,1.365085,34,29,0.441558,0.852941
182,0.01,0.811351,1.372801,31,27,0.402597,0.870968
183,0.01,0.714854,1.395106,26,24,0.337662,0.923077
184,0.01,0.763231,1.353591,23,19,0.298701,0.826087
185,0.01,0.799701,1.354233,29,24,0.376623,0.827586
186,0.01,0.709562,1.380472,27,24,0.350649,0.888889
187,0.01,0.830582,1.359546,25,21,0.324675,0.84
188,0.01,0.704738,1.33631,28,22,0.363636,0.785714
189,0.01,0.920784,1.345717,26,21,0.337662,0.807692
190,0.01,0.776288,1.368992,29,25,0.376623,0.862069
191,0.01,0.749142,1.398512,29,27,0.376623,0.931034
192,0.01,0.79,1.366884,28,24,0.363636,0.857143
193,0.01,0.771368,1.368992,29,25,0.376623,0.862069
194,0.01,0.837134,1.366884,28,24,0.363636,0.857143
195,0.01,0.862657,1.351597,28,23,0.363636,0.821429
196,0.01,0.750327,1.374527,32,28,0.415584,0.875
197,0.01,0.654123,1.364619,27,23,0.350649,0.851852
