overlap,cer_mixed,cer_sep,oracle_action,stratum_pomdp,per_utterance_pomdp,router_v2,stratum_regret,per_utterance_regret,router_v2_regret
0.0,0.4427,0.9696,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.01,0.4472,0.9801,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.02,0.4526,0.9898,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.03,0.459,0.9983,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.04,0.4665,1.0052,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.05,0.4751,1.01,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.06,0.4851,1.0123,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.07,0.4965,1.0118,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.08,0.5094,1.008,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.09,0.5238,1.0007,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.1,0.5397,0.9895,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.11,0.557,0.9745,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.12,0.5756,0.9557,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.13,0.5954,0.9331,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.14,0.616,0.9072,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.15,0.6373,0.8785,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.16,0.6589,0.8474,mixed,mixed,mixed,mixed,0.0,0.0,0.0
0.17,0.6806,0.8146,mixed,mixed,mixed,separated,0.0,0.0,0.134
0.18,0.7022,0.781,mixed,mixed,mixed,separated,0.0,0.0,0.0788
0.19,0.7232,0.7472,mixed,mixed,mixed,separated,0.0,0.0,0.0239
0.2,0.7437,0.7139,separated,mixed,separated,separated,0.0298,0.0,0.0
0.21,0.7633,0.6818,separated,separated,separated,separated,0.0,0.0,0.0
0.22,0.7819,0.6516,separated,separated,separated,separated,0.0,0.0,0.0
0.23,0.7995,0.6235,separated,separated,separated,separated,0.0,0.0,0.0
0.24,0.816,0.5979,separated,separated,separated,separated,0.0,0.0,0.0
0.25,0.8312,0.5752,separated,separated,separated,separated,0.0,0.0,0.0
0.26,0.8453,0.5552,separated,separated,separated,separated,0.0,0.0,0.0
0.27,0.858,0.538,separated,separated,separated,separated,0.0,0.0,0.0
0.28,0.8694,0.5234,separated,separated,separated,separated,0.0,0.0,0.0
0.29,0.8793,0.5113,separated,separated,separated,separated,0.0,0.0,0.0
0.3,0.8876,0.5014,separated,separated,separated,separated,0.0,0.0,0.0
0.31,0.8941,0.4934,separated,separated,separated,separated,0.0,0.0,0.0
0.32,0.8988,0.4871,separated,separated,separated,separated,0.0,0.0,0.0
0.33,0.9014,0.4821,separated,separated,separated,separated,0.0,0.0,0.0
0.34,0.9019,0.4782,separated,separated,separated,separated,0.0,0.0,0.0
0.35,0.9002,0.4752,separated,separated,separated,separated,0.0,0.0,0.0
0.36,0.8962,0.4728,separated,separated,separated,separated,0.0,0.0,0.0
0.37,0.89,0.4709,separated,separated,separated,separated,0.0,0.0,0.0
0.38,0.8816,0.4694,separated,separated,separated,separated,0.0,0.0,0.0
0.39,0.8711,0.4682,separated,separated,separated,separated,0.0,0.0,0.0
0.4,0.8587,0.4671,separated,separated,separated,separated,0.0,0.0,0.0
0.41,0.8446,0.4662,separated,separated,separated,separated,0.0,0.0,0.0
0.42,0.8292,0.4653,separated,separated,separated,separated,0.0,0.0,0.0
0.43,0.8127,0.4645,separated,separated,separated,separated,0.0,0.0,0.0
0.44,0.7954,0.4637,separated,separated,separated,separated,0.0,0.0,0.0
0.45,0.7777,0.463,separated,separated,separated,separated,0.0,0.0,0.0
0.46,0.7599,0.4622,separated,separated,separated,separated,0.0,0.0,0.0
0.47,0.7423,0.4614,separated,separated,separated,separated,0.0,0.0,0.0
0.48,0.7252,0.4607,separated,separated,separated,separated,0.0,0.0,0.0
