pair_id,overlap_ratio,alpha,emb_consistency,pros_consistency,meter,emo_distortion
0,0.1,0.0,0.921279,0.699966,0.832754,0.0
0,0.1,0.0,0.919264,0.788432,0.866931,0.0
0,0.1,0.15,0.859194,0.712004,0.800318,0.003002
0,0.1,0.15,0.823547,0.686697,0.768807,0.06112
0,0.1,0.3,0.855891,0.711099,0.797974,0.005076
0,0.1,0.3,0.839956,0.695094,0.782011,0.101829
0,0.3,0.0,0.921279,0.699966,0.832754,0.0
0,0.3,0.0,0.919264,0.788432,0.866931,0.0
0,0.3,0.15,0.86516,0.669673,0.786965,0.119742
0,0.3,0.15,0.851507,0.692272,0.787813,0.118854
0,0.3,0.3,0.862266,0.680305,0.789481,0.12793
0,0.3,0.3,0.853568,0.7003,0.792261,0.147842
0,0.6,0.0,0.921279,0.699966,0.832754,0.0
0,0.6,0.0,0.919264,0.788432,0.866931,0.0
0,0.6,0.15,0.873788,0.675408,0.794436,0.909026
0,0.6,0.15,0.849507,0.713153,0.794965,0.105604
0,0.6,0.3,0.871237,0.666136,0.789197,0.90911
0,0.6,0.3,0.870375,0.705546,0.804443,0.132823
0,0.9,0.0,0.921279,0.699966,0.832754,0.0
0,0.9,0.0,0.919264,0.788432,0.866931,0.0
0,0.9,0.15,0.928326,0.698347,0.836335,0.080505
0,0.9,0.15,0.873346,0.617765,0.771114,0.068031
0,0.9,0.3,0.926582,0.652928,0.817121,0.859687
0,0.9,0.3,0.880798,0.634921,0.782447,0.130484
1,0.1,0.0,0.923891,0.944828,0.932266,0.0
1,0.1,0.0,0.962664,0.732736,0.870693,0.0
1,0.1,0.15,0.861482,0.808368,0.840236,0.000354
1,0.1,0.15,0.833571,0.791547,0.816761,0.011555
1,0.1,0.3,0.86353,0.800461,0.838302,0.000902
1,0.1,0.3,0.840836,0.803653,0.825962,0.032398
1,0.3,0.0,0.923891,0.944828,0.932266,0.0
1,0.3,0.0,0.962664,0.732736,0.870693,0.0
1,0.3,0.15,0.873503,0.820363,0.852247,0.037251
1,0.3,0.15,0.845794,0.762374,0.812426,0.076642
1,0.3,0.3,0.86974,0.819509,0.849648,0.065794
1,0.3,0.3,0.85121,0.82515,0.840786,0.107555
1,0.6,0.0,0.923891,0.944828,0.932266,0.0
1,0.6,0.0,0.962664,0.732736,0.870693,0.0
1,0.6,0.15,0.897422,0.831157,0.870916,0.015566
1,0.6,0.15,0.832703,0.788442,0.814999,0.100501
1,0.6,0.3,0.893718,0.828217,0.867518,0.023827
1,0.6,0.3,0.861657,0.796911,0.835759,0.255137
1,0.9,0.0,0.923891,0.944828,0.932266,0.0
1,0.9,0.0,0.962664,0.732736,0.870693,0.0
1,0.9,0.15,0.937085,0.850014,0.902257,0.022896
1,0.9,0.15,0.893187,0.775912,0.846277,0.226605
1,0.9,0.3,0.937982,0.788541,0.878206,0.025964
1,0.9,0.3,0.896339,0.712179,0.822675,0.66228
2,0.1,0.0,1.0,1.0,1.0,0.0
2,0.1,0.0,1.0,1.0,1.0,0.0
2,0.1,0.15,0.960452,0.912576,0.941302,0.000608
2,0.1,0.15,0.871754,0.924149,0.892712,0.012054
2,0.1,0.3,0.956071,0.893966,0.931229,0.002046
2,0.1,0.3,0.904726,0.967442,0.929812,0.033514
2,0.3,0.0,1.0,1.0,1.0,0.0
2,0.3,0.0,1.0,1.0,1.0,0.0
2,0.3,0.15,0.956338,0.916371,0.940351,0.016371
2,0.3,0.15,0.881059,0.924906,0.898598,0.002389
2,0.3,0.3,0.954513,0.887821,0.927836,0.033606
2,0.3,0.3,0.915319,0.969049,0.936811,0.587409
2,0.6,0.0,1.0,1.0,1.0,0.0
2,0.6,0.0,1.0,1.0,1.0,0.0
2,0.6,0.15,0.969853,0.981699,0.974591,0.02349
2,0.6,0.15,0.961855,0.886568,0.93174,0.020273
2,0.6,0.3,0.968497,0.961027,0.965509,0.029614
2,0.6,0.3,0.967527,0.88212,0.933365,0.034306
2,0.9,0.0,1.0,1.0,1.0,0.0
2,0.9,0.0,1.0,1.0,1.0,0.0
2,0.9,0.15,1.0,1.0,1.0,0.059624
2,0.9,0.15,1.0,1.0,1.0,0.565329
2,0.9,0.3,1.0,1.0,1.0,0.149244
2,0.9,0.3,1.0,1.0,1.0,0.566895
3,0.1,0.0,1.0,1.0,1.0,0.0
3,0.1,0.0,0.947095,0.936,0.942657,0.0
3,0.1,0.15,0.852395,0.73462,0.805285,0.000452
3,0.1,0.15,0.867807,0.765536,0.826898,0.103022
3,0.1,0.3,0.873354,0.754149,0.825672,9.4e-05
3,0.1,0.3,0.87537,0.774732,0.835114,0.10461
3,0.3,0.0,1.0,1.0,1.0,0.0
3,0.3,0.0,0.947095,0.936,0.942657,0.0
3,0.3,0.15,0.871048,0.74002,0.818637,0.008972
3,0.3,0.15,0.870965,0.730972,0.814968,0.085758
3,0.3,0.3,0.883172,0.749217,0.82959,0.015448
3,0.3,0.3,0.877795,0.743813,0.824202,0.097037
3,0.6,0.0,1.0,1.0,1.0,0.0
3,0.6,0.0,0.947095,0.936,0.942657,0.0
3,0.6,0.15,0.879591,0.787736,0.842849,0.095064
3,0.6,0.15,0.897933,0.709497,0.822559,0.152114
3,0.6,0.3,0.890552,0.782953,0.847513,0.122426
3,0.6,0.3,0.903716,0.727993,0.833427,0.19203
3,0.9,0.0,1.0,1.0,1.0,0.0
3,0.9,0.0,0.947095,0.936,0.942657,0.0
3,0.9,0.15,0.905736,0.814264,0.869147,0.050319
3,0.9,0.15,0.933953,0.694319,0.838099,0.124763
3,0.9,0.3,0.922011,0.792126,0.870057,0.068498
3,0.9,0.3,0.931612,0.711004,0.843369,0.745886
4,0.1,0.0,0.965901,0.757586,0.882575,0.0
4,0.1,0.0,1.0,1.0,1.0,0.0
4,0.1,0.15,0.891527,0.82734,0.865852,0.004005
4,0.1,0.15,0.869275,0.817238,0.84846,0.005329
4,0.1,0.3,0.918207,0.818878,0.878475,0.008042
4,0.1,0.3,0.880161,0.803981,0.849689,0.013824
4,0.3,0.0,0.965901,0.757586,0.882575,0.0
4,0.3,0.0,1.0,1.0,1.0,0.0
4,0.3,0.15,0.913187,0.815694,0.87419,0.014883
4,0.3,0.15,0.898837,0.81566,0.865566,0.015904
4,0.3,0.3,0.924228,0.815576,0.880767,0.025927
4,0.3,0.3,0.900109,0.80077,0.860373,0.033106
4,0.6,0.0,0.965901,0.757586,0.882575,0.0
4,0.6,0.0,1.0,1.0,1.0,0.0
4,0.6,0.15,0.938082,0.793986,0.880443,0.020574
4,0.6,0.15,0.912263,0.763917,0.852924,0.025679
4,0.6,0.3,0.939857,0.794141,0.881571,0.046447
4,0.6,0.3,0.924451,0.779071,0.866299,0.052845
4,0.9,0.0,0.965901,0.757586,0.882575,0.0
4,0.9,0.0,1.0,1.0,1.0,0.0
4,0.9,0.15,0.965715,0.757439,0.882405,0.013661
4,0.9,0.15,0.949488,0.728103,0.860934,0.041635
4,0.9,0.3,0.964659,0.758812,0.88232,0.027748
4,0.9,0.3,0.951354,0.749518,0.87062,0.074722
5,0.1,0.0,0.957501,0.806337,0.897035,0.0
5,0.1,0.0,1.0,1.0,1.0,0.0
5,0.1,0.15,0.88097,0.841899,0.865341,0.000644
5,0.1,0.15,0.868978,0.899137,0.881042,0.213203
5,0.1,0.3,0.897287,0.854639,0.880228,0.000792
5,0.1,0.3,0.873625,0.864213,0.86986,0.238232
5,0.3,0.0,0.957501,0.806337,0.897035,0.0
5,0.3,0.0,1.0,1.0,1.0,0.0
5,0.3,0.15,0.899002,0.867736,0.886495,0.023429
5,0.3,0.15,0.890011,0.878137,0.885261,0.256562
5,0.3,0.3,0.901571,0.858527,0.884354,0.039357
5,0.3,0.3,0.890952,0.864768,0.880478,0.28384
5,0.6,0.0,0.957501,0.806337,0.897035,0.0
5,0.6,0.0,1.0,1.0,1.0,0.0
5,0.6,0.15,0.938544,0.83579,0.897442,0.024206
5,0.6,0.15,0.929061,0.780541,0.869653,0.239313
5,0.6,0.3,0.939902,0.827696,0.89502,0.047932
5,0.6,0.3,0.918742,0.7949,0.869205,0.267489
5,0.9,0.0,0.957501,0.806337,0.897035,0.0
5,0.9,0.0,1.0,1.0,1.0,0.0
5,0.9,0.15,0.957206,0.798817,0.893851,0.076716
5,0.9,0.15,0.935694,0.726333,0.851949,0.071885
5,0.9,0.3,0.95525,0.800839,0.893485,0.091184
5,0.9,0.3,0.939285,0.746009,0.861975,0.148052
6,0.1,0.0,1.0,1.0,1.0,0.0
6,0.1,0.0,1.0,1.0,1.0,0.0
6,0.1,0.15,0.851973,0.743736,0.808679,0.023638
6,0.1,0.15,0.878921,0.759974,0.831342,0.019635
6,0.1,0.3,0.86232,0.759019,0.821,0.047493
6,0.1,0.3,0.883325,0.776425,0.840565,0.034395
6,0.3,0.0,1.0,1.0,1.0,0.0
6,0.3,0.0,1.0,1.0,1.0,0.0
6,0.3,0.15,0.858645,0.804667,0.837054,0.074885
6,0.3,0.15,0.890098,0.754098,0.835698,0.100659
6,0.3,0.3,0.867428,0.795308,0.83858,0.148471
6,0.3,0.3,0.88649,0.800214,0.85198,0.103551
6,0.6,0.0,1.0,1.0,1.0,0.0
6,0.6,0.0,1.0,1.0,1.0,0.0
6,0.6,0.15,0.930215,0.752274,0.859038,0.030959
6,0.6,0.15,0.908627,0.804067,0.866803,0.113137
6,0.6,0.3,0.912701,0.770586,0.855855,0.055983
6,0.6,0.3,0.903759,0.793415,0.859621,0.139153
6,0.9,0.0,1.0,1.0,1.0,0.0
6,0.9,0.0,1.0,1.0,1.0,0.0
6,0.9,0.15,0.959755,0.774842,0.88579,0.054566
6,0.9,0.15,0.952919,0.999395,0.971509,0.742138
6,0.9,0.3,0.957984,0.79949,0.894586,0.103089
6,0.9,0.3,0.959069,0.776622,0.88609,0.741559
7,0.1,0.0,1.0,1.0,1.0,0.0
7,0.1,0.0,0.969174,0.971051,0.969925,0.0
7,0.1,0.15,0.8594,0.800039,0.835656,5.4e-05
7,0.1,0.15,0.873952,0.872105,0.873213,0.071837
7,0.1,0.3,0.872524,0.830706,0.855797,0.00021
7,0.1,0.3,0.877482,0.892529,0.883501,0.074992
7,0.3,0.0,1.0,1.0,1.0,0.0
7,0.3,0.0,0.969174,0.971051,0.969925,0.0
7,0.3,0.15,0.895719,0.923845,0.906969,0.203316
7,0.3,0.15,0.91416,0.888489,0.903891,0.170257
7,0.3,0.3,0.901083,0.942518,0.917657,0.203414
7,0.3,0.3,0.900965,0.883209,0.893863,0.172124
7,0.6,0.0,1.0,1.0,1.0,0.0
7,0.6,0.0,0.969174,0.971051,0.969925,0.0
7,0.6,0.15,0.914682,0.806527,0.87142,0.067445
7,0.6,0.15,0.945577,0.851026,0.907757,0.14201
7,0.6,0.3,0.9239,0.770764,0.862646,0.126868
7,0.6,0.3,0.941994,0.734631,0.859049,0.201638
7,0.9,0.0,1.0,1.0,1.0,0.0
7,0.9,0.0,0.969174,0.971051,0.969925,0.0
7,0.9,0.15,0.966144,0.786924,0.894456,0.090271
7,0.9,0.15,0.976703,0.938131,0.961274,0.108949
7,0.9,0.3,0.964516,0.812391,0.903666,0.155569
7,0.9,0.3,0.971031,0.948703,0.9621,0.159948
