pair_id,overlap_ratio,alpha,cer_mixed,cer_sep,cer_benefit,emotion_benefit
0,0.0,0.0,0.46875,0.34375,0.125,0.0
0,0.1,0.0,0.46875,0.3125,0.15625,0.095427
0,0.3,0.0,0.53125,0.3125,0.21875,0.394446
0,0.6,0.0,0.4375,0.3125,0.125,0.700995
0,0.9,0.0,0.78125,0.3125,0.46875,0.571678
1,0.0,0.0,0.380952,0.47619,-0.095238,0.0
1,0.1,0.0,0.380952,0.47619,-0.095238,0.356854
1,0.3,0.0,0.428571,0.380952,0.047619,0.178746
1,0.6,0.0,0.666667,0.333333,0.333334,0.16202
1,0.9,0.0,0.904762,0.47619,0.428572,0.368239
2,0.0,0.0,0.444444,0.722222,-0.277778,0.0
2,0.1,0.0,0.666667,0.666667,0.0,0.387021
2,0.3,0.0,0.666667,0.666667,0.0,0.059953
2,0.6,0.0,0.777778,0.666667,0.111111,0.09696
2,0.9,0.0,0.833333,0.666667,0.166666,0.386749
3,0.0,0.0,0.555556,0.444444,0.111112,0.0
3,0.1,0.0,0.555556,0.555556,0.0,0.047165
3,0.3,0.0,0.555556,0.555556,0.0,0.088916
3,0.6,0.0,0.666667,0.444444,0.222223,0.16153
3,0.9,0.0,0.777778,0.444444,0.333334,0.43267
4,0.0,0.0,0.65,0.6,0.05,0.0
4,0.1,0.0,0.65,0.7,-0.05,0.042508
4,0.3,0.0,0.8,0.6,0.2,0.077747
4,0.6,0.0,0.8,0.5,0.3,0.093023
4,0.9,0.0,0.8,0.5,0.3,0.082558
5,0.0,0.0,0.529412,0.588235,-0.058823,0.0
5,0.1,0.0,0.352941,11.647059,-11.294118,0.126258
5,0.3,0.0,0.764706,0.588235,0.176471,0.203317
5,0.6,0.0,0.823529,0.529412,0.294117,0.206593
5,0.9,0.0,0.941176,0.470588,0.470588,0.213704
6,0.0,0.0,0.277778,0.277778,0.0,0.0
6,0.1,0.0,0.333333,0.333333,0.0,0.113496
6,0.3,0.0,0.277778,0.222222,0.055556,0.210152
6,0.6,0.0,0.666667,0.222222,0.444445,0.170796
6,0.9,0.0,0.444444,0.222222,0.222222,0.229004
7,0.0,0.0,0.409091,0.5,-0.090909,0.0
7,0.1,0.0,0.727273,0.5,0.227273,0.042215
7,0.3,0.0,0.363636,0.5,-0.136364,0.179786
7,0.6,0.0,0.545455,0.545455,0.0,0.508582
7,0.9,0.0,0.727273,0.545455,0.181818,0.19699
