pair_id,overlap_ratio,alpha,emotion_benefit,benefit_spk1,benefit_spk2,sep_distortion,mixed_distortion,arousal_shift,gain_component_db
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.1,0.0,0.095427,0.01044,0.180414,0.0,0.095427,0.0,0.0
0,0.1,0.15,0.063366,0.007438,0.119294,0.032061,0.095427,0.006892,0.007019
0,0.1,0.3,0.041974,0.005363,0.078584,0.053453,0.095427,0.019563,0.022756
0,0.3,0.0,0.394446,0.149188,0.639705,0.0,0.394446,0.0,0.0
0,0.3,0.15,0.275148,0.029446,0.520851,0.119298,0.394446,0.102768,0.153967
0,0.3,0.3,0.256561,0.021258,0.491863,0.137886,0.394446,0.117049,0.40192
0,0.6,0.0,0.700995,0.910628,0.491363,0.0,0.700995,0.0,0.0
0,0.6,0.15,0.19368,0.001602,0.385758,0.507315,0.700995,0.38022,0.167275
0,0.6,0.3,0.180029,0.001518,0.358539,0.520967,0.700995,0.378377,0.513989
0,0.9,0.0,0.571678,0.934923,0.208433,0.0,0.571678,0.0,0.0
0,0.9,0.15,0.49741,0.854417,0.140402,0.074268,0.571678,0.055553,0.163456
0,0.9,0.3,0.076592,0.075236,0.077949,0.495085,0.571678,0.381257,0.547983
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.0,0.356854,0.64452,0.069188,0.0,0.356854,0.0,0.0
1,0.1,0.15,0.350899,0.644165,0.057632,0.005955,0.356854,9.1e-05,0.007514
1,0.1,0.3,0.340203,0.643617,0.03679,0.01665,0.356854,0.011065,0.023269
1,0.3,0.0,0.178746,0.106309,0.251183,0.0,0.178746,0.0,0.0
1,0.3,0.15,0.1218,0.069059,0.174541,0.056946,0.178746,0.01228,0.129612
1,0.3,0.3,0.092072,0.040515,0.143629,0.086674,0.178746,0.028144,0.338635
1,0.6,0.0,0.16202,0.04948,0.274559,0.0,0.16202,0.0,0.0
1,0.6,0.15,0.103986,0.033914,0.174058,0.058033,0.16202,0.016129,0.231091
1,0.6,0.3,0.022537,0.025653,0.019422,0.139482,0.16202,0.09817,0.70672
1,0.9,0.0,0.368239,0.065426,0.671053,0.0,0.368239,0.0,0.0
1,0.9,0.15,0.243488,0.04253,0.444447,0.124751,0.368239,0.089262,0.354303
1,0.9,0.3,0.024117,0.039461,0.008772,0.344122,0.368239,0.156969,0.972862
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1,0.0,0.387021,0.010683,0.763359,0.0,0.387021,0.0,0.0
2,0.1,0.15,0.380691,0.010075,0.751306,0.006331,0.387021,0.006445,0.006916
2,0.1,0.3,0.369241,0.008638,0.729845,0.01778,0.387021,0.018347,0.026211
2,0.3,0.0,0.059953,0.081374,0.038532,0.0,0.059953,0.0,0.0
2,0.3,0.15,0.050573,0.065003,0.036143,0.00938,0.059953,0.002124,0.068537
2,0.3,0.3,-0.250554,0.047769,-0.548876,0.310507,0.059953,0.222359,0.224707
2,0.6,0.0,0.09696,0.149045,0.044876,0.0,0.09696,0.0,0.0
2,0.6,0.15,0.075079,0.125555,0.024604,0.021881,0.09696,0.014065,0.260052
2,0.6,0.3,0.065001,0.119431,0.010571,0.03196,0.09696,0.022463,0.699611
2,0.9,0.0,0.386749,0.218993,0.554506,0.0,0.386749,0.0,0.0
2,0.9,0.15,0.074273,0.159369,-0.010823,0.312477,0.386749,0.194043,0.204462
2,0.9,0.3,0.02868,0.06975,-0.01239,0.358069,0.386749,0.213327,0.64871
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1,0.0,0.047165,0.000289,0.094041,0.0,0.047165,0.0,0.0
3,0.1,0.15,-0.004572,-0.000163,-0.00898,0.051737,0.047165,0.037019,0.117592
