metric,rq23_linear_5f,rq28_rf_5f,rq32_rf_13f,delta_vs_rq28
loo_accuracy,0.957164,0.968981,0.970458,0.001477
loo_accuracy_correct,648,,657,
wilson_ci_lo,,,0.954811,
wilson_ci_hi,,,0.980796,
majority_baseline,0.937962,0.937962,0.937962,
off_diagonal_total,29,21,20,-1
off_diagonal_diverse_nonhalluc,17,17,18,1
a4_sensitivity_task_def,0.837838,0.864865,0.864865,0.0
feature_importance_cr,,,0.476794,
feature_importance_lang_id_entropy,,,0.057539,
feature_importance_length_ratio,,,0.025634,
feature_importance_content_similarity,,,0.076359,
feature_importance_num_speakers,,,0.0223,
feature_importance_runtime_ratio,,,0.16172,
feature_importance_sep_total_chars,,,0.124229,
feature_importance_mix_total_chars,,,0.008825,
feature_importance_char_ratio,,,0.000632,
feature_importance_num_active_speakers_sep,,,0.005107,
feature_importance_avg_speaker_length_sep,,,0.035238,
feature_importance_length_entropy_speakers,,,0.005622,
feature_importance_has_metadata,,,0.0,
