pair_id,overlap_ratio,noise_type,snr_db,selected_gate,cer_mixed,cer_sep,cer_flatness_gate,cer_speaker_gate,cer_selector,has_residual,residual_flatness_sel,residual_flatness_max,sim_gap_sel
0,0.6,white,10.0,flatness,0.78125,0.34375,0.40625,0.34375,0.40625,1,0.493263,0.533941,0.284866
0,0.6,white,5.0,flatness,0.8125,0.53125,0.65625,0.6875,0.65625,1,0.521889,0.542587,0.267025
0,0.6,white,0.0,flatness,0.84375,0.84375,0.875,0.875,0.875,1,0.524411,0.550208,0.270445
0,0.6,pink,10.0,speaker,0.71875,0.3125,0.3125,0.28125,0.28125,1,0.145968,0.169416,0.269516
0,0.6,pink,5.0,speaker,0.6875,0.46875,0.46875,0.46875,0.46875,1,0.168108,0.172763,0.273805
0,0.6,pink,0.0,speaker,0.78125,0.5,0.5,0.625,0.625,1,0.163019,0.167088,0.209237
0,0.6,babble,10.0,speaker,0.625,0.375,0.5,0.375,0.375,1,0.102563,0.118248,0.156064
0,0.6,babble,5.0,speaker,0.8125,0.625,0.59375,0.65625,0.65625,1,0.099851,0.1018,0.152605
0,0.6,babble,0.0,none,0.9375,1.6875,0.90625,1.6875,1.6875,0,0.0,0.0,0.0
0,0.8,white,10.0,speaker,0.875,0.3125,0.25,0.46875,0.46875,1,0.379314,0.444167,0.197908
0,0.8,white,5.0,flatness,0.8125,0.46875,0.4375,0.65625,0.4375,1,0.434144,0.466594,0.17558
0,0.8,white,0.0,flatness,0.90625,3.78125,0.9375,0.90625,0.9375,1,0.494893,0.509115,0.21417
0,0.8,pink,10.0,speaker,0.78125,0.28125,0.28125,0.5,0.5,1,0.126066,0.143287,0.214899
0,0.8,pink,5.0,speaker,0.8125,0.5,0.5,0.65625,0.65625,1,0.149,0.163469,0.184716
0,0.8,pink,0.0,speaker,1.0,0.75,0.75,0.75,0.75,1,0.136667,0.140738,0.188557
0,0.8,babble,10.0,speaker,0.71875,0.53125,0.5625,0.625,0.625,1,0.075074,0.083999,0.17724
0,0.8,babble,5.0,speaker,0.875,1.03125,1.09375,0.78125,0.78125,1,0.070511,0.072794,0.164401
0,0.8,babble,0.0,speaker,0.9375,0.875,0.84375,0.8125,0.8125,1,0.080292,0.084599,0.112759
1,0.6,white,10.0,flatness,0.761905,0.714286,0.571429,0.714286,0.571429,1,0.482623,0.537012,0.120232
1,0.6,white,5.0,flatness,1.0,0.904762,1.0,1.0,1.0,1,0.515234,0.543886,0.133631
1,0.6,white,0.0,flatness,0.952381,0.904762,10.904762,10.904762,10.904762,1,0.538691,0.548361,0.106826
1,0.6,pink,10.0,speaker,0.714286,0.714286,0.666667,0.571429,0.571429,1,0.12774,0.129365,0.165461
1,0.6,pink,5.0,speaker,0.904762,10.761905,10.761905,0.761905,0.761905,1,0.152801,0.155374,0.185523
