dataset,track_id,hallucinated,cr,lang_id_entropy,cr_flag,lang_id_flag,cer,cr_phase_curve
gold,con_001_pro_001_r0.0_sep1,0,0.803571,0.0,0,0,0.466667,0.8036
gold,con_001_pro_001_r0.0_sep2,0,0.852459,0.309543,0,0,0.235294,0.8525
gold,con_001_pro_001_r0.05_sep1,0,0.803571,0.0,0,0,0.466667,0.8036
gold,con_001_pro_001_r0.05_sep2,0,0.852459,0.309543,0,0,0.176471,0.8525
gold,con_001_pro_001_r0.1_sep1,0,0.803571,0.0,0,0,0.466667,0.8036
gold,con_001_pro_001_r0.1_sep2,0,0.85,0.0,0,0,0.176471,0.85
gold,con_001_pro_001_r0.15_sep1,0,0.803571,0.0,0,0,0.466667,0.8036
gold,con_001_pro_001_r0.15_sep2,0,0.852459,0.309543,0,0,0.176471,0.8525
gold,con_001_pro_001_r0.2_sep1,0,0.803571,0.0,0,0,0.466667,0.8036
gold,con_001_pro_001_r0.2_sep2,0,0.85,0.0,0,0,0.176471,0.85
gold,con_001_pro_001_r0.25_sep1,0,0.803571,0.0,0,0,0.466667,0.8036
gold,con_001_pro_001_r0.25_sep2,0,0.85,0.0,0,0,0.176471,0.85
gold,con_001_pro_001_r0.3_sep1,0,0.803571,0.0,0,0,0.466667,0.8036
gold,con_001_pro_001_r0.3_sep2,0,0.85,0.0,0,0,0.176471,0.85
gold,con_001_pro_001_r0.35_sep1,0,0.803571,0.0,0,0,0.4,0.8036
gold,con_001_pro_001_r0.35_sep2,0,0.85,0.0,0,0,0.176471,0.85
gold,con_001_pro_001_r0.4_sep1,0,0.803571,0.0,0,0,0.4,0.8036
gold,con_001_pro_001_r0.4_sep2,0,0.85,0.0,0,0,0.176471,0.85
gold,con_001_pro_001_r0.45_sep1,0,0.803571,0.0,0,0,0.466667,0.8036
gold,con_001_pro_001_r0.45_sep2,0,0.85,0.0,0,0,0.176471,0.85
gold,con_001_pro_001_r0.5_sep1,0,0.803571,0.0,0,0,0.4,0.8036
gold,con_001_pro_001_r0.5_sep2,0,0.85,0.0,0,0,0.176471,0.85
gold,con_001_pro_001_r0.6_sep1,0,0.803571,0.0,0,0,0.466667,0.8036
