con,pro,overlap_ratio,track,cure,cer,max_compression_ratio,repetition,n_segments
con_006.wav,pro_006.wav,0.05,spk2,greedy_baseline,24.25,16.3333,27,28
con_006.wav,pro_006.wav,0.05,spk2,silence_trim,0.5,0.7381,0,1
con_006.wav,pro_006.wav,0.05,spk2,halluc_silence,0.625,0.7857,0,1
con_006.wav,pro_006.wav,0.05,spk2,halluc_silence_trim,0.5,0.7381,0,1
con_006.wav,pro_006.wav,0.05,spk2,beam5,0.75,0.7895,0,1
con_006.wav,pro_006.wav,0.1,spk2,greedy_baseline,24.25,16.3333,27,28
con_006.wav,pro_006.wav,0.1,spk2,silence_trim,0.5,0.7381,0,1
con_006.wav,pro_006.wav,0.1,spk2,halluc_silence,0.5,0.7317,0,1
con_006.wav,pro_006.wav,0.1,spk2,halluc_silence_trim,0.5,0.7381,0,1
con_006.wav,pro_006.wav,0.1,spk2,beam5,0.75,0.7895,0,1
con_001.wav,pro_003.wav,0.1,spk2,greedy_baseline,14.866667,29.087,268,1
con_001.wav,pro_003.wav,0.1,spk2,silence_trim,0.6,0.8254,0,1
con_001.wav,pro_003.wav,0.1,spk2,halluc_silence,0.6,0.8136,0,1
con_001.wav,pro_003.wav,0.1,spk2,halluc_silence_trim,0.6,0.8254,0,1
con_001.wav,pro_003.wav,0.1,spk2,beam5,0.666667,0.7925,0,1
con_001.wav,pro_003.wav,0.0,spk2,greedy_baseline,11.6,15.8182,41,29
con_001.wav,pro_003.wav,0.0,spk2,silence_trim,0.6,0.8254,0,1
con_001.wav,pro_003.wav,0.0,spk2,halluc_silence,0.6,0.8254,0,1
con_001.wav,pro_003.wav,0.0,spk2,halluc_silence_trim,0.6,0.8254,0,1
con_001.wav,pro_003.wav,0.0,spk2,beam5,0.6,0.7925,0,1
con_003.wav,pro_002.wav,0.15,spk2,greedy_baseline,1.7,1.0169,1,4
con_003.wav,pro_002.wav,0.15,spk2,silence_trim,0.6,0.9091,0,1
con_003.wav,pro_002.wav,0.15,spk2,halluc_silence,0.3,0.7857,0,1
con_003.wav,pro_002.wav,0.15,spk2,halluc_silence_trim,0.6,0.9091,0,1
con_003.wav,pro_002.wav,0.15,spk2,beam5,0.3,0.7857,0,1
