sample_id,split,overlap_ratio,cer_mixed,cer_sep,cer_sep_trim,deg_mixed,deg_sep,deg_sep_trim,cer_fixed_mixed,cer_fixed_sep,cer_fixed_sep_trim,cer_halluc_2way,cer_halluc_3way,cer_overlap_router,cer_oracle,choice_halluc_2way,choice_halluc_3way,choice_overlap_router
SyntheticNoOverlap_dev_01,dev,0.0,0.46875,0.34375,0.34375,0.9505,0.8525,0.8226,0.46875,0.34375,0.34375,0.34375,0.34375,0.46875,0.34375,fixed_sep_trim,fixed_sep_trim,fixed_mixed
SyntheticNoOverlap_dev_02,dev,0.0,0.576923,0.615385,0.615385,1.0109,0.8824,0.8824,0.576923,0.615385,0.615385,0.615385,0.615385,0.576923,0.576923,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticNoOverlap_dev_03,dev,0.0,0.65,0.65,0.65,0.8871,0.7576,0.7576,0.65,0.65,0.65,0.65,0.65,0.65,0.65,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticNoOverlap_dev_04,dev,0.0,0.555556,0.444444,0.444444,0.7317,0.7317,0.7317,0.555556,0.444444,0.444444,0.555556,0.555556,0.555556,0.444444,fixed_mixed,fixed_mixed,fixed_mixed
SyntheticNoOverlap_dev_05,dev,0.0,0.8,0.4,0.4,0.75,0.8226,0.8226,0.8,0.4,0.4,0.8,0.8,0.8,0.4,fixed_mixed,fixed_mixed,fixed_mixed
SyntheticNoOverlap_dev_06,dev,0.0,0.714286,0.571429,0.47619,0.8983,0.7105,0.7805,0.714286,0.571429,0.47619,0.47619,0.571429,0.714286,0.47619,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticNoOverlap_dev_07,dev,0.0,0.277778,0.277778,0.277778,0.8852,0.7105,0.75,0.277778,0.277778,0.277778,0.277778,0.277778,0.277778,0.277778,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticNoOverlap_dev_08,dev,0.0,0.3,0.55,0.25,0.8451,0.78,0.8125,0.3,0.55,0.25,0.25,0.55,0.3,0.25,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticNoOverlap_dev_09,dev,0.0,0.428571,0.5,0.714286,0.84,0.7857,0.9091,0.428571,0.5,0.714286,0.428571,0.5,0.428571,0.428571,fixed_mixed,fixed_sep,fixed_mixed
SyntheticNoOverlap_dev_10,dev,0.0,0.290323,0.483871,0.580645,0.9677,0.873,0.8667,0.290323,0.483871,0.580645,0.580645,0.580645,0.290323,0.290323,fixed_sep_trim,fixed_sep_trim,fixed_mixed
SyntheticNoOverlap_test_01,test,0.0,0.371429,2.457143,0.4,1.0194,6.0,0.8846,0.371429,2.457143,0.4,0.4,0.4,0.371429,0.371429,fixed_sep_trim,fixed_sep_trim,fixed_mixed
SyntheticNoOverlap_test_02,test,0.0,0.28,0.32,0.32,0.8929,0.8036,0.8036,0.28,0.32,0.32,0.32,0.32,0.28,0.28,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticNoOverlap_test_03,test,0.0,0.2,0.233333,0.266667,1.0303,0.8478,0.8824,0.2,0.233333,0.266667,0.266667,0.233333,0.2,0.2,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticNoOverlap_test_04,test,0.0,0.578947,0.894737,0.684211,0.8382,0.7241,0.7143,0.578947,0.894737,0.684211,0.684211,0.684211,0.578947,0.578947,fixed_sep_trim,fixed_sep_trim,fixed_mixed
