pair_id,overlap_ratio,alpha,cer_benefit,acoustic_benefit,lexical_benefit
0,0.0,0.15,-0.65625,0.0,0.0
0,0.1,0.15,-0.65625,0.063366,0.0
0,0.3,0.15,-0.15625,0.275148,0.0
0,0.6,0.15,-0.1875,0.19368,0.0
0,0.9,0.15,0.46875,0.49741,0.0
1,0.0,0.15,-0.714286,0.0,0.0
1,0.1,0.15,-0.714286,0.350899,0.0
1,0.3,0.15,-0.52381,0.1218,0.0
1,0.6,0.15,-0.095238,0.103986,0.0
1,0.9,0.15,0.285714,0.243488,0.0
2,0.0,0.15,-0.444445,0.0,0.0
2,0.1,0.15,-0.166666,0.380691,0.0
2,0.3,0.15,0.222223,0.050573,0.0
2,0.6,0.15,0.111111,0.075079,0.0
2,0.9,0.15,0.222222,0.074273,0.0
3,0.0,0.15,-0.166666,0.0,0.0
3,0.1,0.15,0.055556,-0.004572,0.0
3,0.3,0.15,-11.944444,0.041551,0.0
3,0.6,0.15,0.111111,0.037941,0.0
3,0.9,0.15,0.055556,0.345129,0.0
4,0.0,0.15,0.05,0.0,0.0
4,0.1,0.15,-0.3,0.03784,0.0
4,0.3,0.15,-0.2,0.062354,0.0
4,0.6,0.15,0.0,0.069896,0.0
4,0.9,0.15,0.05,0.05491,0.0
5,0.0,0.15,-0.470588,0.0,0.0
5,0.1,0.15,-0.588235,0.019335,0.0
5,0.3,0.15,-0.294118,0.063321,0.0
5,0.6,0.15,0.235294,0.074833,0.0
5,0.9,0.15,0.352941,0.139403,0.0
6,0.0,0.15,-0.5,0.0,0.0
6,0.1,0.15,-0.388889,0.091859,0.0
6,0.3,0.15,-0.333333,0.12238,0.0
6,0.6,0.15,0.055556,0.098748,0.0
6,0.9,0.15,0.055555,-0.169348,0.0
7,0.0,0.15,-0.5,0.0,-0.034796
7,0.1,0.15,-0.136363,0.00627,0.169031
7,0.3,0.15,-0.5,-0.007,0.169031
7,0.6,0.15,-0.227272,0.403854,0.020776
7,0.9,0.15,0.363637,0.09738,0.19881
