window_id,hallucinated,mode_s,diverse_hallucination,lang_id_entropy,length_ratio,cr,separated_cpwer,cot_hallucinated,cot_confidence,cot_score,audit_text_len
0,1,0,1,1.553509,6.689655,1.102041,2.333333,1,0.7,0.7,24
1,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
2,0,0,0,0.0,0.916667,1.32,1.0,1,0.8,0.8,77
3,0,0,0,0.0,1.216216,1.336634,1.0,0,0.8,0.2,90
4,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
5,1,0,1,0.490342,0.428571,0.928571,2.0,1,0.8,0.8,36
6,0,0,0,0.0,1.025974,1.530612,1.0,0,1.0,0.0,4
7,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
8,0,0,0,0.322757,0.708333,0.900901,1.0,0,0.98,0.02,34
9,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
10,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
11,1,0,1,0.563285,136.0,1.354839,3.0,1,0.8,0.8,136
12,0,0,0,0.0,1.0,1.546875,1.0,1,0.1,0.1,99
13,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
14,0,0,0,0.373609,0.99115,1.347458,1.0,0,0.9,0.1,111
15,0,0,0,0.0,2.0,0.428571,1.0,0,1.0,0.0,2
16,0,0,0,0.0,201.0,2.30597,1.0,1,0.8,0.8,103
17,1,0,1,0.630778,167.0,1.668449,1.333333,1,0.9,0.9,58
18,1,0,1,1.240671,196.0,2.965517,1.666667,1,0.0,0.0,11
19,0,0,0,0.863121,1.173913,1.349282,1.0,1,0.8,0.8,14
20,1,0,1,1.298023,115.0,1.375796,2.0,1,0.9,0.9,43
21,1,0,1,0.503258,9.0,0.694444,1.5,1,0.0,0.0,9
22,1,1,0,0.143726,1.020833,1.367925,2.0,0,0.9,0.1,98
23,1,0,1,1.216316,144.0,1.177665,3.0,1,0.9,0.9,90
24,0,0,0,0.0,3.0,0.5,1.0,0,0.98,0.02,3
25,1,0,1,1.086049,1.087248,1.460145,1.5,0,0.98,0.02,27
26,1,0,1,1.652579,1.264,1.409774,3.5,1,0.95,0.95,33
27,0,0,0,0.0,1.014286,1.484321,1.0,1,0.9,0.9,142
28,1,0,1,0.785235,35.0,0.853333,2.0,1,0.8,0.8,24
29,0,0,0,0.0,0.410959,1.0,1.0,1,0.8,0.8,4
30,1,1,0,0.322852,1.026667,1.491639,2.0,0,0.98,0.02,154
31,1,0,1,1.1635,1.222222,0.991228,2.5,1,0.1,0.1,32
32,1,0,1,1.31639,3.321429,1.381295,1.333333,1,0.9,0.9,29
33,1,0,1,1.068306,1.630769,1.165829,2.666667,1,0.3,0.3,96
34,0,0,0,0.0,0.712766,2.272727,1.0,1,0.9,0.9,25
35,1,0,1,1.265471,49.0,0.918519,2.0,0,0.95,0.05,49
36,0,0,0,0.0,1.094118,1.334928,1.0,1,0.9,0.9,93
37,0,0,0,0.373609,1.15625,1.384279,1.0,0,0.5,0.5,111
38,0,0,0,0.0,0.974684,1.228723,1.0,1,0.8,0.8,77
39,0,0,0,0.0,0.982759,1.14,1.0,0,0.9,0.1,57
40,0,0,0,0.0,0.938462,1.180645,1.0,0,0.9,0.1,61
41,1,0,1,1.241695,0.857143,0.90678,1.5,0,0.9,0.1,42
42,1,0,1,1.554222,0.72973,0.970874,3.0,1,0.8,0.8,54
43,1,0,1,1.685816,1.663551,2.015748,1.666667,1,0.9,0.9,11
44,0,0,0,0.831474,1.029412,1.092857,1.0,1,0.8,0.8,19
45,1,0,1,1.378783,0.991803,0.943038,3.25,1,0.0,0.0,14
46,0,0,0,0.0,0.985075,1.2375,1.0,0,0.98,0.02,66
47,1,0,1,1.090274,118.0,1.121212,2.0,0,0.8,0.2,88
48,1,0,1,1.371283,1.232759,1.060914,2.0,1,0.9,0.9,83
49,1,0,1,1.360527,127.0,1.267081,2.0,0,0.8,0.2,19
50,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
51,1,0,1,1.324496,3.311111,1.267442,2.0,1,0.8,0.8,106
52,0,0,0,0.94566,1.136842,1.404878,1.0,0,0.8,0.2,11
53,1,0,1,1.080626,89.0,1.07767,3.0,1,0.8,0.8,89
54,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
55,1,0,1,0.409073,91.0,1.067901,1.333333,0,0.98,0.02,61
56,0,0,0,0.0,0.434783,1.094891,1.0,1,0.8,0.8,50
57,1,0,1,1.183979,76.0,0.957265,2.0,1,0.9,0.9,57
58,0,0,0,0.0,0.952941,1.265625,1.0,0,0.98,0.02,81
59,0,0,0,0.325552,84.0,1.308108,1.0,1,0.7,0.7,84
60,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
61,0,0,0,0.0,0.958763,1.285714,1.0,1,0.8,0.8,93
62,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
63,1,0,1,1.426068,67.0,0.922535,3.0,1,0.0,0.0,67
64,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
65,1,0,1,1.313896,154.0,1.974359,2.666667,1,0.9,0.9,54
66,0,0,0,0.0,7.0,0.65625,1.0,0,0.95,0.05,7
67,0,0,0,0.0,2.0,0.428571,1.0,1,0.8,0.8,2
68,1,0,1,1.465538,1.73494,1.115702,3.0,0,0.5,0.5,68
69,1,0,1,0.967193,1.112069,1.408537,1.5,1,0.8,0.8,52
70,1,0,1,1.171037,2.358974,0.926174,1.666667,1,0.0,0.0,56
71,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
72,1,0,1,1.113908,116.0,1.066298,1.75,1,0.8,0.8,33
73,1,0,1,1.411981,119.0,0.927632,4.333333,1,0.8,0.8,56
74,1,0,1,1.384432,102.0,1.027972,1.5,0,0.9,0.1,12
75,0,0,0,0.0,0.0,0.0,1.0,0,0.5,0.5,0
76,1,0,1,0.940959,74.0,1.021505,3.0,1,0.8,0.8,74
