window_id,hallucinated,mode_s,lang_id_entropy,length_ratio,cr,bigram_jaccard,trigram_jaccard,lev_ratio,shared_char_ratio,lcs_ratio,token_overlap_jaccard,best_detector_flag
0,True,False,1.553509,6.689655,1.102041,0.0,0.0,0.973118,0.083969,0.026882,0.073171,False
1,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
2,False,False,0.0,0.916667,1.32,0.674419,0.587629,0.156627,0.789474,0.843373,0.803571,False
3,False,False,0.0,1.216216,1.336634,0.617978,0.53,0.211111,0.824561,0.788889,0.824561,False
4,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
5,True,False,0.490342,0.428571,0.928571,0.018519,0.009009,0.916667,0.101266,0.095238,0.102564,False
6,False,False,0.0,1.025974,1.530612,0.301075,0.176991,0.594937,0.535714,0.506329,0.535714,False
7,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8,False,False,0.322757,0.708333,0.900901,0.013333,0.0,0.955556,0.059701,0.111111,0.071429,False
9,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
11,True,False,0.563285,136.0,1.354839,0.0,0.0,1.0,0.0,0.0,0.0,False
12,False,False,0.0,1.0,1.546875,1.0,1.0,0.0,1.0,1.0,1.0,True
13,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
14,False,False,0.373609,0.99115,1.347458,0.669725,0.614173,0.159292,0.75,0.867257,0.784615,False
15,False,False,0.0,2.0,0.428571,0.0,0.0,1.0,0.0,0.0,0.0,False
16,False,False,0.0,201.0,2.30597,0.0,0.0,1.0,0.0,0.0,0.0,False
17,True,False,0.630778,167.0,1.668449,0.0,0.0,1.0,0.0,0.0,0.0,False
18,True,False,1.240671,196.0,2.965517,0.0,0.0,1.0,0.0,0.0,0.0,False
19,False,False,0.863121,1.173913,1.349282,0.530435,0.476562,0.277778,0.676056,0.722222,0.705882,False
20,True,False,1.298023,115.0,1.375796,0.0,0.0,1.0,0.0,0.0,0.0,False
21,True,False,0.503258,9.0,0.694444,0.0,0.0,1.0,0.0,0.0,0.0,False
22,True,True,0.143726,1.020833,1.367925,0.586538,0.419355,0.25,0.758065,0.770833,0.758065,False
23,True,False,1.216316,144.0,1.177665,0.0,0.0,1.0,0.0,0.0,0.0,False
24,False,False,0.0,3.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,False
25,True,False,1.086049,1.087248,1.460145,0.328205,0.209016,0.559006,0.504587,0.571429,0.533981,False
26,True,False,1.750916,1.264,1.409774,0.244898,0.197309,0.562092,0.33871,0.464052,0.375,False
27,False,False,0.0,1.014286,1.484321,0.899225,0.889655,0.049296,0.933333,0.950704,0.933333,False
28,True,False,0.785235,35.0,0.853333,0.0,0.0,1.0,0.0,0.0,0.0,False
29,False,False,0.0,0.410959,1.0,0.021978,0.0,0.957143,0.085714,0.057143,0.092308,False
30,True,True,0.322852,1.026667,1.491639,0.482143,0.415842,0.300654,0.659574,0.738562,0.696629,False
31,True,False,1.1635,1.222222,0.991228,0.008197,0.0,0.986486,0.058824,0.067568,0.022989,False
32,True,False,1.31639,3.321429,1.381295,0.0,0.0,0.967391,0.072464,0.032609,0.048387,False
33,True,False,1.068306,1.630769,1.165829,0.05036,0.033113,0.871287,0.090909,0.148515,0.1,False
34,False,False,0.0,0.712766,2.272727,0.014599,0.007143,0.904255,0.10101,0.12766,0.10101,False
35,True,False,1.265471,49.0,0.918519,0.0,0.0,1.0,0.0,0.0,0.0,False
36,False,False,0.0,1.094118,1.334928,0.755814,0.71134,0.129032,0.790323,0.870968,0.790323,False
37,False,False,0.373609,1.15625,1.384279,0.166667,0.063492,0.540541,0.373494,0.468468,0.373494,False
38,False,False,0.0,0.974684,1.228723,0.036496,0.006803,0.848101,0.118812,0.202532,0.118812,False
39,False,False,0.0,0.982759,1.14,0.943396,0.910714,0.017241,0.977273,0.982759,0.977273,False
