pair_id,con,pro,overlap_ratio,cer_mixed_base,cer_sep_base,cer_sep_trim_base,cr_mixed_base,cr_sep_base,nsp_sep_base,rep_sep_base,nseg_mixed_base,nseg_sep_base,runtime_mixed_base,runtime_sep_base,cer_mixed_tiny,cer_sep_tiny,cer_sep_trim_tiny,cr_mixed_tiny,cr_sep_tiny,nsp_sep_tiny,rep_sep_tiny,nseg_mixed_tiny,nseg_sep_tiny,runtime_mixed_tiny,runtime_sep_tiny
0,con_001.wav,pro_001.wav,0.0,0.375,0.3125,,0.96,0.8254,0.1459,0,3,2,0,0,0.46875,0.34375,,0.9505,0.8226,0.0971,0,2,2,0,0
0,con_001.wav,pro_001.wav,0.15,0.125,0.3125,,0.9417,0.8254,0.1459,0,2,2,0,0,0.46875,0.34375,,0.9327,0.8226,0.0971,0,2,2,0,0
0,con_001.wav,pro_001.wav,0.35,0.21875,0.3125,,0.9072,0.8254,0.1459,0,2,2,0,0,0.25,0.34375,,0.9158,0.8226,0.0971,0,2,2,0,0
0,con_001.wav,pro_001.wav,0.6,0.40625,0.3125,,0.9,0.8254,0.1459,0,2,2,0,0,0.4375,0.34375,,0.8721,0.8226,0.0971,0,2,2,0,0
0,con_001.wav,pro_001.wav,0.9,0.71875,0.3125,,0.8889,0.8254,0.1459,0,1,2,0,0,0.78125,0.34375,,0.9231,0.8226,0.0971,0,2,2,0,0
1,con_002.wav,pro_008.wav,0.0,0.238095,0.142857,,0.8846,0.8478,0.212,0,2,2,0,0,0.380952,0.380952,,0.8846,0.8824,0.2033,0,2,2,0,0
1,con_002.wav,pro_008.wav,0.15,0.285714,0.142857,,0.8846,0.8478,0.212,0,2,2,0,0,0.380952,0.380952,,0.8846,0.8824,0.2033,0,2,2,0,0
1,con_002.wav,pro_008.wav,0.35,0.333333,0.142857,,0.8514,0.8478,0.212,0,1,2,0,0,0.52381,0.380952,,0.8514,0.8824,0.2033,0,1,2,0,0
1,con_002.wav,pro_008.wav,0.6,0.52381,0.142857,,0.8226,0.8478,0.212,0,1,2,0,0,0.666667,0.380952,,0.8308,0.8824,0.2033,0,1,2,0,0
1,con_002.wav,pro_008.wav,0.9,1.0,0.142857,,0.8036,0.8478,0.212,0,1,2,0,0,0.904762,0.380952,,0.8036,0.8824,0.2033,0,1,2,0,0
2,con_003.wav,pro_015.wav,0.0,0.166667,0.111111,,0.8308,0.7317,0.0686,0,2,2,0,0,0.444444,0.666667,,0.8333,0.7105,0.0768,0,2,2,0,0
2,con_003.wav,pro_015.wav,0.15,0.166667,0.111111,,0.8308,0.7317,0.0686,0,2,2,0,0,0.666667,0.666667,,0.6562,0.7105,0.0768,0,1,2,0,0
2,con_003.wav,pro_015.wav,0.35,0.333333,0.111111,,0.8036,0.7317,0.0686,0,2,2,0,0,0.666667,0.666667,,0.6562,0.7105,0.0768,0,1,2,0,0
2,con_003.wav,pro_015.wav,0.6,0.611111,0.111111,,0.6562,0.7317,0.0686,0,1,2,0,0,0.777778,0.666667,,0.6562,0.7105,0.0768,0,1,2,0,0
2,con_003.wav,pro_015.wav,0.9,0.777778,0.111111,,0.7,0.7317,0.0686,0,1,2,0,0,0.833333,0.666667,,0.6562,0.7105,0.0768,0,1,2,0,0
3,con_004.wav,pro_007.wav,0.0,0.166667,0.333333,,0.8382,0.7317,0.4304,0,2,3,0,0,0.555556,0.444444,,0.7317,0.7317,0.43,0,1,2,0,0
3,con_004.wav,pro_007.wav,0.15,0.388889,0.333333,,0.8571,0.7317,0.4304,0,3,3,0,0,0.611111,0.444444,,0.75,0.7317,0.43,0,1,2,0,0
3,con_004.wav,pro_007.wav,0.35,0.5,0.333333,,0.8382,0.7317,0.4304,0,2,3,0,0,6.166667,0.444444,,17.6842,0.7317,0.43,0,1,2,0,0
3,con_004.wav,pro_007.wav,0.6,0.333333,0.333333,,0.8226,0.7317,0.4304,0,2,3,0,0,0.666667,0.444444,,13.5405,0.7317,0.43,0,2,2,0,0
3,con_004.wav,pro_007.wav,0.9,0.611111,0.333333,,0.8036,0.7317,0.4304,0,1,3,0,0,0.777778,0.444444,,0.7963,0.7317,0.43,0,1,2,0,0
4,con_005.wav,pro_014.wav,0.0,0.35,0.1,,0.8451,0.75,0.2215,0,2,2,0,0,0.65,0.5,,0.8625,0.7692,0.1207,0,2,2,0,0
4,con_005.wav,pro_014.wav,0.15,0.35,0.1,,0.9091,0.75,0.2215,0,2,2,0,0,0.6,0.5,,0.8382,0.7692,0.1207,0,2,2,0,0
4,con_005.wav,pro_014.wav,0.35,0.5,0.1,,0.8308,0.75,0.2215,0,2,2,0,0,0.75,0.5,,0.8308,0.7692,0.1207,0,2,2,0,0
4,con_005.wav,pro_014.wav,0.6,0.65,0.1,,0.7925,0.75,0.2215,0,1,2,0,0,0.8,0.5,,0.8136,0.7692,0.1207,0,2,2,0,0
4,con_005.wav,pro_014.wav,0.9,0.75,0.1,,0.75,0.75,0.2215,0,1,2,0,0,0.8,0.5,,0.7857,0.7692,0.1207,0,1,2,0,0
