pair_id,overlap_ratio,snr_db,cr_sep1,cr_sep2,cer_mixed,cer_sep,cer_energy_trim,cer_flatness_gate,cer_flatness_relenergy_gate,fired_energy_trim,fired_flatness_gate,fired_flatness_relenergy_gate
0,0.0,None,0.8036,0.8525,0.46875,0.34375,0.34375,0.375,0.375,1,1,1
0,0.0,20.0,0.8036,0.8525,0.46875,0.28125,0.28125,0.3125,0.3125,0,1,1
0,0.0,10.0,0.7925,0.8254,0.4375,0.34375,0.34375,0.34375,0.34375,0,1,1
0,0.0,5.0,0.7925,0.8197,0.5,0.5,0.5,0.53125,0.53125,0,1,1
0,0.0,0.0,0.75,0.9767,0.8125,0.75,0.75,0.75,3.71875,0,0,1
0,0.1,None,0.8036,0.85,0.46875,0.3125,0.34375,0.34375,0.375,1,1,1
0,0.1,20.0,0.8036,0.8254,0.4375,0.3125,0.3125,0.3125,0.3125,0,1,1
0,0.1,10.0,0.7925,0.8525,0.46875,0.375,0.375,0.40625,0.40625,0,1,1
0,0.1,5.0,0.7925,0.8281,0.4375,0.59375,0.59375,0.59375,0.71875,0,1,1
0,0.1,0.0,0.8125,0.8182,0.90625,0.75,0.75,0.75,0.90625,0,0,1
0,0.3,None,0.8036,0.85,0.53125,0.3125,0.34375,0.34375,0.375,1,1,1
0,0.3,20.0,0.8036,0.8525,0.1875,0.28125,0.28125,0.28125,0.28125,0,1,1
0,0.3,10.0,0.7925,0.8448,0.53125,0.4375,0.4375,0.375,0.375,0,1,1
0,0.3,5.0,0.7925,0.8358,0.71875,0.53125,0.53125,0.4375,0.4375,0,1,1
0,0.3,0.0,13.6216,0.7843,0.90625,5.5,5.5,5.5,3.9375,0,0,1
0,0.6,None,0.8036,0.85,0.4375,0.3125,0.34375,0.34375,0.34375,1,1,1
0,0.6,20.0,0.8036,0.8525,0.4375,0.3125,0.3125,0.3125,0.3125,0,1,1
0,0.6,10.0,0.7925,0.8281,0.6875,0.34375,0.34375,0.40625,0.40625,0,1,1
0,0.6,5.0,0.7925,0.8226,0.875,0.4375,0.4375,0.4375,0.4375,0,1,1
0,0.6,0.0,0.766,0.8448,0.90625,0.75,0.75,0.75,0.84375,0,1,1
1,0.0,None,0.8824,0.7317,0.380952,0.47619,0.380952,0.52381,0.380952,1,1,1
1,0.0,20.0,0.8824,0.7317,0.428571,0.380952,0.380952,0.380952,0.380952,0,1,1
1,0.0,10.0,0.78,0.7317,0.52381,0.666667,0.666667,0.571429,0.571429,0,1,1
1,0.0,5.0,23.8929,0.7317,0.714286,10.857143,10.857143,10.857143,0.809524,0,0,1
1,0.0,0.0,0.7317,0.625,1.190476,0.857143,0.857143,0.857143,0.952381,0,0,1
1,0.1,None,0.8824,0.7317,0.380952,0.47619,0.380952,0.380952,0.380952,1,1,1
1,0.1,20.0,0.8824,0.7105,0.52381,0.428571,0.428571,0.428571,0.428571,0,1,1
1,0.1,10.0,0.8444,0.7317,0.666667,0.666667,0.666667,0.904762,0.904762,0,1,1
1,0.1,5.0,0.766,0.7317,0.857143,0.761905,0.761905,0.761905,0.857143,0,0,1
1,0.1,0.0,23.1724,0.6857,0.952381,11.047619,11.047619,11.047619,0.904762,0,0,1
1,0.3,None,0.8824,0.7105,0.428571,0.380952,0.380952,0.380952,0.380952,1,1,1
1,0.3,20.0,0.8824,0.6857,0.666667,0.47619,0.47619,0.380952,0.380952,0,1,1
1,0.3,10.0,22.4,0.7692,0.571429,10.714286,10.714286,0.47619,0.47619,0,1,1
1,0.3,5.0,1.1053,0.725,0.809524,0.857143,0.857143,0.857143,0.904762,0,0,1
1,0.3,0.0,0.766,0.625,1.333333,0.857143,0.857143,0.857143,0.952381,0,0,1
1,0.6,None,0.8824,0.7317,0.666667,0.333333,0.380952,0.380952,0.380952,1,1,1
1,0.6,20.0,0.8824,0.7317,0.761905,0.571429,0.571429,0.333333,0.380952,0,1,1
1,0.6,10.0,22.3,0.6857,0.809524,10.714286,10.714286,0.714286,0.714286,0,1,1
