case_id,overlap_ratio,snr_db,cr_sep1,cr_sep2,cer_mixed,cer_sep,cer_energy_trim,cer_flatness_gate,cer_flatness_relenergy_gate,fired_energy_trim,fired_flatness_gate,fired_flatness_relenergy_gate
NoOverlap,0,None,1.339,10.6,0.334532,0.982014,0.823741,0.856115,1.23741,1,1,1
NoOverlap,0,20.0,1.3448,7.9286,0.316547,1.053957,1.053957,0.845324,0.845324,0,1,1
NoOverlap,0,10.0,1.3295,1.3567,0.482014,0.848921,0.848921,0.892086,0.892086,0,1,1
NoOverlap,0,5.0,1.3378,1.2436,0.52518,0.881295,0.881295,0.852518,0.852518,0,1,1
NoOverlap,0,0.0,1.3289,1.3356,0.992806,0.816547,0.816547,0.816547,0.866906,0,0,1
LightOverlap,1,None,1.339,1.5652,0.382143,0.857143,1.160714,1.207143,1.185714,1,1,1
LightOverlap,1,20.0,1.3605,1.3054,0.385714,0.828571,0.828571,0.839286,0.839286,0,1,1
LightOverlap,1,10.0,1.3311,1.3313,0.5,0.832143,0.832143,0.864286,0.864286,0,1,1
LightOverlap,1,5.0,1.3289,1.3687,0.710714,0.846429,0.846429,0.875,0.875,0,1,1
LightOverlap,1,0.0,1.3358,20.2727,1.0,1.421429,1.421429,1.421429,0.839286,0,0,1
MidOverlap,2,None,1.3284,1.6187,0.442105,0.863158,1.101754,1.007018,1.014035,1,1,1
MidOverlap,2,20.0,1.3401,6.9643,0.491228,0.824561,0.824561,1.140351,1.140351,0,1,1
MidOverlap,2,10.0,1.3438,1.3399,0.505263,0.838596,0.838596,1.17193,1.17193,0,1,1
MidOverlap,2,5.0,1.265,1.2866,0.698246,0.85614,0.85614,1.05614,1.05614,0,1,1
MidOverlap,2,0.0,1.2755,1.4295,0.870175,0.877193,0.877193,0.877193,0.880702,0,0,1
HeavyOverlap,3,None,1.4691,8.2714,0.525547,1.229927,0.864964,1.19708,0.864964,1,1,1
HeavyOverlap,3,20.0,1.3774,1.2807,0.624088,0.886861,0.886861,0.886861,0.886861,0,1,1
HeavyOverlap,3,10.0,1.4,1.2343,0.722628,0.854015,0.854015,0.894161,0.894161,0,1,1
HeavyOverlap,3,5.0,1.3719,1.3048,0.879562,0.872263,0.872263,0.868613,0.868613,0,1,1
HeavyOverlap,3,0.0,1.4819,1.0,0.923358,0.784672,0.784672,0.810219,0.810219,0,1,1
OppositeOverlap,4,None,1.4872,1.4308,0.612319,0.855072,0.865942,0.876812,0.873188,1,1,1
OppositeOverlap,4,20.0,1.4346,1.3508,0.873188,0.84058,0.84058,0.876812,0.876812,0,1,1
OppositeOverlap,4,10.0,1.4359,1.3476,0.771739,0.858696,0.858696,0.880435,0.884058,0,1,1
OppositeOverlap,4,5.0,1.4402,1.4335,0.942029,0.898551,0.898551,0.894928,0.894928,0,1,1
OppositeOverlap,4,0.0,1.348,0.0,0.978261,0.847826,0.847826,0.967391,0.967391,0,1,1
