pair_id,overlap_ratio,noise_type,snr_db,cer_mixed,cer_sep,cer_energy_trim,cer_flatness_gate,cer_flatness_relenergy_gate,fired_energy_trim,fired_flatness_gate,fired_flatness_relenergy_gate
0,0.1,white,10.0,0.4375,0.34375,0.34375,0.375,0.375,0,1,1
0,0.1,white,5.0,0.65625,0.4375,0.4375,0.4375,0.53125,0,1,1
0,0.1,white,0.0,0.875,0.8125,0.8125,0.8125,7.1875,0,0,1
0,0.1,pink,10.0,0.5,0.375,0.375,0.375,0.375,0,0,0
0,0.1,pink,5.0,0.5,0.3125,0.3125,0.3125,0.3125,0,0,0
0,0.1,pink,0.0,0.84375,0.75,0.75,0.75,0.75,0,0,0
0,0.1,babble,10.0,0.5,0.40625,0.40625,0.40625,0.3125,0,0,1
0,0.1,babble,5.0,0.6875,0.78125,0.78125,0.78125,0.71875,0,0,1
0,0.1,babble,0.0,1.0,5.84375,5.84375,5.84375,1.15625,0,0,1
0,0.3,white,10.0,0.53125,0.375,0.375,0.4375,0.4375,0,1,1
0,0.3,white,5.0,0.6875,0.5,0.5,0.46875,0.46875,0,1,1
0,0.3,white,0.0,0.875,0.84375,0.84375,0.84375,3.75,0,0,1
0,0.3,pink,10.0,0.5625,0.28125,0.28125,0.28125,0.28125,0,0,0
0,0.3,pink,5.0,0.5,0.34375,0.34375,0.34375,0.34375,0,0,0
0,0.3,pink,0.0,0.78125,0.6875,0.6875,0.6875,0.6875,0,0,0
0,0.3,babble,10.0,0.375,0.53125,0.53125,0.53125,0.59375,0,0,1
0,0.3,babble,5.0,0.59375,0.84375,0.84375,0.84375,0.4375,0,0,1
0,0.3,babble,0.0,1.09375,1.75,1.75,1.75,1.59375,0,0,1
1,0.1,white,10.0,0.571429,0.47619,0.47619,0.52381,0.52381,0,1,1
1,0.1,white,5.0,0.714286,0.857143,0.857143,0.857143,0.952381,0,0,1
1,0.1,white,0.0,0.761905,0.857143,0.857143,0.857143,0.714286,0,0,1
1,0.1,pink,10.0,0.619048,0.52381,0.52381,0.52381,0.52381,0,1,1
1,0.1,pink,5.0,0.52381,5.571429,5.571429,5.571429,5.571429,0,0,0
1,0.1,pink,0.0,1.0,0.857143,0.857143,0.857143,0.857143,0,0,0
