pair_id,overlap_ratio,snr_db,cer_mixed,cer_sep,cer_sep_trim,cr_sep1,cr_sep1_trim
0,0.0,None,0.46875,0.34375,0.34375,0.8036,0.8036
0,0.0,20.0,0.46875,0.28125,0.28125,0.8036,0.8036
0,0.0,10.0,0.4375,0.34375,0.34375,0.7925,0.7925
0,0.0,5.0,0.5,0.5,0.5,0.7925,0.7925
0,0.0,0.0,0.8125,0.75,0.75,0.75,0.75
0,0.1,None,0.46875,0.3125,0.34375,0.8036,0.8036
0,0.1,20.0,0.4375,0.3125,0.3125,0.8036,0.8036
0,0.1,10.0,0.46875,0.375,0.375,0.7925,0.7925
0,0.1,5.0,0.4375,0.59375,0.59375,0.7925,0.7925
0,0.1,0.0,0.90625,0.75,0.75,0.8125,0.8125
0,0.2,None,0.5,0.3125,0.34375,0.8036,0.8036
0,0.2,20.0,0.53125,0.28125,0.28125,0.8036,0.8036
0,0.2,10.0,0.5,0.40625,0.40625,0.7925,0.7925
0,0.2,5.0,0.625,0.46875,0.46875,0.7925,0.7925
0,0.2,0.0,0.90625,0.84375,0.84375,0.766,0.766
0,0.4,None,0.34375,0.28125,0.34375,0.8036,0.8036
0,0.4,20.0,0.625,0.28125,0.28125,0.8036,0.8036
0,0.4,10.0,0.5625,0.34375,0.34375,0.7925,0.7925
0,0.4,5.0,0.65625,0.5,0.5,0.7925,0.7925
0,0.4,0.0,0.96875,0.8125,0.8125,0.6857,0.6857
0,0.6,None,0.4375,0.3125,0.34375,0.8036,0.8036
0,0.6,20.0,0.4375,0.3125,0.3125,0.8036,0.8036
0,0.6,10.0,0.6875,0.34375,0.34375,0.7925,0.7925
0,0.6,5.0,0.875,0.4375,0.4375,0.7925,0.7925
0,0.6,0.0,0.90625,0.75,0.75,0.766,0.766
0,0.9,None,0.78125,0.3125,0.34375,0.8036,0.8036
0,0.9,20.0,0.65625,0.3125,0.3125,0.8036,0.8036
0,0.9,10.0,0.78125,0.34375,0.34375,0.7925,0.7925
0,0.9,5.0,0.96875,0.4375,0.4375,0.7925,0.7925
0,0.9,0.0,0.96875,0.90625,0.90625,0.75,0.75
1,0.0,None,0.380952,0.47619,0.380952,0.8824,0.8824
1,0.0,20.0,0.428571,0.380952,0.380952,0.8824,0.8824
1,0.0,10.0,0.52381,0.666667,0.666667,0.78,0.78
1,0.0,5.0,0.714286,10.857143,10.857143,23.8929,23.8929
1,0.0,0.0,1.190476,0.857143,0.857143,0.7317,0.7317
1,0.1,None,0.380952,0.47619,0.380952,0.8824,0.8824
1,0.1,20.0,0.52381,0.428571,0.428571,0.8824,0.8824
1,0.1,10.0,0.666667,0.666667,0.666667,0.8444,0.8444
1,0.1,5.0,0.857143,0.761905,0.761905,0.766,0.766
1,0.1,0.0,0.952381,11.047619,11.047619,23.1724,23.1724
1,0.2,None,0.333333,0.333333,0.380952,0.8824,0.8824
1,0.2,20.0,0.52381,0.285714,0.285714,0.8372,0.8372
1,0.2,10.0,0.714286,10.809524,10.809524,16.875,16.875
1,0.2,5.0,0.666667,0.809524,0.809524,0.6562,0.6562
1,0.2,0.0,0.952381,0.857143,0.857143,0.7857,0.7857
1,0.4,None,0.52381,0.333333,0.380952,0.8824,0.8824
1,0.4,20.0,0.761905,0.380952,0.380952,0.8824,0.8824
1,0.4,10.0,0.666667,10.761905,10.761905,22.4,22.4
1,0.4,5.0,0.952381,0.666667,0.666667,0.7105,0.7105
1,0.4,0.0,0.952381,0.952381,0.952381,0.75,0.75
1,0.6,None,0.666667,0.333333,0.380952,0.8824,0.8824
1,0.6,20.0,0.761905,0.571429,0.571429,0.8824,0.8824
1,0.6,10.0,0.809524,10.714286,10.714286,22.3,22.3
1,0.6,5.0,1.0,0.761905,0.761905,0.766,0.766
1,0.6,0.0,1.142857,0.809524,0.809524,0.75,0.75
1,0.9,None,0.904762,0.47619,0.380952,0.8824,0.8824
1,0.9,20.0,0.904762,0.571429,0.571429,0.8372,0.8372
1,0.9,10.0,0.952381,0.666667,0.666667,0.78,0.78
1,0.9,5.0,0.952381,0.714286,0.714286,0.766,0.766
1,0.9,0.0,1.0,0.809524,0.809524,0.7105,0.7105
2,0.0,None,0.444444,0.722222,0.666667,0.7105,0.7105
2,0.0,20.0,0.722222,0.666667,0.666667,0.7105,0.7105
2,0.0,10.0,0.944444,0.722222,0.722222,0.6857,0.6857
2,0.0,5.0,1.0,0.777778,0.777778,0.7105,0.7105
2,0.0,0.0,1.0,0.888889,0.888889,0.75,0.75
2,0.1,None,0.666667,0.666667,0.666667,0.7105,0.7105
2,0.1,20.0,0.666667,0.611111,0.611111,0.7105,0.7105
2,0.1,10.0,0.944444,0.833333,0.833333,0.6562,0.6562
2,0.1,5.0,0.888889,0.888889,0.888889,0.6857,0.6857
2,0.1,0.0,1.0,0.888889,0.888889,0.7714,0.7714
2,0.2,None,0.722222,0.666667,0.666667,0.7105,0.7105
2,0.2,20.0,0.722222,0.5,0.5,0.7317,0.7317
2,0.2,10.0,0.833333,0.722222,0.722222,0.6857,0.6857
2,0.2,5.0,0.888889,0.777778,0.777778,0.6562,0.6562
2,0.2,0.0,0.888889,0.888889,0.888889,0.7714,0.7714
2,0.4,None,0.666667,0.666667,0.666667,0.7105,0.7105
2,0.4,20.0,0.611111,0.666667,0.666667,0.6207,0.6207
2,0.4,10.0,0.888889,0.777778,0.777778,0.5714,0.5714
