window_id,lang_id_entropy,hallucination_label,always_mixed_cpwer,always_separated_cpwer,router_v2_cpwer,oracle_best_cpwer,split_5050,in_sample_threshold,in_sample_flagged,in_sample_selected_cpwer,train_threshold_applied_to_test,test_flagged,test_selected_cpwer,kfold_threshold_for_window,kfold_selected_cpwer,loo_threshold_for_window,loo_flagged,loo_selected_cpwer
0,1.553509,1,1.0,2.333333,2.333333,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
1,0.0,0,2.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
2,0.0,0,2.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
3,0.0,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
4,0.0,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
5,0.490342,1,1.0,2.0,2.0,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
6,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
7,0.0,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
8,0.322757,0,4.0,1.0,4.0,1.0,train,0.38,False,1.0,0.01,True,4.0,,1.0,0.38,False,1.0
9,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
10,0.0,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
11,0.563285,1,1.0,3.0,1.0,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
12,0.0,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
13,0.0,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
14,0.373609,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,True,1.0,,1.0,0.38,False,1.0
15,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
16,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
17,0.630778,1,1.0,1.333333,1.0,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
18,1.240671,1,1.0,1.666667,1.666667,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
19,0.863121,0,1.0,1.0,1.0,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
20,1.298023,1,1.0,2.0,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
21,0.503258,1,1.0,1.5,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
22,0.143726,1,1.0,2.0,2.0,1.0,train,0.38,False,2.0,0.01,True,1.0,,2.0,0.38,False,2.0
