bound,n,h,L_lipschitz,delta_prime,M,bound_lipschitz,bound_curvature_refined,bound_total,empirical_regret,bound_dominates
B1_discretization,3,0.3,5.523709,5.382499,53.285501,0.27618543,0.33573184,0.27618543,,
B1_discretization,5,0.18,5.523709,5.382499,53.285501,0.09942676,0.11127207,0.09942676,9.423e-05,True
B1_discretization,10,0.09,5.523709,5.382499,53.285501,0.02485669,0.02601963,0.02485669,,
B1_discretization,20,0.045,5.523709,5.382499,53.285501,0.00621417,0.00628011,0.00621417,,
B1_discretization,50,0.018,5.523709,5.382499,53.285501,0.00099427,0.00098324,0.00099427,,
B2_router_threshold,1,0.024419,5.523709,5.382499,53.285501,0.00182986,0.00192676,0.00182986,0.00181865,True
B4_lipschitz_restored,3,0.3,1.5,5.382499,53.285501,0.26912496,0.08333333,0.35245829,,
B4_lipschitz_restored,5,0.18,1.5,5.382499,53.285501,0.09688499,0.03,0.12688499,,
B4_lipschitz_restored,10,0.09,1.5,5.382499,53.285501,0.02422125,0.0075,0.03172125,,
B4_lipschitz_restored,20,0.045,1.5,5.382499,53.285501,0.00605531,0.001875,0.00793031,,
B4_lipschitz_restored,50,0.018,1.5,5.382499,53.285501,0.00096885,0.0003,0.00126885,,
