window_id,window_start_sec,overlap_level,overlap_label,num_speakers,router_v2_method,router_v2_rule,mixed_cpwer,separated_cpwer,router_v2_cpwer,oracle_best_cpwer,routing_regret,regret_vs_mixed,max_cr_separated,cr_mixed,separated_hallucination,separated_cr_caught,separated_cr_missed,mixed_hallucination,multi_speaker,failure_window,primary_failure_mode
0,0.0,0,NoOverlap,6,separated,overlap==0 and mixed transcript long; keep separated,1.0,2.333333,2.333333,1.0,1.333333,1.333333,1.102,0.883,True,False,True,False,True,True,separated_hallucination_cr_missed
1,30.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,2.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.2936,False,False,False,True,False,False,none
2,60.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,2.0,1.0,1.0,1.0,0.0,-1.0,1.32,1.2487,False,False,False,True,False,False,none
3,90.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,1.0,1.0,1.0,1.0,0.0,0.0,1.3366,1.2472,False,False,False,False,False,False,none
4,120.0,0,NoOverlap,1,mixed,overlap==0 short; choose mixed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,none
5,150.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,1.0,2.0,2.0,1.0,1.0,1.0,0.9286,1.2537,True,False,True,False,False,True,separated_hallucination_cr_missed
6,180.0,0,NoOverlap,2,separated,overlap==0 and mixed transcript long; keep separated,1.0,1.0,1.0,1.0,0.0,0.0,1.5306,1.32,False,False,False,False,False,False,none
7,210.0,0,NoOverlap,1,mixed,overlap==0 short; choose mixed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,none
8,240.0,0,NoOverlap,1,mixed,overlap==0 short; choose mixed,4.0,1.0,4.0,1.0,3.0,0.0,0.9009,0.9106,False,False,False,True,False,True,mixed_hallucination
9,270.0,0,NoOverlap,1,mixed,overlap==0 short; choose mixed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,none
10,300.0,0,NoOverlap,1,mixed,overlap==0 short; choose mixed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,none
11,330.0,0,NoOverlap,1,mixed,overlap==0 short; choose mixed,1.0,3.0,1.0,1.0,0.0,0.0,1.3548,0.0,True,False,True,False,False,False,none
12,360.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,1.0,1.0,1.0,1.0,0.0,0.0,1.5469,1.5469,False,False,False,False,False,False,none
13,390.0,0,NoOverlap,1,mixed,overlap==0 short; choose mixed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,none
14,420.0,0,NoOverlap,2,separated,overlap==0 and mixed transcript long; keep separated,1.0,1.0,1.0,1.0,0.0,0.0,1.3475,1.3856,False,False,False,False,False,False,none
15,450.0,0,NoOverlap,2,mixed,overlap==0 short; choose mixed,1.0,1.0,1.0,1.0,0.0,0.0,0.4286,0.0,False,False,False,False,False,False,none
16,480.0,1,LightOverlap,2,mixed,"overlap in [1,2]; choose mixed",1.0,1.0,1.0,1.0,0.0,0.0,2.306,0.0,False,False,False,False,False,False,none
17,510.0,2,MidOverlap,3,mixed,"overlap in [1,2]; choose mixed",1.0,1.333333,1.0,1.0,0.0,0.0,1.6684,0.0,True,False,True,False,True,False,none
18,540.0,3,HeavyOverlap,3,separated,overlap>=3; choose separated,1.0,1.666667,1.666667,1.0,0.666667,0.666667,2.9655,0.0,True,True,False,False,True,True,separated_hallucination_cr_caught
19,570.0,1,LightOverlap,2,mixed,"overlap in [1,2]; choose mixed",1.0,1.0,1.0,1.0,0.0,0.0,1.3493,1.3663,False,False,False,False,False,False,none
20,600.0,1,LightOverlap,2,mixed,"overlap in [1,2]; choose mixed",1.0,2.0,1.0,1.0,0.0,0.0,1.3758,0.0,True,False,True,False,False,False,none
21,630.0,0,NoOverlap,2,mixed,overlap==0 short; choose mixed,1.0,1.5,1.0,1.0,0.0,0.0,0.6944,0.0,True,False,True,False,False,False,none
22,660.0,0,NoOverlap,2,separated,overlap==0 and mixed transcript long; keep separated,1.0,2.0,2.0,1.0,1.0,1.0,1.3679,1.3427,True,False,True,False,False,True,separated_hallucination_cr_missed
23,690.0,0,NoOverlap,2,mixed,overlap==0 short; choose mixed,1.0,3.0,1.0,1.0,0.0,0.0,1.1777,0.0,True,False,True,False,False,False,none
24,720.0,1,LightOverlap,2,mixed,"overlap in [1,2]; choose mixed",1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,False,False,False,False,False,False,none
25,750.0,1,LightOverlap,2,mixed,"overlap in [1,2]; choose mixed",1.0,1.5,1.0,1.0,0.0,0.0,1.4601,1.5964,True,False,True,False,False,False,none
26,780.0,0,NoOverlap,2,separated,overlap==0 and mixed transcript long; keep separated,1.0,3.5,3.5,1.0,2.5,2.5,1.4098,1.4368,True,False,True,False,False,True,separated_hallucination_cr_missed
27,810.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,1.0,1.0,1.0,1.0,0.0,0.0,1.4843,1.4894,False,False,False,False,False,False,none
28,840.0,0,NoOverlap,3,mixed,overlap==0 short; choose mixed,1.0,2.0,1.0,1.0,0.0,0.0,0.8533,0.0,True,False,True,False,True,False,none
29,870.0,1,LightOverlap,2,mixed,"overlap in [1,2]; choose mixed",2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.1193,False,False,False,True,False,True,mixed_hallucination
30,900.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,1.0,2.0,2.0,1.0,1.0,1.0,1.4916,1.5203,True,False,True,False,False,True,separated_hallucination_cr_missed
31,930.0,0,NoOverlap,2,separated,overlap==0 and mixed transcript long; keep separated,1.5,2.5,2.5,1.5,1.0,1.0,0.9912,0.94,True,False,True,True,False,True,separated_hallucination_cr_missed
32,960.0,1,LightOverlap,3,mixed,"overlap in [1,2]; choose mixed",1.333333,1.333333,1.333333,1.333333,0.0,0.0,1.3813,0.8947,True,False,True,True,True,False,none
33,990.0,2,MidOverlap,3,mixed,"overlap in [1,2]; choose mixed",1.0,2.666667,1.0,1.0,0.0,0.0,1.1658,1.2685,True,False,True,False,True,False,none
34,1020.0,1,LightOverlap,3,mixed,"overlap in [1,2]; choose mixed",1.0,1.0,1.0,1.0,0.0,0.0,2.2727,1.2281,False,False,False,False,True,False,none
35,1050.0,0,NoOverlap,1,mixed,overlap==0 short; choose mixed,1.0,2.0,1.0,1.0,0.0,0.0,0.9185,0.0,True,False,True,False,False,False,none
36,1080.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,1.0,1.0,1.0,1.0,0.0,0.0,1.3349,1.3564,False,False,False,False,False,False,none
37,1110.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,1.0,1.0,1.0,1.0,0.0,0.0,1.3843,1.3981,False,False,False,False,False,False,none
38,1140.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,1.0,1.0,1.0,1.0,0.0,0.0,1.2287,1.2092,False,False,False,False,False,False,none
39,1170.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,1.0,1.0,1.0,1.0,0.0,0.0,1.14,1.1373,False,False,False,False,False,False,none
40,1200.0,0,NoOverlap,1,separated,overlap==0 and mixed transcript long; keep separated,6.0,1.0,1.0,1.0,0.0,-5.0,1.1806,0.9236,False,False,False,True,False,False,none
