sample_id,tier,overlap_ratio,sample_overlap_ratio,speaker,speaker_label,ref_valence,ref_arousal,ref_stance,d_sem_mixed,d_sem_sep,semantic_benefit,cer_mixed,cer_sep,cer_benefit,lexical_valence,lexical_fires,acoustic_arousal
SyntheticHeavyOverlap_01,SyntheticHeavyOverlap,0.5,0.5,1,con,0.8,0.3,support,0.632456,0.0,0.632456,1.133333,0.0,1.133333,0.0,0,3.4072800406066674
SyntheticHeavyOverlap_01,SyntheticHeavyOverlap,0.5,0.5,2,pro,-0.2,0.3,neutral,0.447214,0.761577,-0.31436299999999995,0.823529,0.0,0.823529,0.0,0,3.2047317504022947
SyntheticHeavyOverlap_02,SyntheticHeavyOverlap,0.5,0.55,1,con,0.0,0.3,neutral,0.824621,0.0,0.824621,1.818182,0.0,1.818182,0.0,0,3.3228764966886293
SyntheticHeavyOverlap_02,SyntheticHeavyOverlap,0.5,0.55,2,pro,0.8,0.3,support,1.612452,1.8,-0.18754800000000005,0.8,0.466667,0.33333300000000005,0.0,0,2.793084145932286
SyntheticHeavyOverlap_03,SyntheticHeavyOverlap,0.5,0.6,1,con,0.2,0.3,neutral,0.424264,0.0,0.424264,1.0,0.0,1.0,0.0,0,3.527691424353269
SyntheticHeavyOverlap_03,SyntheticHeavyOverlap,0.5,0.6,2,pro,0.0,0.0,neutral,0.781025,0.0,0.781025,1.555556,0.444444,1.1111119999999999,0.316228,1,2.928300294576836
SyntheticHeavyOverlap_04,SyntheticHeavyOverlap,0.5,0.65,1,con,0.0,0.0,neutral,0.5,0.0,0.5,1.222222,0.0,1.222222,0.0,0,3.5661817767457267
SyntheticHeavyOverlap_04,SyntheticHeavyOverlap,0.5,0.65,2,pro,0.0,0.0,neutral,0.5,0.583095,-0.08309500000000003,1.333333,0.222222,1.1111110000000002,0.0,0,2.8973398764435343
SyntheticHeavyOverlap_05,SyntheticHeavyOverlap,0.5,0.7,1,con,0.2,0.0,neutral,0.943398,0.282843,0.660555,0.222222,0.111111,0.111111,0.0,0,3.3996513890160553
SyntheticHeavyOverlap_05,SyntheticHeavyOverlap,0.5,0.7,2,pro,-0.3,0.2,support,1.334166,0.0,1.334166,1.0,0.0,1.0,0.0,0,3.579529831495398
SyntheticLightOverlap_01,SyntheticLightOverlap,0.1,0.1,1,con,0.8,0.3,support,0.8544,0.0,0.8544,1.133333,0.0,1.133333,0.0,0,3.3426257639422587
SyntheticLightOverlap_01,SyntheticLightOverlap,0.1,0.1,2,pro,-0.2,0.3,neutral,0.360555,0.761577,-0.40102199999999993,0.941176,0.0,0.941176,0.0,0,2.76085873169019
SyntheticLightOverlap_02,SyntheticLightOverlap,0.1,0.125,1,con,0.0,0.3,neutral,0.583095,0.0,0.583095,1.727273,0.0,1.727273,0.0,0,3.2547451617101935
SyntheticLightOverlap_02,SyntheticLightOverlap,0.1,0.125,2,pro,0.8,0.3,support,1.334166,1.118034,0.216132,1.0,1.0,0.0,0.0,0,2.6215113654619278
SyntheticLightOverlap_03,SyntheticLightOverlap,0.1,0.15,1,con,0.2,0.3,neutral,0.360555,0.0,0.360555,0.909091,0.0,0.909091,0.0,0,3.46262859646722
SyntheticLightOverlap_03,SyntheticLightOverlap,0.1,0.15,2,pro,0.0,0.0,neutral,0.0,0.0,0.0,1.666667,0.0,1.666667,0.316228,1,3.32245007546227
SyntheticLightOverlap_04,SyntheticLightOverlap,0.1,0.175,1,con,0.0,0.0,neutral,0.223607,0.0,0.223607,1.111111,0.0,1.111111,0.0,0,3.50905676512592
SyntheticLightOverlap_04,SyntheticLightOverlap,0.1,0.175,2,pro,0.0,0.0,neutral,0.223607,0.583095,-0.35948800000000003,1.333333,0.222222,1.1111110000000002,0.0,0,2.822507783030596
SyntheticLightOverlap_05,SyntheticLightOverlap,0.1,0.2,1,con,0.2,0.0,neutral,0.984886,0.282843,0.702043,1.666667,0.111111,1.555556,0.0,0,3.333672473459055
SyntheticLightOverlap_05,SyntheticLightOverlap,0.1,0.2,2,pro,-0.3,0.2,support,0.447214,0.0,0.447214,0.5625,0.0,0.5625,0.0,0,3.5318607822534567
SyntheticMidOverlap_01,SyntheticMidOverlap,0.3,0.3,1,con,0.8,0.3,support,1.392839,0.0,1.392839,1.133333,0.0,1.133333,0.0,0,3.371650964412323
SyntheticMidOverlap_01,SyntheticMidOverlap,0.3,0.3,2,pro,-0.2,0.3,neutral,0.583095,0.761577,-0.17848199999999992,0.941176,0.0,0.941176,0.0,0,2.7895759377814198
SyntheticMidOverlap_02,SyntheticMidOverlap,0.3,0.3375,1,con,0.0,0.3,neutral,0.583095,0.0,0.583095,1.727273,0.0,1.727273,0.0,0,3.2839417359241323
SyntheticMidOverlap_02,SyntheticMidOverlap,0.3,0.3375,2,pro,0.8,0.3,support,1.334166,1.8,-0.4658340000000001,1.0,0.466667,0.5333330000000001,0.0,0,2.6507584915988573
SyntheticMidOverlap_03,SyntheticMidOverlap,0.3,0.375,1,con,0.2,0.3,neutral,0.3,0.0,0.3,0.909091,0.0,0.909091,0.0,0,3.4931816961868902
SyntheticMidOverlap_03,SyntheticMidOverlap,0.3,0.375,2,pro,0.0,0.0,neutral,0.583095,0.0,0.583095,1.666667,0.444444,1.2222229999999998,0.316228,1,2.888215344005985
SyntheticMidOverlap_04,SyntheticMidOverlap,0.3,0.4125,1,con,0.0,0.0,neutral,0.2,0.0,0.2,0.222222,0.0,0.222222,0.0,0,3.534457805572697
SyntheticMidOverlap_04,SyntheticMidOverlap,0.3,0.4125,2,pro,0.0,0.0,neutral,0.2,0.583095,-0.383095,1.222222,0.222222,0.9999999999999999,0.0,0,2.856884389855879
SyntheticMidOverlap_05,SyntheticMidOverlap,0.3,0.45,1,con,0.2,0.0,neutral,0.921954,0.282843,0.639111,1.888889,0.111111,1.777778,0.0,0,3.364129230993342
SyntheticMidOverlap_05,SyntheticMidOverlap,0.3,0.45,2,pro,-0.3,0.2,support,0.447214,0.0,0.447214,0.5625,0.0,0.5625,0.0,0,3.5479232488152914
SyntheticNoOverlap_01,SyntheticNoOverlap,0.0,0.0,1,con,0.8,0.3,support,1.104536,0.0,1.104536,1.133333,0.0,1.133333,0.0,0,3.3221275466298206
SyntheticNoOverlap_01,SyntheticNoOverlap,0.0,0.0,2,pro,-0.2,0.3,neutral,0.141421,0.282843,-0.14142200000000002,0.941176,0.0,0.941176,0.0,0,3.1161222127121597
SyntheticNoOverlap_02,SyntheticNoOverlap,0.0,0.0,1,con,0.0,0.3,neutral,0.583095,0.0,0.583095,1.727273,0.0,1.727273,0.0,0,3.200126906507816
SyntheticNoOverlap_02,SyntheticNoOverlap,0.0,0.0,2,pro,0.8,0.3,support,1.334166,0.8544,0.4797659999999999,1.0,9.2,-8.2,0.0,0,2.601799878191658
SyntheticNoOverlap_03,SyntheticNoOverlap,0.0,0.0,1,con,0.2,0.3,neutral,0.360555,0.0,0.360555,0.454545,0.0,0.454545,0.0,0,3.429108628024337
