window_id,hallucinated,mode_s,lang_id_entropy,length_ratio,cr,per_speaker_length_entropy,per_speaker_length_gini,sep_to_mix_length_ratio,sep_to_mix_runtime_ratio,speaker_attribution_consistency,per_speaker_overlap_fraction,effective_speaker_count,best_detector_flag
0,True,False,1.553509,6.689655,1.102041,2.010499,2.835052,6.689655,5.709006,0.0,0.733333,6.0,True
1,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.391117,0.0,0.0,0.0,False
2,False,False,0.0,0.916667,1.32,0.0,0.0,0.916667,0.534574,0.0,0.0,1.0,False
3,False,False,0.0,1.216216,1.336634,0.0,0.0,1.216216,1.06874,0.0,0.0,1.0,False
4,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.957921,0.0,0.0,0.0,False
5,True,False,0.490342,0.428571,0.928571,0.0,0.0,0.428571,7.636081,0.0,0.0,1.0,False
6,False,False,0.0,1.025974,1.530612,0.289079,0.898734,1.025974,1.99393,0.0,0.0,2.0,False
7,False,False,0.0,0.0,0.0,0.0,0.0,0.0,7.430645,0.0,0.0,0.0,False
8,False,False,0.322757,0.708333,0.900901,0.0,0.0,0.708333,1.00103,0.0,0.0,1.0,False
9,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.50237,0.0,0.0,0.0,False
10,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.163708,0.0,0.0,0.0,False
11,True,False,0.563285,136.0,1.354839,0.0,0.0,136.0,2.54893,0.0,0.0,1.0,False
12,False,False,0.0,1.0,1.546875,0.0,0.0,1.0,0.62302,1.0,0.0,1.0,False
13,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.774905,0.0,0.0,0.0,False
14,False,False,0.373609,0.99115,1.347458,0.073603,0.982143,0.99115,2.75,0.5,1.0,2.0,False
15,False,False,0.0,2.0,0.428571,0.0,1.0,2.0,6.9648,0.0,0.0,1.0,False
16,False,False,0.0,201.0,2.30597,0.999554,0.024876,201.0,3.394737,0.0,1.0,2.0,True
17,True,False,0.630778,167.0,1.668449,1.106948,1.185629,167.0,12.14974,0.0,1.0,3.0,True
18,True,False,1.240671,196.0,2.965517,1.190035,1.122449,196.0,6.905043,0.0,1.0,3.0,True
19,False,False,0.863121,1.173913,1.349282,0.556422,0.740741,1.173913,3.348057,0.0,1.0,2.0,False
20,True,False,1.298023,115.0,1.375796,0.953629,0.252174,115.0,3.859467,0.0,1.0,2.0,True
21,True,False,0.503258,9.0,0.694444,0.0,1.0,9.0,10.010101,0.0,0.0,1.0,False
22,True,True,0.143726,1.020833,1.367925,0.0,1.0,1.020833,7.051988,0.0,0.0,1.0,False
23,True,False,1.216316,144.0,1.177665,0.954434,0.25,144.0,33.378378,0.0,1.0,2.0,True
24,False,False,0.0,3.0,0.5,0.0,1.0,3.0,1.799014,0.0,0.0,1.0,False
25,True,False,1.086049,1.087248,1.460145,0.650022,0.666667,1.087248,1.511949,0.0,1.0,2.0,True
26,True,False,1.750916,1.264,1.409774,0.739299,0.582278,1.264,4.069381,0.0,0.0,2.0,True
27,False,False,0.0,1.014286,1.484321,0.0,0.0,1.014286,1.430398,0.0,0.0,1.0,False
28,True,False,0.785235,35.0,0.853333,0.898059,1.371429,35.0,25.095618,0.0,1.0,2.0,True
29,False,False,0.0,0.410959,1.0,0.56651,0.733333,0.410959,2.152786,0.0,0.0,2.0,False
30,True,True,0.322852,1.026667,1.491639,0.0,0.0,1.026667,0.991197,0.0,0.0,1.0,False
31,True,False,1.1635,1.222222,0.991228,0.97934,0.168831,1.222222,1.778408,0.0,1.0,2.0,True
32,True,False,1.31639,3.321429,1.381295,0.895272,1.376344,3.321429,1.530441,0.0,1.0,2.0,True
33,True,False,1.068306,1.630769,1.165829,0.450791,1.811321,1.630769,14.3125,0.0,1.0,2.0,False
34,False,False,0.0,0.712766,2.272727,0.953048,1.253731,0.712766,4.2,0.0,1.0,2.0,True
35,True,False,1.265471,49.0,0.918519,0.0,0.0,49.0,5.17806,0.0,0.0,1.0,False
36,False,False,0.0,1.094118,1.334928,0.0,0.0,1.094118,1.095652,0.0,0.0,1.0,False
