pair_id,overlap_ratio,noise_type,snr_db,cer_mixed,cer_sep,cer_flatness_gate,cer_speaker_gate
0,0.1,babble,10.0,0.5625,0.375,0.4375,0.46875
0,0.1,babble,5.0,0.75,0.84375,3.84375,0.90625
0,0.1,babble,0.0,13.8125,1.0,1.0,0.9375
0,0.1,white,10.0,0.46875,0.28125,0.28125,0.28125
0,0.1,white,5.0,0.59375,0.5625,0.5625,0.53125
0,0.1,white,0.0,0.875,0.78125,0.8125,0.84375
0,0.1,pink,10.0,0.53125,0.3125,0.3125,0.34375
0,0.1,pink,5.0,0.40625,0.5,0.5,0.40625
0,0.1,pink,0.0,0.65625,0.75,0.75,0.71875
0,0.3,babble,10.0,0.4375,0.5625,0.53125,0.5625
0,0.3,babble,5.0,0.75,0.9375,0.78125,0.9375
0,0.3,babble,0.0,1.0,1.78125,0.9375,1.40625
0,0.3,white,10.0,0.5625,0.3125,0.3125,0.34375
0,0.3,white,5.0,0.6875,0.5,0.5,0.5
0,0.3,white,0.0,0.9375,0.8125,0.84375,0.8125
0,0.3,pink,10.0,0.5,0.34375,0.34375,0.34375
0,0.3,pink,5.0,0.53125,0.40625,0.40625,0.53125
0,0.3,pink,0.0,0.59375,0.59375,0.59375,0.59375
1,0.1,babble,10.0,0.952381,0.952381,0.904762,0.904762
1,0.1,babble,5.0,0.714286,0.952381,0.952381,0.904762
1,0.1,babble,0.0,0.952381,1.0,0.952381,1.0
1,0.1,white,10.0,0.761905,0.714286,0.714286,0.47619
1,0.1,white,5.0,0.857143,0.666667,0.761905,0.666667
1,0.1,white,0.0,0.952381,0.952381,1.0,0.761905
1,0.1,pink,10.0,0.571429,0.428571,0.428571,0.571429
1,0.1,pink,5.0,0.52381,0.904762,0.904762,11.0
1,0.1,pink,0.0,0.761905,0.809524,0.809524,0.857143
1,0.3,babble,10.0,0.714286,1.666667,1.285714,0.857143
1,0.3,babble,5.0,1.0,1.047619,0.904762,0.904762
1,0.3,babble,0.0,1.142857,1.285714,1.285714,1.285714
1,0.3,white,10.0,0.666667,0.666667,0.666667,0.666667
1,0.3,white,5.0,0.809524,0.809524,0.761905,0.809524
1,0.3,white,0.0,0.904762,0.952381,0.952381,0.904762
1,0.3,pink,10.0,0.666667,0.571429,0.52381,0.52381
1,0.3,pink,5.0,0.666667,1.0,1.0,0.666667
1,0.3,pink,0.0,0.952381,0.809524,0.809524,0.809524
2,0.1,babble,10.0,0.722222,0.666667,0.611111,0.555556
2,0.1,babble,5.0,0.722222,0.944444,0.777778,0.888889
2,0.1,babble,0.0,0.944444,6.611111,6.611111,0.944444
2,0.1,white,10.0,0.888889,0.777778,0.722222,0.666667
2,0.1,white,5.0,0.833333,0.888889,0.666667,0.888889
2,0.1,white,0.0,1.0,0.888889,0.888889,0.888889
2,0.1,pink,10.0,0.666667,0.611111,0.611111,0.666667
2,0.1,pink,5.0,0.666667,0.888889,0.888889,0.611111
2,0.1,pink,0.0,1.388889,0.888889,0.777778,0.833333
2,0.3,babble,10.0,0.888889,0.777778,0.666667,0.611111
2,0.3,babble,5.0,0.777778,0.666667,0.722222,0.666667
2,0.3,babble,0.0,12.388889,0.944444,0.888889,0.888889
2,0.3,white,10.0,0.722222,0.277778,0.833333,0.222222
2,0.3,white,5.0,0.944444,0.944444,0.888889,0.944444
2,0.3,white,0.0,1.0,0.888889,0.888889,0.888889
2,0.3,pink,10.0,0.666667,0.5,0.5,0.5
2,0.3,pink,5.0,0.777778,0.5,0.5,0.555556
2,0.3,pink,0.0,0.888889,0.777778,0.888889,0.777778
3,0.1,babble,10.0,0.777778,1.444444,1.444444,0.611111
3,0.1,babble,5.0,0.888889,0.833333,0.833333,0.722222
3,0.1,babble,0.0,1.0,2.333333,1.333333,2.333333
3,0.1,white,10.0,0.888889,0.833333,0.611111,0.722222
3,0.1,white,5.0,0.777778,0.777778,0.888889,0.944444
3,0.1,white,0.0,1.055556,1.111111,0.722222,0.777778
3,0.1,pink,10.0,0.388889,0.5,0.444444,0.444444
3,0.1,pink,5.0,0.833333,0.777778,0.777778,0.777778
3,0.1,pink,0.0,1.0,1.166667,1.166667,1.0
3,0.3,babble,10.0,0.722222,0.777778,0.777778,0.833333
3,0.3,babble,5.0,12.388889,1.055556,0.722222,0.666667
3,0.3,babble,0.0,1.0,13.277778,1.055556,12.333333
3,0.3,white,10.0,0.666667,0.722222,0.666667,0.944444
3,0.3,white,5.0,1.0,0.722222,0.888889,0.833333
3,0.3,white,0.0,0.944444,0.944444,1.0,0.944444
3,0.3,pink,10.0,0.555556,0.555556,0.555556,0.611111
3,0.3,pink,5.0,0.611111,0.944444,0.944444,0.833333
3,0.3,pink,0.0,0.944444,0.833333,0.833333,0.944444
4,0.1,babble,10.0,0.9,1.4,1.5,0.7
4,0.1,babble,5.0,1.0,9.4,2.6,1.0
4,0.1,babble,0.0,1.0,1.0,1.0,1.25
4,0.1,white,10.0,0.65,22.65,0.7,22.6
4,0.1,white,5.0,0.8,0.9,0.9,0.65
4,0.1,white,0.0,0.9,1.0,1.1,0.85
4,0.1,pink,10.0,0.65,0.7,0.75,0.6
4,0.1,pink,5.0,0.75,0.7,0.7,0.55
4,0.1,pink,0.0,0.9,1.2,1.2,1.05
4,0.3,babble,10.0,0.75,1.25,0.7,0.7
4,0.3,babble,5.0,0.85,1.2,1.2,0.95
4,0.3,babble,0.0,1.0,1.0,1.25,1.0
4,0.3,white,10.0,0.6,0.55,22.55,0.7
4,0.3,white,5.0,0.75,0.6,0.6,0.7
4,0.3,white,0.0,0.9,1.2,1.0,1.2
4,0.3,pink,10.0,0.75,0.45,0.45,0.5
4,0.3,pink,5.0,0.55,0.65,0.65,0.85
4,0.3,pink,0.0,0.85,0.95,0.95,1.0
5,0.1,babble,10.0,0.647059,1.823529,0.764706,0.764706
5,0.1,babble,5.0,5.529412,2.058824,1.470588,7.117647
5,0.1,babble,0.0,1.352941,1.941176,1.294118,0.941176
5,0.1,white,10.0,0.823529,0.588235,0.588235,0.588235
5,0.1,white,5.0,1.0,0.882353,0.823529,0.882353
5,0.1,white,0.0,0.882353,0.941176,0.941176,0.941176
5,0.1,pink,10.0,0.705882,0.588235,0.588235,0.470588
5,0.1,pink,5.0,0.764706,0.647059,0.647059,0.705882
5,0.1,pink,0.0,0.882353,0.941176,0.941176,0.941176
5,0.3,babble,10.0,0.764706,11.470588,0.588235,0.823529
5,0.3,babble,5.0,0.823529,0.764706,13.352941,0.823529
5,0.3,babble,0.0,1.0,0.941176,1.0,1.0
5,0.3,white,10.0,0.764706,0.647059,0.705882,0.705882
5,0.3,white,5.0,0.941176,1.0,0.941176,0.941176
5,0.3,white,0.0,1.058824,1.0,0.941176,0.941176
5,0.3,pink,10.0,0.411765,0.470588,0.470588,0.588235
5,0.3,pink,5.0,0.882353,0.882353,0.882353,0.764706
5,0.3,pink,0.0,0.941176,0.941176,0.941176,0.941176
6,0.1,babble,10.0,0.388889,0.833333,0.611111,0.5
6,0.1,babble,5.0,0.722222,1.222222,1.0,1.444444
6,0.1,babble,0.0,0.833333,1.222222,1.222222,12.222222
6,0.1,white,10.0,0.444444,0.611111,0.666667,0.555556
6,0.1,white,5.0,0.444444,0.555556,0.722222,0.611111
6,0.1,white,0.0,12.833333,0.888889,0.777778,0.888889
6,0.1,pink,10.0,0.222222,0.277778,0.277778,0.277778
6,0.1,pink,5.0,0.444444,0.388889,0.388889,0.833333
6,0.1,pink,0.0,0.555556,0.833333,0.833333,0.833333
6,0.3,babble,10.0,0.555556,0.5,0.666667,0.5
6,0.3,babble,5.0,0.555556,0.722222,0.666667,0.722222
6,0.3,babble,0.0,0.666667,1.444444,0.722222,1.5
6,0.3,white,10.0,0.444444,0.5,0.5,0.5
6,0.3,white,5.0,0.444444,0.5,0.5,0.611111
6,0.3,white,0.0,12.333333,0.722222,0.833333,0.833333
6,0.3,pink,10.0,0.277778,0.444444,0.444444,0.444444
6,0.3,pink,5.0,0.388889,0.5,0.5,0.5
6,0.3,pink,0.0,0.611111,0.555556,0.555556,0.555556
7,0.1,babble,10.0,0.454545,0.818182,0.727273,0.681818
7,0.1,babble,5.0,0.409091,0.863636,0.909091,0.863636
7,0.1,babble,0.0,0.863636,0.954545,1.0,1.0
7,0.1,white,10.0,0.590909,0.909091,0.818182,0.818182
7,0.1,white,5.0,0.454545,0.772727,0.772727,0.863636
7,0.1,white,0.0,0.909091,0.863636,0.909091,0.863636
7,0.1,pink,10.0,0.636364,0.590909,0.590909,0.5
7,0.1,pink,5.0,0.590909,0.409091,0.409091,0.409091
7,0.1,pink,0.0,0.590909,0.909091,0.909091,0.909091
7,0.3,babble,10.0,0.636364,0.818182,0.636364,0.636364
7,0.3,babble,5.0,0.772727,0.772727,0.863636,0.818182
7,0.3,babble,0.0,0.863636,10.136364,0.954545,10.5
7,0.3,white,10.0,0.681818,0.818182,0.818182,0.818182
7,0.3,white,5.0,1.0,0.772727,0.863636,0.863636
7,0.3,white,0.0,0.909091,10.409091,0.863636,10.409091
7,0.3,pink,10.0,0.636364,0.636364,0.636364,0.590909
7,0.3,pink,5.0,0.590909,0.863636,0.863636,0.909091
7,0.3,pink,0.0,0.909091,0.818182,0.818182,0.863636
