group,model_name,average_cer,sample_count
cleaned_win_anchor,audio_depth_balanced_route_winner_router,0.353472,15
cleaned_win_anchor,balanced_family_prior,0.376323,15
cleaned_win_anchor,fixed_cleaned,0.376323,15
cleaned_win_anchor,fixed_mixed,0.580417,15
cleaned_win_anchor,fixed_separated,0.376323,15
cleaned_win_anchor,oracle,0.353472,15
cleaned_win_anchor,router_v2,0.580417,15
mixed_win_anchor,audio_depth_balanced_route_winner_router,0.33918,15
mixed_win_anchor,balanced_family_prior,0.33918,15
mixed_win_anchor,fixed_cleaned,0.97607,15
mixed_win_anchor,fixed_mixed,0.33918,15
mixed_win_anchor,fixed_separated,0.97607,15
mixed_win_anchor,oracle,0.33918,15
mixed_win_anchor,router_v2,0.33918,15
review_needed_anchor,audio_depth_balanced_route_winner_router,1.0,15
review_needed_anchor,balanced_family_prior,1.0,15
review_needed_anchor,fixed_cleaned,1.0,15
review_needed_anchor,fixed_mixed,1.0,15
review_needed_anchor,fixed_separated,1.0,15
review_needed_anchor,oracle,1.0,15
review_needed_anchor,router_v2,1.0,15
separated_win_anchor,audio_depth_balanced_route_winner_router,0.318764,15
separated_win_anchor,balanced_family_prior,0.318764,15
separated_win_anchor,fixed_cleaned,0.318764,15
separated_win_anchor,fixed_mixed,0.986338,15
separated_win_anchor,fixed_separated,0.318764,15
separated_win_anchor,oracle,0.318764,15
separated_win_anchor,router_v2,0.654482,15
