sample_id,oracle_route_real,oracle_cer_real,label_source,reference_type,evidence_type
audio_depth_stress_v1_0001,mixed,0.71875,real_whisper_cer_argmin,silver_reference,real_whisper_asr_against_synthetic_silver_reference
audio_depth_stress_v1_0002,mixed,0.769231,real_whisper_cer_argmin,silver_reference,real_whisper_asr_against_synthetic_silver_reference
audio_depth_stress_v1_0003,mixed,0.75,real_whisper_cer_argmin,silver_reference,real_whisper_asr_against_synthetic_silver_reference
audio_depth_stress_v1_0004,mixed,0.777778,real_whisper_cer_argmin,silver_reference,real_whisper_asr_against_synthetic_silver_reference
audio_depth_stress_v1_0005,mixed,0.8,real_whisper_cer_argmin,silver_reference,real_whisper_asr_against_synthetic_silver_reference
audio_depth_stress_v1_0006,mixed,0.904762,real_whisper_cer_argmin,silver_reference,real_whisper_asr_against_synthetic_silver_reference
audio_depth_stress_v1_0007,mixed,0.5,real_whisper_cer_argmin,silver_reference,real_whisper_asr_against_synthetic_silver_reference
audio_depth_stress_v1_0008,mixed,0.85,real_whisper_cer_argmin,silver_reference,real_whisper_asr_against_synthetic_silver_reference
audio_depth_stress_v1_0009,separated,0.714286,real_whisper_cer_argmin,silver_reference,real_whisper_asr_against_synthetic_silver_reference
audio_depth_stress_v1_0010,separated,0.354839,real_whisper_cer_argmin,silver_reference,real_whisper_asr_against_synthetic_silver_reference
