sample_id,backend_request,model_size,language,sample_runtime_sec,routes_written
audio_depth_stress_v1_0001,auto,base,zh,6.8813,5
audio_depth_stress_v1_0002,auto,base,zh,5.325,5
audio_depth_stress_v1_0003,auto,base,zh,7.9019,5
audio_depth_stress_v1_0004,auto,base,zh,6.716,5
audio_depth_stress_v1_0005,auto,base,zh,6.8877,5
audio_depth_stress_v1_0006,auto,base,zh,7.8675,5
audio_depth_stress_v1_0007,auto,base,zh,5.3119,5
audio_depth_stress_v1_0008,auto,base,zh,1.2566,5
audio_depth_stress_v1_0009,auto,base,zh,1.1205,5
audio_depth_stress_v1_0010,auto,base,zh,1.1638,5
audio_depth_stress_v1_0011,auto,base,zh,6.319,5
audio_depth_stress_v1_0012,auto,base,zh,6.6396,5
audio_depth_stress_v1_0013,auto,base,zh,6.5175,5
audio_depth_stress_v1_0015,auto,base,zh,5.9035,5
audio_depth_stress_v1_0016,auto,base,zh,6.2581,5
audio_depth_stress_v1_0018,auto,base,zh,1.1819,5
audio_depth_stress_v1_0019,auto,base,zh,1.8551,5
audio_depth_stress_v1_0021,auto,base,zh,6.6892,5
audio_depth_stress_v1_0031,auto,base,zh,8.2194,5
audio_depth_stress_v1_0041,auto,base,zh,9.202,5
__total__,auto,base,zh,109.2177,100
