sample_id,benchmark,split,overlap_ratio,overlap_percent,dominance_condition,speaker_a_gain,speaker_b_gain,duration_bucket,duration_sec,interruption_style,sample_rate,mixed_path,spk1_path,spk2_path,source_spk1,source_spk2,random_seed,label_status,stratum
audio_depth_stress_v1_0001,audio_depth_stress_v1,test,0.0,0,speaker_a_dominant,1.0,0.55,short,6.0,clean_turn_taking,16000,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_mixed.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk1.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0001_spk2.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_01_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_01_spk2.wav,42,needs_route_eval,no_overlap
audio_depth_stress_v1_0002,audio_depth_stress_v1,dev,0.1,10,speaker_a_dominant,1.0,0.55,short,6.0,clean_turn_taking,16000,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_mixed.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk1.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0002_spk2.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_02_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_02_spk2.wav,42,needs_route_eval,light
audio_depth_stress_v1_0005,audio_depth_stress_v1,train,0.4,40,speaker_a_dominant,1.0,0.55,short,6.0,clean_turn_taking,16000,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0005_mixed.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0005_spk1.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0005_spk2.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_05_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_05_spk2.wav,42,needs_route_eval,medium
audio_depth_stress_v1_0008,audio_depth_stress_v1,train,0.7,70,speaker_a_dominant,1.0,0.55,short,6.0,clean_turn_taking,16000,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0008_mixed.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0008_spk1.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0008_spk2.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_08_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_08_spk2.wav,42,needs_route_eval,heavy
audio_depth_stress_v1_0011,audio_depth_stress_v1,test,0.0,0,speaker_b_dominant,0.55,1.0,short,6.0,clean_turn_taking,16000,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0011_mixed.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0011_spk1.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0011_spk2.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_test_01_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_test_01_spk2.wav,42,needs_route_eval,no_overlap
audio_depth_stress_v1_0003,audio_depth_stress_v1,train,0.2,20,speaker_a_dominant,1.0,0.55,short,6.0,clean_turn_taking,16000,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_mixed.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk1.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0003_spk2.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_03_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_03_spk2.wav,42,needs_route_eval,light
audio_depth_stress_v1_0006,audio_depth_stress_v1,test,0.5,50,speaker_a_dominant,1.0,0.55,short,6.0,clean_turn_taking,16000,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0006_mixed.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0006_spk1.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0006_spk2.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_06_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_06_spk2.wav,42,needs_route_eval,medium
audio_depth_stress_v1_0009,audio_depth_stress_v1,train,0.8,80,speaker_a_dominant,1.0,0.55,short,6.0,clean_turn_taking,16000,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0009_mixed.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0009_spk1.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0009_spk2.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_09_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_09_spk2.wav,42,needs_route_eval,heavy
audio_depth_stress_v1_0021,audio_depth_stress_v1,test,0.0,0,balanced,0.85,0.85,short,6.0,clean_turn_taking,16000,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0021_mixed.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0021_spk1.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0021_spk2.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_01_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticLightOverlap/SyntheticLightOverlap_dev_01_spk2.wav,42,needs_route_eval,no_overlap
audio_depth_stress_v1_0004,audio_depth_stress_v1,train,0.3,30,speaker_a_dominant,1.0,0.55,short,6.0,clean_turn_taking,16000,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_mixed.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_spk1.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0004_spk2.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_04_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_04_spk2.wav,42,needs_route_eval,light
audio_depth_stress_v1_0007,audio_depth_stress_v1,dev,0.6,60,speaker_a_dominant,1.0,0.55,short,6.0,clean_turn_taking,16000,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0007_mixed.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0007_spk1.wav,resources/audio_depth_stress_v1/audio/audio_depth_stress_v1_0007_spk2.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_07_spk1.wav,resources/synthetic_overlap_v2/audio/SyntheticNoOverlap/SyntheticNoOverlap_dev_07_spk2.wav,42,needs_route_eval,medium
