mode,epoch,train_loss,eval_accuracy,status
analysis,1,1.05542,0.72,trained
analysis,2,0.90892,0.72,trained
analysis,3,0.711334,0.72,trained
analysis,4,0.596763,0.72,trained
analysis,5,0.556519,0.72,trained
analysis,6,0.532071,0.72,trained
analysis,7,0.588623,0.72,trained
analysis,8,0.549864,0.72,trained
analysis,9,0.5071,0.72,trained
analysis,10,0.540494,0.72,trained
analysis,11,0.459585,0.72,trained
analysis,12,0.507754,0.72,trained
analysis,13,0.527807,0.72,trained
analysis,14,0.473313,0.72,trained
analysis,15,0.429434,0.72,trained
analysis,16,0.446757,0.72,trained
analysis,17,0.480666,0.72,trained
analysis,18,0.496151,0.72,trained
analysis,19,0.529798,0.72,trained
analysis,20,0.466825,0.72,trained
