mode,epoch,train_loss,eval_accuracy,status
deployable,1,1.062461,0.72,trained
deployable,2,0.922403,0.72,trained
deployable,3,0.728458,0.72,trained
deployable,4,0.601134,0.72,trained
deployable,5,0.553037,0.72,trained
deployable,6,0.534392,0.72,trained
deployable,7,0.589862,0.72,trained
deployable,8,0.56609,0.72,trained
deployable,9,0.505963,0.72,trained
deployable,10,0.548309,0.72,trained
deployable,11,0.477035,0.72,trained
deployable,12,0.546132,0.72,trained
deployable,13,0.534609,0.72,trained
deployable,14,0.479484,0.72,trained
deployable,15,0.462307,0.72,trained
deployable,16,0.455778,0.72,trained
deployable,17,0.516526,0.72,trained
deployable,18,0.510429,0.72,trained
deployable,19,0.522055,0.72,trained
deployable,20,0.498594,0.72,trained
