mode,epoch,train_loss,eval_accuracy,status
logmel,1,0.997822,0.72,trained
logmel,2,0.866895,0.72,trained
logmel,3,0.733094,0.72,trained
logmel,4,0.554511,0.72,trained
logmel,5,0.539095,0.72,trained
logmel,6,0.522808,0.72,trained
logmel,7,0.517776,0.72,trained
logmel,8,0.508038,0.72,trained
logmel,9,0.573642,0.72,trained
logmel,10,0.500156,0.72,trained
logmel,11,0.498907,0.72,trained
logmel,12,0.663479,0.72,trained
logmel,13,0.508476,0.72,trained
logmel,14,0.502192,0.72,trained
logmel,15,0.493843,0.72,trained
logmel,16,0.577536,0.72,trained
logmel,17,0.491288,0.72,trained
logmel,18,0.558503,0.72,trained
logmel,19,0.497403,0.72,trained
logmel,20,0.49554,0.72,trained
