sample_id,predicted_route,confidence,risk_reason,suggested_action,transcript_path
SyntheticHeavyOverlap_test_01,mixed,0.446506,mixed favored because overlap_ratio=0.70 or transcript repetition risk=12.80 makes separation risky; confidence=0.45,manual_review,
SyntheticHeavyOverlap_test_02,separated,0.353394,separated favored because overlap_ratio=0.70 suggests separation can reduce occlusion; confidence=0.35,manual_review,
SyntheticHeavyOverlap_test_03,mixed,0.377522,mixed favored because overlap_ratio=0.70 or transcript repetition risk=4.00 makes separation risky; confidence=0.38,manual_review,
SyntheticHeavyOverlap_test_04,mixed,0.409054,mixed favored because overlap_ratio=0.70 or transcript repetition risk=3.40 makes separation risky; confidence=0.41,manual_review,
SyntheticHeavyOverlap_test_05,mixed,0.433042,mixed favored because overlap_ratio=0.70 or transcript repetition risk=4.62 makes separation risky; confidence=0.43,manual_review,
SyntheticHeavyOverlap_test_06,separated,0.36448,separated favored because overlap_ratio=0.70 suggests separation can reduce occlusion; confidence=0.36,manual_review,
SyntheticHeavyOverlap_test_07,mixed,0.397042,mixed favored because overlap_ratio=0.70 or transcript repetition risk=5.12 makes separation risky; confidence=0.40,manual_review,
SyntheticHeavyOverlap_test_08,mixed,0.401049,mixed favored because overlap_ratio=0.70 or transcript repetition risk=2.14 makes separation risky; confidence=0.40,manual_review,
SyntheticHeavyOverlap_test_09,separated,0.381552,separated favored because overlap_ratio=0.70 suggests separation can reduce occlusion; confidence=0.38,manual_review,
SyntheticHeavyOverlap_test_10,separated,0.388983,separated favored because overlap_ratio=0.70 suggests separation can reduce occlusion; confidence=0.39,manual_review,
SyntheticLightOverlap_test_01,mixed,0.418913,mixed favored because overlap_ratio=0.20 or transcript repetition risk=13.91 makes separation risky; confidence=0.42,manual_review,
SyntheticLightOverlap_test_02,mixed,0.352264,mixed favored because overlap_ratio=0.20 or transcript repetition risk=0.96 makes separation risky; confidence=0.35,manual_review,
SyntheticLightOverlap_test_03,mixed,0.350759,mixed favored because overlap_ratio=0.20 or transcript repetition risk=0.72 makes separation risky; confidence=0.35,manual_review,
SyntheticLightOverlap_test_04,mixed,0.374791,mixed favored because overlap_ratio=0.20 or transcript repetition risk=1.32 makes separation risky; confidence=0.37,manual_review,
SyntheticLightOverlap_test_05,mixed,0.401378,mixed favored because overlap_ratio=0.20 or transcript repetition risk=3.50 makes separation risky; confidence=0.40,manual_review,
SyntheticLightOverlap_test_06,mixed,0.361075,mixed favored because overlap_ratio=0.20 or transcript repetition risk=0.93 makes separation risky; confidence=0.36,manual_review,
SyntheticLightOverlap_test_07,mixed,0.355677,mixed favored because overlap_ratio=0.20 or transcript repetition risk=1.04 makes separation risky; confidence=0.36,manual_review,
SyntheticLightOverlap_test_08,mixed,0.38022,mixed favored because overlap_ratio=0.20 or transcript repetition risk=1.93 makes separation risky; confidence=0.38,manual_review,
SyntheticLightOverlap_test_09,mixed,0.367904,mixed favored because overlap_ratio=0.20 or transcript repetition risk=0.88 makes separation risky; confidence=0.37,manual_review,
SyntheticLightOverlap_test_10,mixed,0.44178,mixed favored because overlap_ratio=0.20 or transcript repetition risk=10.25 makes separation risky; confidence=0.44,manual_review,
SyntheticMidOverlap_test_01,mixed,0.443888,mixed favored because overlap_ratio=0.45 or transcript repetition risk=17.70 makes separation risky; confidence=0.44,manual_review,
SyntheticMidOverlap_test_02,mixed,0.353469,mixed favored because overlap_ratio=0.45 or transcript repetition risk=1.04 makes separation risky; confidence=0.35,manual_review,
SyntheticMidOverlap_test_03,mixed,0.34957,mixed favored because overlap_ratio=0.45 or transcript repetition risk=0.77 makes separation risky; confidence=0.35,manual_review,
SyntheticMidOverlap_test_04,mixed,0.381693,mixed favored because overlap_ratio=0.45 or transcript repetition risk=1.59 makes separation risky; confidence=0.38,manual_review,
SyntheticMidOverlap_test_05,mixed,0.421794,mixed favored because overlap_ratio=0.45 or transcript repetition risk=5.43 makes separation risky; confidence=0.42,manual_review,
SyntheticMidOverlap_test_06,mixed,0.364299,mixed favored because overlap_ratio=0.45 or transcript repetition risk=2.06 makes separation risky; confidence=0.36,manual_review,
SyntheticMidOverlap_test_07,mixed,0.380811,mixed favored because overlap_ratio=0.45 or transcript repetition risk=5.12 makes separation risky; confidence=0.38,manual_review,
