method_a,method_b,p_a_better_than_b,mean_delta_a_minus_b
old_router_v2,previous_model_zoo_best,0.604,-0.039066
old_router_v2,hybrid_mlp_v2,0.582,-0.031168
old_router_v2,hybrid_late_fusion_v2,0.102,0.104902
old_router_v2,calibrated_confidence_router,0.0,0.0
old_router_v2,cost_aware_router,0.626,-0.043612
old_router_v2,oracle_best,0.0,0.228328
previous_model_zoo_best,hybrid_mlp_v2,0.16,0.007898
previous_model_zoo_best,hybrid_late_fusion_v2,0.012,0.143968
previous_model_zoo_best,calibrated_confidence_router,0.396,0.039066
previous_model_zoo_best,cost_aware_router,0.604,-0.004546
previous_model_zoo_best,oracle_best,0.0,0.267394
hybrid_mlp_v2,hybrid_late_fusion_v2,0.028,0.13607
hybrid_mlp_v2,calibrated_confidence_router,0.418,0.031168
hybrid_mlp_v2,cost_aware_router,0.756,-0.012444
hybrid_mlp_v2,oracle_best,0.0,0.259497
hybrid_late_fusion_v2,calibrated_confidence_router,0.898,-0.104902
hybrid_late_fusion_v2,cost_aware_router,0.99,-0.148514
hybrid_late_fusion_v2,oracle_best,0.0,0.123427
calibrated_confidence_router,cost_aware_router,0.626,-0.043612
calibrated_confidence_router,oracle_best,0.0,0.228328
cost_aware_router,oracle_best,0.0,0.27194
