model_name,routing_average_cer,classification_accuracy,macro_f1,expected_compute_cost,fallback_rate,sample_count,label,overlap_ratio
calibrated_confidence_router,0.332445,0.454545,0.208333,1.0,1.0,11,experimental/frontier,0.0
calibrated_confidence_router,0.1295,1.0,0.333333,1.0,1.0,4,experimental/frontier,0.1
calibrated_confidence_router,0.284375,0.454545,0.208333,1.0,1.0,11,experimental/frontier,0.2
calibrated_confidence_router,0.25,0.0,0.0,1.0,1.0,1,experimental/frontier,0.3
calibrated_confidence_router,0.312,0.0,0.0,1.0,1.0,2,experimental/frontier,0.4
calibrated_confidence_router,0.453527,0.2,0.111111,1.0,1.0,10,experimental/frontier,0.45
calibrated_confidence_router,0.401638,0.538462,0.305556,1.323077,1.0,13,experimental/frontier,0.7
calibrated_confidence_router,0.2036,1.0,0.333333,1.6,1.0,2,experimental/frontier,0.8
calibrated_confidence_router,0.442999,0.6,0.388889,1.24,1.0,10,experimental/frontier,0.9
cost_aware_router,0.441457,0.545455,0.353276,1.381818,0.0,11,experimental/frontier,0.0
cost_aware_router,0.1295,1.0,0.333333,1.0,0.0,4,experimental/frontier,0.1
cost_aware_router,0.48255,0.636364,0.404762,1.436364,0.0,11,experimental/frontier,0.2
cost_aware_router,0.25,0.0,0.0,1.0,0.0,1,experimental/frontier,0.3
cost_aware_router,0.312,0.0,0.0,1.0,0.0,2,experimental/frontier,0.4
cost_aware_router,0.610784,0.7,0.27451,1.54,0.0,10,experimental/frontier,0.45
cost_aware_router,0.394656,0.692308,0.272727,1.507692,0.0,13,experimental/frontier,0.7
cost_aware_router,0.3778,0.5,0.222222,1.3,0.0,2,experimental/frontier,0.8
cost_aware_router,0.175748,0.8,0.296296,1.6,0.0,10,experimental/frontier,0.9
fixed_cleaned,0.224306,0.0,0.0,1.8,0.0,11,experimental/frontier,0.0
fixed_cleaned,0.2295,0.0,0.0,1.8,0.0,4,experimental/frontier,0.1
fixed_cleaned,0.190658,0.0,0.0,1.8,0.0,11,experimental/frontier,0.2
fixed_cleaned,0.237,0.0,0.0,1.8,0.0,1,experimental/frontier,0.3
fixed_cleaned,0.24,0.0,0.0,1.8,0.0,2,experimental/frontier,0.4
fixed_cleaned,0.179355,0.0,0.0,1.8,0.0,10,experimental/frontier,0.45
fixed_cleaned,0.181711,0.0,0.0,1.8,0.0,13,experimental/frontier,0.7
fixed_cleaned,0.2436,0.0,0.0,1.8,0.0,2,experimental/frontier,0.8
fixed_cleaned,0.175748,0.0,0.0,1.8,0.0,10,experimental/frontier,0.9
fixed_mixed,0.332445,0.454545,0.208333,1.0,0.0,11,experimental/frontier,0.0
fixed_mixed,0.1295,1.0,0.333333,1.0,0.0,4,experimental/frontier,0.1
fixed_mixed,0.284375,0.454545,0.208333,1.0,0.0,11,experimental/frontier,0.2
fixed_mixed,0.25,0.0,0.0,1.0,0.0,1,experimental/frontier,0.3
fixed_mixed,0.312,0.0,0.0,1.0,0.0,2,experimental/frontier,0.4
fixed_mixed,0.453527,0.2,0.111111,1.0,0.0,10,experimental/frontier,0.45
fixed_mixed,0.504292,0.153846,0.088889,1.0,0.0,13,experimental/frontier,0.7
fixed_mixed,0.549,0.0,0.0,1.0,0.0,2,experimental/frontier,0.8
fixed_mixed,0.60864,0.2,0.111111,1.0,0.0,10,experimental/frontier,0.9
fixed_separated,0.488871,0.545455,0.235294,1.6,0.0,11,experimental/frontier,0.0
fixed_separated,0.2445,0.0,0.0,1.6,0.0,4,experimental/frontier,0.1
