model_name,routing_average_cer,classification_accuracy,macro_f1,expected_compute_cost,fallback_rate,sample_count,label,overlap_tier
calibrated_confidence_router,0.464129,0.4,0.25,1.24,1.0,10,experimental/frontier,SyntheticHeavyOverlap
calibrated_confidence_router,0.292613,0.4,0.190476,1.0,1.0,10,experimental/frontier,SyntheticLightOverlap
calibrated_confidence_router,0.453527,0.2,0.111111,1.0,1.0,10,experimental/frontier,SyntheticMidOverlap
calibrated_confidence_router,0.35709,0.4,0.190476,1.0,1.0,10,experimental/frontier,SyntheticNoOverlap
calibrated_confidence_router,0.442999,0.6,0.388889,1.24,1.0,10,experimental/frontier,SyntheticOppositeOverlap
calibrated_confidence_router,0.190514,0.785714,0.523077,1.214286,1.0,14,experimental/frontier,clean_turn_taking
cost_aware_router,0.397653,0.8,0.296296,1.6,0.0,10,experimental/frontier,SyntheticHeavyOverlap
cost_aware_router,0.510605,0.6,0.349206,1.48,0.0,10,experimental/frontier,SyntheticLightOverlap
cost_aware_router,0.610784,0.7,0.27451,1.54,0.0,10,experimental/frontier,SyntheticMidOverlap
cost_aware_router,0.477003,0.5,0.300366,1.42,0.0,10,experimental/frontier,SyntheticNoOverlap
cost_aware_router,0.175748,0.8,0.296296,1.6,0.0,10,experimental/frontier,SyntheticOppositeOverlap
cost_aware_router,0.2564,0.571429,0.355556,1.085714,0.0,14,experimental/frontier,clean_turn_taking
fixed_cleaned,0.166224,0.0,0.0,1.8,0.0,10,experimental/frontier,SyntheticHeavyOverlap
fixed_cleaned,0.186224,0.0,0.0,1.8,0.0,10,experimental/frontier,SyntheticLightOverlap
fixed_cleaned,0.179355,0.0,0.0,1.8,0.0,10,experimental/frontier,SyntheticMidOverlap
fixed_cleaned,0.218637,0.0,0.0,1.8,0.0,10,experimental/frontier,SyntheticNoOverlap
fixed_cleaned,0.175748,0.0,0.0,1.8,0.0,10,experimental/frontier,SyntheticOppositeOverlap
fixed_cleaned,0.238443,0.0,0.0,1.8,0.0,14,experimental/frontier,clean_turn_taking
fixed_mixed,0.51178,0.2,0.111111,1.0,0.0,10,experimental/frontier,SyntheticHeavyOverlap
fixed_mixed,0.292613,0.4,0.190476,1.0,0.0,10,experimental/frontier,SyntheticLightOverlap
