overlap_ratio,mixed_cer,separated_cer,cleaned_cer,separation_delta_cer,sample_count,best_route_distribution
0.0,0.074,0.471375,0.2775,0.397375,8,"mixed:8,separated:0,cleaned:0"
0.1,0.132,0.2445,0.2295,0.1125,8,"mixed:8,separated:0,cleaned:0"
0.2,0.19,0.2245,0.2315,0.0345,8,"mixed:8,separated:0,cleaned:0"
0.3,0.248,0.2045,0.2335,-0.0435,8,"mixed:0,separated:8,cleaned:0"
0.4,0.306,0.1945,0.2345,-0.1115,8,"mixed:0,separated:8,cleaned:0"
0.5,0.364,0.1945,0.2345,-0.1695,8,"mixed:0,separated:8,cleaned:0"
0.6,0.422,0.1945,0.2345,-0.2275,8,"mixed:0,separated:8,cleaned:0"
0.7,0.48,0.1945,0.2345,-0.2855,8,"mixed:0,separated:8,cleaned:0"
0.8,0.538,0.1981,0.2381,-0.3399,8,"mixed:0,separated:8,cleaned:0"
0.9,0.596,0.2161,0.2601,-0.3799,8,"mixed:0,separated:8,cleaned:0"
