sample_id,split,overlap_ratio,overlap_percent,dominance_condition,duration_bucket,interruption_style,mixed_cer,separated_cer,cleaned_cer,separation_delta_cer,evidence_type,notes,best_route_label
audio_depth_stress_v1_0001,test,0.0,0,speaker_a_dominant,short,clean_turn_taking,0.076,0.5055,0.281,0.4295,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0002,dev,0.1,10,speaker_a_dominant,short,clean_turn_taking,0.134,0.248,0.233,0.114,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0003,train,0.2,20,speaker_a_dominant,short,clean_turn_taking,0.192,0.228,0.235,0.036,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0004,train,0.3,30,speaker_a_dominant,short,clean_turn_taking,0.25,0.208,0.237,-0.042,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0005,train,0.4,40,speaker_a_dominant,short,clean_turn_taking,0.308,0.198,0.238,-0.11,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0006,test,0.5,50,speaker_a_dominant,short,clean_turn_taking,0.366,0.198,0.238,-0.168,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0007,dev,0.6,60,speaker_a_dominant,short,clean_turn_taking,0.424,0.198,0.238,-0.226,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0008,train,0.7,70,speaker_a_dominant,short,clean_turn_taking,0.482,0.198,0.238,-0.284,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0009,train,0.8,80,speaker_a_dominant,short,clean_turn_taking,0.54,0.2016,0.2416,-0.3384,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0010,train,0.9,90,speaker_a_dominant,short,clean_turn_taking,0.598,0.2196,0.2636,-0.3784,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0011,test,0.0,0,speaker_b_dominant,short,clean_turn_taking,0.076,0.5055,0.281,0.4295,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0012,dev,0.1,10,speaker_b_dominant,short,clean_turn_taking,0.134,0.248,0.233,0.114,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0013,train,0.2,20,speaker_b_dominant,short,clean_turn_taking,0.192,0.228,0.235,0.036,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0014,train,0.3,30,speaker_b_dominant,short,clean_turn_taking,0.25,0.208,0.237,-0.042,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0015,train,0.4,40,speaker_b_dominant,short,clean_turn_taking,0.308,0.198,0.238,-0.11,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0016,test,0.5,50,speaker_b_dominant,short,clean_turn_taking,0.366,0.198,0.238,-0.168,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0017,dev,0.6,60,speaker_b_dominant,short,clean_turn_taking,0.424,0.198,0.238,-0.226,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0018,train,0.7,70,speaker_b_dominant,short,clean_turn_taking,0.482,0.198,0.238,-0.284,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0019,train,0.8,80,speaker_b_dominant,short,clean_turn_taking,0.54,0.2016,0.2416,-0.3384,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0020,train,0.9,90,speaker_b_dominant,short,clean_turn_taking,0.598,0.2196,0.2636,-0.3784,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0021,test,0.0,0,balanced,short,clean_turn_taking,0.04,0.33,0.263,0.29,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0022,dev,0.1,10,balanced,short,clean_turn_taking,0.098,0.23,0.215,0.132,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0023,train,0.2,20,balanced,short,clean_turn_taking,0.156,0.21,0.217,0.054,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0024,train,0.3,30,balanced,short,clean_turn_taking,0.214,0.19,0.219,-0.024,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0025,train,0.4,40,balanced,short,clean_turn_taking,0.272,0.18,0.22,-0.092,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0026,test,0.5,50,balanced,short,clean_turn_taking,0.33,0.18,0.22,-0.15,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0027,dev,0.6,60,balanced,short,clean_turn_taking,0.388,0.18,0.22,-0.208,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0028,train,0.7,70,balanced,short,clean_turn_taking,0.446,0.18,0.22,-0.266,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0029,train,0.8,80,balanced,short,clean_turn_taking,0.504,0.1836,0.2236,-0.3204,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
