sample_id,split,overlap_ratio,best_route_label,mixed_cer,separated_cer,cleaned_cer,label_source,evidence_type
audio_depth_stress_v1_0001,test,0.0,mixed,0.076,0.5055,0.281,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0002,dev,0.1,mixed,0.134,0.248,0.233,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0003,train,0.2,mixed,0.192,0.228,0.235,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0004,train,0.3,separated,0.25,0.208,0.237,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0005,train,0.4,separated,0.308,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0006,test,0.5,separated,0.366,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0007,dev,0.6,separated,0.424,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0008,train,0.7,separated,0.482,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0009,train,0.8,separated,0.54,0.2016,0.2416,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0010,train,0.9,separated,0.598,0.2196,0.2636,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0011,test,0.0,mixed,0.076,0.5055,0.281,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0012,dev,0.1,mixed,0.134,0.248,0.233,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0013,train,0.2,mixed,0.192,0.228,0.235,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0014,train,0.3,separated,0.25,0.208,0.237,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0015,train,0.4,separated,0.308,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0016,test,0.5,separated,0.366,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0017,dev,0.6,separated,0.424,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0018,train,0.7,separated,0.482,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0019,train,0.8,separated,0.54,0.2016,0.2416,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0020,train,0.9,separated,0.598,0.2196,0.2636,stress_proxy_cer_argmin,synthetic/silver_proxy
