config_id,model_size,beam_size,vad_filter,limit,initial_prompt,sample_id,runtime_sec,status,error,blocked
base_beam1,base,1,False,10,,audio_depth_stress_v1_0001,1.6652,ok,,
base_beam1,base,1,False,10,,audio_depth_stress_v1_0002,0.2711,ok,,
base_beam1,base,1,False,10,,audio_depth_stress_v1_0003,0.3267,ok,,
base_beam1,base,1,False,10,,audio_depth_stress_v1_0004,0.4699,ok,,
base_beam1,base,1,False,10,,audio_depth_stress_v1_0005,0.2632,ok,,
base_beam1,base,1,False,10,,audio_depth_stress_v1_0006,1.0911,ok,,
base_beam1,base,1,False,10,,audio_depth_stress_v1_0007,0.2809,ok,,
base_beam1,base,1,False,10,,audio_depth_stress_v1_0008,0.299,ok,,
base_beam1,base,1,False,10,,audio_depth_stress_v1_0009,1.1147,ok,,
base_beam1,base,1,False,10,,audio_depth_stress_v1_0010,0.2803,ok,,
base_beam5,base,5,False,10,,audio_depth_stress_v1_0001,0.3392,ok,,
base_beam5,base,5,False,10,,audio_depth_stress_v1_0002,0.3227,ok,,
base_beam5,base,5,False,10,,audio_depth_stress_v1_0003,1.1406,ok,,
base_beam5,base,5,False,10,,audio_depth_stress_v1_0004,0.3399,ok,,
base_beam5,base,5,False,10,,audio_depth_stress_v1_0005,0.337,ok,,
base_beam5,base,5,False,10,,audio_depth_stress_v1_0006,0.9337,ok,,
base_beam5,base,5,False,10,,audio_depth_stress_v1_0007,0.3751,ok,,
base_beam5,base,5,False,10,,audio_depth_stress_v1_0008,0.4105,ok,,
base_beam5,base,5,False,10,,audio_depth_stress_v1_0009,0.3403,ok,,
base_beam5,base,5,False,10,,audio_depth_stress_v1_0010,0.3423,ok,,
base_vad,base,1,True,10,,audio_depth_stress_v1_0001,0.2942,ok,,
base_vad,base,1,True,10,,audio_depth_stress_v1_0002,0.2801,ok,,
base_vad,base,1,True,10,,audio_depth_stress_v1_0003,5.4407,ok,,
base_vad,base,1,True,10,,audio_depth_stress_v1_0004,0.4807,ok,,
base_vad,base,1,True,10,,audio_depth_stress_v1_0005,0.2861,ok,,
base_vad,base,1,True,10,,audio_depth_stress_v1_0006,0.6779,ok,,
base_vad,base,1,True,10,,audio_depth_stress_v1_0007,0.2936,ok,,
base_vad,base,1,True,10,,audio_depth_stress_v1_0008,0.3108,ok,,
base_vad,base,1,True,10,,audio_depth_stress_v1_0009,0.4298,ok,,
base_vad,base,1,True,10,,audio_depth_stress_v1_0010,0.2946,ok,,
base_prompt,base,5,False,10,中文辩论 对话 重叠语音 晚睡 晚起 空虚,audio_depth_stress_v1_0001,0.3435,ok,,
base_prompt,base,5,False,10,中文辩论 对话 重叠语音 晚睡 晚起 空虚,audio_depth_stress_v1_0002,0.3558,ok,,
base_prompt,base,5,False,10,中文辩论 对话 重叠语音 晚睡 晚起 空虚,audio_depth_stress_v1_0003,0.3505,ok,,
base_prompt,base,5,False,10,中文辩论 对话 重叠语音 晚睡 晚起 空虚,audio_depth_stress_v1_0004,5.7004,ok,,
base_prompt,base,5,False,10,中文辩论 对话 重叠语音 晚睡 晚起 空虚,audio_depth_stress_v1_0005,8.0817,ok,,
base_prompt,base,5,False,10,中文辩论 对话 重叠语音 晚睡 晚起 空虚,audio_depth_stress_v1_0006,0.339,ok,,
base_prompt,base,5,False,10,中文辩论 对话 重叠语音 晚睡 晚起 空虚,audio_depth_stress_v1_0007,0.4257,ok,,
base_prompt,base,5,False,10,中文辩论 对话 重叠语音 晚睡 晚起 空虚,audio_depth_stress_v1_0008,0.4549,ok,,
base_prompt,base,5,False,10,中文辩论 对话 重叠语音 晚睡 晚起 空虚,audio_depth_stress_v1_0009,0.4087,ok,,
base_prompt,base,5,False,10,中文辩论 对话 重叠语音 晚睡 晚起 空虚,audio_depth_stress_v1_0010,0.3544,ok,,
small_beam5_partial,small,5,False,3,,audio_depth_stress_v1_0001,0.0,blocked_model_download_timeout,small model download did not finish in this run,True
small_beam5_partial,small,5,False,3,,audio_depth_stress_v1_0002,0.0,blocked_model_download_timeout,small model download did not finish in this run,True
small_beam5_partial,small,5,False,3,,audio_depth_stress_v1_0003,0.0,blocked_model_download_timeout,small model download did not finish in this run,True
