sample_id,split,overlap_tier,best_route_label,mixed_cer,separated_cer,cleaned_cer,map_path_deployable,map_path_logmel,map_path_analysis,duration,mean_energy,max_energy,spectral_flux_mean,spectral_flux_std,overlap_proxy_mean,overlap_proxy_max,uncertainty_proxy_mean,uncertainty_proxy_max,energy_norm_mean,mixed_segment_count,separated_segment_count,cleaned_removed_count,length_ratio,repetition_score,method_disagreement_score,separated_length,mixed_length,cleaned_length,selected_method_v2,decision_rule_v2
SyntheticHeavyOverlap_dev_01,dev,SyntheticHeavyOverlap,separated,0.28125,0.0,0.0,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_01.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_dev_01.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_dev_01.npy,5.3206875,0.010607521049678326,0.06527043879032135,0.027782030403614044,0.0765555202960968,0.23566178977489471,0.8313725590705872,0.22504086792469025,0.6627451181411743,0.2143763303756714,3.0,2.0,0.0,2.148148,1.1481481481481481,62.0,58.0,27.0,58.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_dev_02,dev,SyntheticHeavyOverlap,mixed,0.5,0.961538,0.961538,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_02.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_dev_02.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_dev_02.npy,4.18425,0.011532111093401909,0.06697133928537369,0.028007498010993004,0.07906349748373032,0.21425653994083405,0.9725490212440491,0.20208334922790527,0.5764706134796143,0.21139390766620636,2.0,2.0,0.0,1.961538,0.9615384615384616,50.0,51.0,26.0,51.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_dev_03,dev,SyntheticHeavyOverlap,separated,0.6,0.2,0.2,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_03.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_dev_03.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_dev_03.npy,3.232625,0.0156834926456213,0.04764574393630028,0.029205134138464928,0.07821349799633026,0.38202616572380066,0.9686274528503418,0.2817402184009552,0.6980392336845398,0.3844420611858368,2.0,2.0,0.0,2.277778,1.2777777777777777,46.0,41.0,18.0,41.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_dev_04,dev,SyntheticHeavyOverlap,separated,0.333333,0.111111,0.111111,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_04.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_dev_04.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_dev_04.npy,3.4686875,0.01366383396089077,0.06106618791818619,0.028087874874472618,0.07574279606342316,0.2449755072593689,0.9843137264251709,0.25200164318084717,0.7960784435272217,0.23976357281208038,2.0,2.0,0.0,2.263158,1.263157894736842,48.0,43.0,19.0,43.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_dev_05,dev,SyntheticHeavyOverlap,separated,0.16,0.04,0.04,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_05.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_dev_05.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_dev_05.npy,4.2486875,0.01594557985663414,0.05691508203744888,0.028711169958114624,0.0781371220946312,0.2877451181411743,0.9254902005195618,0.250612735748291,0.6705882549285889,0.2840232849121094,2.0,2.0,0.0,2.380952,1.380952380952381,58.0,50.0,21.0,50.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_dev_06,dev,SyntheticHeavyOverlap,separated,0.666667,0.0,0.0,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_06.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_dev_06.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_dev_06.npy,3.9700625,0.014522197656333447,0.056326817721128464,0.028768673539161682,0.07815039157867432,0.2776961028575897,0.9803921580314636,0.20437093079090118,0.7450980544090271,0.28560274839401245,2.0,2.0,0.0,4.6,3.6,72.0,46.0,10.0,46.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_dev_07,dev,SyntheticHeavyOverlap,separated,0.722222,0.0,0.0,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_07.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_dev_07.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_dev_07.npy,2.7476875,0.014180613681674004,0.04017093777656555,0.034565601497888565,0.08605299890041351,0.3554738759994507,0.9725490212440491,0.23950165510177612,0.6313725709915161,0.35255298018455505,1.0,2.0,0.0,5.375,4.375,70.0,43.0,8.0,43.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_dev_08,dev,SyntheticHeavyOverlap,separated,0.35,0.2,0.2,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_08.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_dev_08.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_dev_08.npy,2.159125,0.022035827860236168,0.088921919465065,0.03281501680612564,0.08342093229293823,0.25870099663734436,1.0,0.256576806306839,0.8313725590705872,0.2273396998643875,2.0,2.0,0.0,2.6875,1.6875,54.0,43.0,16.0,43.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_dev_09,dev,SyntheticHeavyOverlap,separated,0.857143,0.0,0.0,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_09.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_dev_09.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_dev_09.npy,1.925875,0.030036550015211105,0.10367300361394882,0.030758986249566078,0.0823298767209053,0.30947715044021606,0.9725490212440491,0.21507354080677032,0.8784313797950745,0.3010902404785156,1.0,2.0,0.0,9.75,8.75,70.0,39.0,4.0,39.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_dev_10,dev,SyntheticHeavyOverlap,separated,5.225806,0.290323,0.290323,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_dev_10.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_dev_10.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_dev_10.npy,5.4338125,0.01290436927229166,0.06746912002563477,0.028797635808587074,0.0779838114976883,0.27471408247947693,0.9137254953384399,0.2538398802280426,0.6431372761726379,0.2518695592880249,25.0,2.0,0.0,0.277457,0.0,250.0,48.0,173.0,48.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_test_01,test,SyntheticHeavyOverlap,mixed,0.342857,2.742857,0.428571,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_01.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_test_01.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_test_01.npy,4.42025,0.01672564260661602,0.06539810448884964,0.02952110394835472,0.07770600914955139,0.2946487069129944,0.9960784316062927,0.22504086792469025,0.6039215922355652,0.28538745641708374,3.0,17.0,13.0,13.8,12.8,380.0,345.0,25.0,85.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_test_02,test,SyntheticHeavyOverlap,mixed,0.44,0.76,0.76,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_02.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_test_02.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_test_02.npy,4.7659375,0.011790036223828793,0.07891882956027985,0.027029862627387047,0.07464009523391724,0.20723040401935577,0.9882352948188782,0.21123366057872772,0.615686297416687,0.19793535768985748,2.0,2.0,0.0,2.041667,1.0416666666666667,50.0,49.0,24.0,49.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_test_03,test,SyntheticHeavyOverlap,separated,0.8,0.0,0.0,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_03.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_test_03.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_test_03.npy,4.098375,0.012777070514857769,0.08754447847604752,0.02666439302265644,0.07656373828649521,0.21670754253864288,0.9372549057006836,0.19906045496463776,0.6549019813537598,0.20052622258663177,1.0,2.0,0.0,5.0,4.0,88.0,55.0,11.0,55.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_test_04,test,SyntheticHeavyOverlap,separated,0.736842,0.052632,0.052632,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_04.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_test_04.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_test_04.npy,2.757125,0.01654096320271492,0.05611032620072365,0.028943125158548355,0.07629545032978058,0.3492647111415863,0.9803921580314636,0.26776960492134094,0.7921568751335144,0.31980589032173157,1.0,2.0,0.0,4.4,3.4,68.0,44.0,10.0,44.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_test_05,test,SyntheticHeavyOverlap,separated,0.65,0.0,0.0,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_05.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_test_05.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_test_05.npy,2.506125,0.01652582921087742,0.05389105901122093,0.032647885382175446,0.08204067498445511,0.33721408247947693,1.0,0.323529452085495,0.7686274647712708,0.34750035405158997,1.0,2.0,0.0,5.625,4.625,74.0,45.0,8.0,45.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_test_06,test,SyntheticHeavyOverlap,separated,0.307692,0.038462,0.038462,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_06.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_test_06.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_test_06.npy,3.828625,0.015729645267128944,0.07207094132900238,0.02921854332089424,0.08010384440422058,0.2677287757396698,0.9137254953384399,0.2113562375307083,0.6627451181411743,0.2514279782772064,2.0,2.0,0.0,2.363636,1.3636363636363635,60.0,52.0,22.0,52.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_test_07,test,SyntheticHeavyOverlap,separated,0.833333,0.291667,0.291667,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_07.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_test_07.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_test_07.npy,3.2940625,0.014689153991639614,0.056326817721128464,0.027689766138792038,0.07896771281957626,0.2579248249530792,0.9607843160629272,0.25159314274787903,0.7215686440467834,0.27573490142822266,1.0,2.0,0.0,6.125,5.125,82.0,49.0,8.0,49.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
SyntheticHeavyOverlap_test_08,test,SyntheticHeavyOverlap,separated,0.388889,0.0,0.0,resources/audio_depth_maps/deployable/SyntheticHeavyOverlap_test_08.npy,resources/audio_depth_maps/logmel/SyntheticHeavyOverlap_test_08.npy,resources/audio_depth_maps/analysis/SyntheticHeavyOverlap_test_08.npy,2.823625,0.014602449722588062,0.04751642048358917,0.03280353546142578,0.08401013165712357,0.3439134359359741,0.9725490212440491,0.29317811131477356,0.7333333492279053,0.3416053354740143,2.0,2.0,0.0,3.142857,2.142857142857143,60.0,44.0,14.0,44.0,separated_whisper,overlap_level>=3 and separated looks usable; choose separated_whisper
