model_name,route_label,precision,recall,f1,support
mlp_handcrafted,mixed,1.0,0.285714,0.444444,14
mlp_handcrafted,separated,0.782609,1.0,0.878049,36
mlp_handcrafted,cleaned,0.0,0.0,0.0,0
cnn_logmel,mixed,0.333333,0.071429,0.117647,14
cnn_logmel,separated,0.723404,0.944444,0.819277,36
cnn_logmel,cleaned,0.0,0.0,0.0,0
cnn_depth,mixed,0.666667,0.142857,0.235294,14
cnn_depth,separated,0.744681,0.972222,0.843373,36
cnn_depth,cleaned,0.0,0.0,0.0,0
cnn_depth_balanced,mixed,0.666667,0.285714,0.4,14
cnn_depth_balanced,separated,0.772727,0.944444,0.85,36
cnn_depth_balanced,cleaned,0.0,0.0,0.0,0
resnet_tiny_depth,mixed,0.5,0.071429,0.125,14
resnet_tiny_depth,separated,0.729167,0.972222,0.833333,36
resnet_tiny_depth,cleaned,0.0,0.0,0.0,0
crnn_depth,mixed,0.0,0.0,0.0,14
crnn_depth,separated,0.72,1.0,0.837209,36
crnn_depth,cleaned,0.0,0.0,0.0,0
patch_transformer_depth,mixed,0.0,0.0,0.0,14
patch_transformer_depth,separated,0.72,1.0,0.837209,36
patch_transformer_depth,cleaned,0.0,0.0,0.0,0
hybrid_late_fusion,mixed,0.666667,0.285714,0.4,14
hybrid_late_fusion,separated,0.772727,0.944444,0.85,36
hybrid_late_fusion,cleaned,0.0,0.0,0.0,0
analysis_upper_bound_cnn,mixed,0.25,0.142857,0.181818,14
analysis_upper_bound_cnn,separated,0.714286,0.833333,0.769231,36
analysis_upper_bound_cnn,cleaned,0.0,0.0,0.0,0
fixed_mixed_whisper,mixed,0.28,1.0,0.4375,14
fixed_mixed_whisper,separated,0.0,0.0,0.0,36
fixed_mixed_whisper,cleaned,0.0,0.0,0.0,0
fixed_separated_whisper,mixed,0.0,0.0,0.0,14
fixed_separated_whisper,separated,0.72,1.0,0.837209,36
fixed_separated_whisper,cleaned,0.0,0.0,0.0,0
fixed_separated_whisper_cleaned,mixed,0.0,0.0,0.0,14
fixed_separated_whisper_cleaned,separated,0.0,0.0,0.0,36
fixed_separated_whisper_cleaned,cleaned,0.0,0.0,0.0,0
majority_route_baseline,mixed,0.0,0.0,0.0,14
majority_route_baseline,separated,0.72,1.0,0.837209,36
majority_route_baseline,cleaned,0.0,0.0,0.0,0
router_v1,mixed,0.3,0.428571,0.352941,14
router_v1,separated,0.733333,0.611111,0.666667,36
router_v1,cleaned,0.0,0.0,0.0,0
router_v2,mixed,0.333333,0.714286,0.454545,14
router_v2,separated,0.8,0.444444,0.571429,36
router_v2,cleaned,0.0,0.0,0.0,0
oracle_best,mixed,1.0,1.0,1.0,14
oracle_best,separated,1.0,1.0,1.0,36
oracle_best,cleaned,0.0,0.0,0.0,0
