model_name,overlap_tier,routing_average_cer,sample_count
mlp_handcrafted,SyntheticHeavyOverlap,0.157653,10
mlp_handcrafted,SyntheticLightOverlap,0.143367,10
mlp_handcrafted,SyntheticMidOverlap,0.159355,10
mlp_handcrafted,SyntheticNoOverlap,0.19578,10
mlp_handcrafted,SyntheticOppositeOverlap,0.175748,10
cnn_logmel,SyntheticHeavyOverlap,0.397653,10
cnn_logmel,SyntheticLightOverlap,0.551938,10
cnn_logmel,SyntheticMidOverlap,0.612451,10
cnn_logmel,SyntheticNoOverlap,0.520541,10
cnn_logmel,SyntheticOppositeOverlap,0.175748,10
cnn_depth,SyntheticHeavyOverlap,0.397653,10
cnn_depth,SyntheticLightOverlap,0.574161,10
cnn_depth,SyntheticMidOverlap,0.570784,10
cnn_depth,SyntheticNoOverlap,0.487208,10
cnn_depth,SyntheticOppositeOverlap,0.175748,10
cnn_depth_balanced,SyntheticHeavyOverlap,0.157653,10
cnn_depth_balanced,SyntheticLightOverlap,0.574161,10
cnn_depth_balanced,SyntheticMidOverlap,0.570784,10
cnn_depth_balanced,SyntheticNoOverlap,0.510542,10
cnn_depth_balanced,SyntheticOppositeOverlap,0.175748,10
resnet_tiny_depth,SyntheticHeavyOverlap,0.397653,10
resnet_tiny_depth,SyntheticLightOverlap,0.574161,10
resnet_tiny_depth,SyntheticMidOverlap,0.570784,10
resnet_tiny_depth,SyntheticNoOverlap,0.487208,10
resnet_tiny_depth,SyntheticOppositeOverlap,0.175748,10
crnn_depth,SyntheticHeavyOverlap,0.397653,10
crnn_depth,SyntheticLightOverlap,0.551938,10
crnn_depth,SyntheticMidOverlap,0.570784,10
crnn_depth,SyntheticNoOverlap,0.487208,10
crnn_depth,SyntheticOppositeOverlap,0.175748,10
patch_transformer_depth,SyntheticHeavyOverlap,0.397653,10
patch_transformer_depth,SyntheticLightOverlap,0.551938,10
patch_transformer_depth,SyntheticMidOverlap,0.570784,10
patch_transformer_depth,SyntheticNoOverlap,0.487208,10
patch_transformer_depth,SyntheticOppositeOverlap,0.175748,10
hybrid_late_fusion,SyntheticHeavyOverlap,0.157653,10
hybrid_late_fusion,SyntheticLightOverlap,0.170034,10
hybrid_late_fusion,SyntheticMidOverlap,0.159355,10
hybrid_late_fusion,SyntheticNoOverlap,0.219113,10
hybrid_late_fusion,SyntheticOppositeOverlap,0.175748,10
analysis_upper_bound_cnn,SyntheticHeavyOverlap,0.451819,10
analysis_upper_bound_cnn,SyntheticLightOverlap,0.578605,10
analysis_upper_bound_cnn,SyntheticMidOverlap,0.64403,10
analysis_upper_bound_cnn,SyntheticNoOverlap,0.620542,10
analysis_upper_bound_cnn,SyntheticOppositeOverlap,0.175748,10
fixed_mixed_whisper,SyntheticHeavyOverlap,0.51178,10
fixed_mixed_whisper,SyntheticLightOverlap,0.292613,10
fixed_mixed_whisper,SyntheticMidOverlap,0.453527,10
fixed_mixed_whisper,SyntheticNoOverlap,0.35709,10
fixed_mixed_whisper,SyntheticOppositeOverlap,0.60864,10
fixed_separated_whisper,SyntheticHeavyOverlap,0.397653,10
fixed_separated_whisper,SyntheticLightOverlap,0.551938,10
fixed_separated_whisper,SyntheticMidOverlap,0.570784,10
fixed_separated_whisper,SyntheticNoOverlap,0.487208,10
fixed_separated_whisper,SyntheticOppositeOverlap,0.175748,10
fixed_separated_whisper_cleaned,SyntheticHeavyOverlap,0.166224,10
fixed_separated_whisper_cleaned,SyntheticLightOverlap,0.186224,10
fixed_separated_whisper_cleaned,SyntheticMidOverlap,0.179355,10
fixed_separated_whisper_cleaned,SyntheticNoOverlap,0.218637,10
fixed_separated_whisper_cleaned,SyntheticOppositeOverlap,0.175748,10
majority_route_baseline,SyntheticHeavyOverlap,0.397653,10
majority_route_baseline,SyntheticLightOverlap,0.551938,10
majority_route_baseline,SyntheticMidOverlap,0.570784,10
majority_route_baseline,SyntheticNoOverlap,0.487208,10
majority_route_baseline,SyntheticOppositeOverlap,0.175748,10
router_v1,SyntheticHeavyOverlap,0.397653,10
router_v1,SyntheticLightOverlap,0.292613,10
router_v1,SyntheticMidOverlap,0.453527,10
router_v1,SyntheticNoOverlap,0.487208,10
router_v1,SyntheticOppositeOverlap,0.175748,10
router_v2,SyntheticHeavyOverlap,0.397653,10
router_v2,SyntheticLightOverlap,0.292613,10
router_v2,SyntheticMidOverlap,0.453527,10
router_v2,SyntheticNoOverlap,0.35709,10
router_v2,SyntheticOppositeOverlap,0.175748,10
oracle_best,SyntheticHeavyOverlap,0.125653,10
oracle_best,SyntheticLightOverlap,0.075367,10
oracle_best,SyntheticMidOverlap,0.095355,10
oracle_best,SyntheticNoOverlap,0.12378,10
oracle_best,SyntheticOppositeOverlap,0.155748,10
