model_name,task,sample_id,oracle_route,target_label,e00,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,e13,e14,e15
cnn,oracle_route,controlled_route_sensitive_v1_0004,separated,separated,0.387819,0.4231,0.0,0.0,0.0,0.0,0.421376,0.415648,0.0,0.0,0.343316,0.514046,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0005,separated,separated,1.64538,1.857444,0.0,0.0,0.0,0.0,1.529484,1.69427,0.0,0.0,1.616137,1.855879,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0006,separated,separated,1.723928,1.915353,0.0,0.0,0.0,0.0,1.711348,1.773376,0.0,0.0,1.673312,1.910092,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0009,separated,separated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0014,separated,separated,1.234493,1.468874,0.0,0.0,0.0,0.0,1.175079,1.272985,0.0,0.0,1.227545,1.310361,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0015,mixed,mixed,1.578853,1.668061,0.0,0.0,0.0,0.0,1.451162,1.507361,0.0,0.0,1.475721,1.565396,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0016,mixed,mixed,1.01397,1.158176,0.0,0.0,0.0,0.0,0.901623,0.995207,0.0,0.0,0.841205,0.890683,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0018,separated,separated,1.650757,1.759374,0.0,0.0,0.0,0.0,1.577754,1.617278,0.0,0.0,1.493788,1.74802,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0019,separated,separated,1.123319,1.206153,0.0,0.0,0.0,0.0,1.038371,1.097126,0.0,0.0,1.078123,1.166082,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0021,separated,separated,1.431873,1.520576,0.0,0.0,0.0,0.0,1.336926,1.420983,0.0,0.0,1.365992,1.472396,0.0,0.0,0.0,0.0
