confidence,risk_quantile,risk_ceiling,selected_route_cer,route_accuracy,text_probe_reduction_rate,false_safe_rate,separation_call_rate,risk_guard_override_count,sample_count
0.3,0.35,0.366151,0.527748,0.666667,0.683333,0.033333,0.766667,12,60
0.3,0.45,0.390112,0.52516,0.716667,0.716667,0.05,0.716667,9,60
0.3,0.55,0.415428,0.52516,0.75,0.716667,0.083333,0.683333,7,60
0.3,0.65,0.429861,0.52516,0.816667,0.716667,0.15,0.616667,3,60
0.3,0.75,0.439403,0.52516,0.85,0.716667,0.183333,0.583333,1,60
0.3,0.85,0.452621,0.52516,0.85,0.716667,0.183333,0.583333,1,60
0.4,0.35,0.366151,0.527748,0.666667,0.683333,0.033333,0.766667,12,60
0.4,0.45,0.390112,0.52516,0.716667,0.716667,0.05,0.716667,9,60
0.4,0.55,0.415428,0.52516,0.75,0.716667,0.083333,0.683333,7,60
0.4,0.65,0.429861,0.52516,0.816667,0.716667,0.15,0.616667,3,60
0.4,0.75,0.439403,0.52516,0.85,0.716667,0.183333,0.583333,1,60
0.4,0.85,0.452621,0.52516,0.85,0.716667,0.183333,0.583333,1,60
0.5,0.35,0.366151,0.527748,0.666667,0.683333,0.033333,0.766667,12,60
0.5,0.45,0.390112,0.52516,0.716667,0.716667,0.05,0.716667,9,60
0.5,0.55,0.415428,0.52516,0.75,0.716667,0.083333,0.683333,7,60
0.5,0.65,0.429861,0.52516,0.816667,0.716667,0.15,0.616667,3,60
0.5,0.75,0.439403,0.52516,0.85,0.716667,0.183333,0.583333,1,60
0.5,0.85,0.452621,0.52516,0.85,0.716667,0.183333,0.583333,1,60
0.6,0.35,0.366151,0.539653,0.65,0.65,0.033333,0.75,12,60
0.6,0.45,0.390112,0.537065,0.7,0.683333,0.05,0.7,9,60
0.6,0.55,0.415428,0.537065,0.733333,0.683333,0.083333,0.666667,7,60
0.6,0.65,0.429861,0.537065,0.8,0.683333,0.15,0.6,3,60
0.6,0.75,0.439403,0.537065,0.833333,0.683333,0.183333,0.566667,1,60
0.6,0.85,0.452621,0.537065,0.833333,0.683333,0.183333,0.566667,1,60
0.7,0.35,0.366151,0.539653,0.65,0.6,0.033333,0.75,14,60
0.7,0.45,0.390112,0.543414,0.683333,0.633333,0.05,0.683333,10,60
0.7,0.55,0.415428,0.545795,0.7,0.633333,0.083333,0.633333,7,60
0.7,0.65,0.429861,0.545795,0.766667,0.633333,0.15,0.566667,3,60
0.7,0.75,0.439403,0.545795,0.8,0.633333,0.183333,0.533333,1,60
0.7,0.85,0.452621,0.545795,0.8,0.633333,0.183333,0.533333,1,60
