policy_name,confidence_threshold,risk_threshold,route_gap_threshold,min_route_cer_review_threshold,selected_route_CER,route_accuracy,false_safe_rate,text_probe_reduction_rate,direct_bypass_rate,fallback_rate,review_rate,mixed_bypass_count,separation_bypass_count,unsafe_bypass_count,selected_mixed_high_error_count,cost_score,sample_count,note
conf0.50_risk0.20_gap0.00_review0.60,0.5,0.2,0.0,0.6,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.00_review0.65,0.5,0.2,0.0,0.65,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.00_review0.70,0.5,0.2,0.0,0.7,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.02_review0.60,0.5,0.2,0.02,0.6,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.02_review0.65,0.5,0.2,0.02,0.65,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.02_review0.70,0.5,0.2,0.02,0.7,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.03_review0.60,0.5,0.2,0.03,0.6,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.03_review0.65,0.5,0.2,0.03,0.65,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.03_review0.70,0.5,0.2,0.03,0.7,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.05_review0.60,0.5,0.2,0.05,0.6,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.05_review0.65,0.5,0.2,0.05,0.65,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.05_review0.70,0.5,0.2,0.05,0.7,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.10_review0.60,0.5,0.2,0.1,0.6,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.10_review0.65,0.5,0.2,0.1,0.65,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.20_gap0.10_review0.70,0.5,0.2,0.1,0.7,0.666248,0.6,0.0,0.0,0.0,1.0,0.316667,0,0,0,12,1.063333,60,conservative_fallback_heavy
conf0.50_risk0.30_gap0.00_review0.60,0.5,0.3,0.0,0.6,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.00_review0.65,0.5,0.3,0.0,0.65,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.00_review0.70,0.5,0.3,0.0,0.7,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.02_review0.60,0.5,0.3,0.02,0.6,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.02_review0.65,0.5,0.3,0.02,0.65,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.02_review0.70,0.5,0.3,0.02,0.7,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.03_review0.60,0.5,0.3,0.03,0.6,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.03_review0.65,0.5,0.3,0.03,0.65,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.03_review0.70,0.5,0.3,0.03,0.7,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.05_review0.60,0.5,0.3,0.05,0.6,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.05_review0.65,0.5,0.3,0.05,0.65,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.05_review0.70,0.5,0.3,0.05,0.7,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.10_review0.60,0.5,0.3,0.1,0.6,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.10_review0.65,0.5,0.3,0.1,0.65,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.30_gap0.10_review0.70,0.5,0.3,0.1,0.7,0.633304,0.65,0.0,0.05,0.05,0.95,0.316667,3,0,0,12,1.035833,60,safe_frontier_policy
conf0.50_risk0.40_gap0.00_review0.60,0.5,0.4,0.0,0.6,0.529082,0.833333,0.0,0.416667,0.416667,0.583333,0.316667,13,12,0,12,0.834167,60,safe_frontier_policy
conf0.50_risk0.40_gap0.00_review0.65,0.5,0.4,0.0,0.65,0.529082,0.833333,0.0,0.416667,0.416667,0.583333,0.316667,13,12,0,12,0.834167,60,safe_frontier_policy
conf0.50_risk0.40_gap0.00_review0.70,0.5,0.4,0.0,0.7,0.529082,0.833333,0.0,0.416667,0.416667,0.583333,0.316667,13,12,0,12,0.834167,60,safe_frontier_policy
