feature,target,pearson_r,sample_count
overlap_proxy_mean,oracle_route_code,0.128964,100
overlap_proxy_mean,route_gap,-0.364112,100
overlap_proxy_mean,separation_helpful,0.128964,100
overlap_proxy_max,oracle_route_code,0.139344,100
overlap_proxy_max,route_gap,0.16696,100
overlap_proxy_max,separation_helpful,0.139344,100
overlap_proxy_std,oracle_route_code,0.304518,100
overlap_proxy_std,route_gap,0.05338,100
overlap_proxy_std,separation_helpful,0.304518,100
uncertainty_proxy_mean,oracle_route_code,-0.172449,100
uncertainty_proxy_mean,route_gap,-0.181502,100
uncertainty_proxy_mean,separation_helpful,-0.172449,100
uncertainty_proxy_max,oracle_route_code,0.10572,100
uncertainty_proxy_max,route_gap,0.13373,100
uncertainty_proxy_max,separation_helpful,0.10572,100
uncertainty_proxy_std,oracle_route_code,0.187115,100
uncertainty_proxy_std,route_gap,0.183486,100
uncertainty_proxy_std,separation_helpful,0.187115,100
overlap_uncertainty_product,oracle_route_code,-0.028638,100
overlap_uncertainty_product,route_gap,-0.324056,100
overlap_uncertainty_product,separation_helpful,-0.028638,100
