source,sample_id,map_path,preview_path,mixed_path,mode,shape,channel_1,channel_2,channel_3,uses_source_tracks,oracle_route,route_gap,mixed_cer,separated_cer,cleaned_cer,intended_family,logmel_mean,logmel_max,logmel_std,logmel_p90,overlap_proxy_mean,overlap_proxy_max,overlap_proxy_std,overlap_proxy_p90,uncertainty_proxy_mean,uncertainty_proxy_max,uncertainty_proxy_std,uncertainty_proxy_p90,overlap_uncertainty_product
controlled_v1,controlled_route_sensitive_v1_0001,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0001.npy,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0001.png,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0001_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.375,0.3125,0.3125,clean_turn_taking,0.109136,1.0,0.168454,0.309804,0.365748,1.0,0.231919,0.713726,0.377099,0.964706,0.24007,0.741176,0.141584
controlled_v1,controlled_route_sensitive_v1_0002,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0002.npy,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0002.png,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0002_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.238095,0.095238,0.095238,clean_turn_taking,0.105706,1.0,0.174367,0.290196,0.401639,1.0,0.239555,0.776471,0.342004,0.964706,0.248929,0.698039,0.125725
controlled_v1,controlled_route_sensitive_v1_0003,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0003.npy,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0003.png,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0003_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.153846,0.0,0.0,clean_turn_taking,0.115124,1.0,0.175051,0.313726,0.353094,1.0,0.242406,0.705882,0.387056,0.984314,0.250854,0.772549,0.136301
controlled_v1,controlled_route_sensitive_v1_0004,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0004.npy,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0004.png,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0004_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.25,0.142857,0.142857,clean_turn_taking,0.108139,1.0,0.17272,0.305882,0.427374,1.0,0.247249,0.811765,0.346446,0.976471,0.251346,0.752941,0.1505
controlled_v1,controlled_route_sensitive_v1_0005,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0005.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0005_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.611111,0.388889,0.388889,clean_turn_taking,0.114291,1.0,0.180427,0.321569,0.403294,1.0,0.281606,0.886275,0.434819,1.0,0.249176,0.796078,0.168048
controlled_v1,controlled_route_sensitive_v1_0006,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0006.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0006_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.764706,0.470588,0.470588,clean_turn_taking,0.112154,1.0,0.187858,0.341176,0.382062,1.0,0.245975,0.760784,0.367708,1.0,0.2795,0.784314,0.142054
controlled_v1,controlled_route_sensitive_v1_0007,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0007.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0007_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,mixed,0.0,0.277778,0.277778,0.277778,clean_turn_taking,0.117647,1.0,0.179407,0.321569,0.396415,1.0,0.267683,0.8,0.336351,1.0,0.257934,0.72549,0.15153
controlled_v1,controlled_route_sensitive_v1_0008,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0008.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0008_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,1.0,0.173913,0.173913,clean_turn_taking,0.117141,1.0,0.185383,0.345098,0.399096,1.0,0.262379,0.847059,0.352114,1.0,0.281223,0.768627,0.150752
controlled_v1,controlled_route_sensitive_v1_0009,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0009.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0009_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.35,0.1,0.1,clean_turn_taking,0.102883,1.0,0.186238,0.32549,0.387332,1.0,0.241529,0.776471,0.287224,1.0,0.276911,0.701961,0.126319
controlled_v1,controlled_route_sensitive_v1_0010,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0010.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0010_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.258065,0.193548,0.193548,clean_turn_taking,0.111813,1.0,0.173849,0.313726,0.421262,1.0,0.221602,0.760784,0.365319,0.956863,0.238865,0.698039,0.159579
controlled_v1,controlled_route_sensitive_v1_0011,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0011.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0011_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.384615,0.282051,0.282051,clean_turn_taking,0.124412,1.0,0.176378,0.345098,0.419638,1.0,0.283648,0.905882,0.424939,0.968627,0.246173,0.74902,0.176647
controlled_v1,controlled_route_sensitive_v1_0012,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0012.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0012_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.458333,0.333333,0.333333,clean_turn_taking,0.105837,1.0,0.173987,0.301961,0.372963,1.0,0.202957,0.6,0.337806,0.956863,0.254497,0.713726,0.135757
controlled_v1,controlled_route_sensitive_v1_0013,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0013.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0013_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.636364,0.5,0.5,clean_turn_taking,0.115098,1.0,0.182644,0.337255,0.39398,1.0,0.229508,0.721569,0.367632,0.996078,0.259757,0.756863,0.15174
controlled_v1,controlled_route_sensitive_v1_0014,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0014.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0014_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.611111,0.277778,0.277778,clean_turn_taking,0.115894,1.0,0.184261,0.32549,0.38076,1.0,0.257471,0.764706,0.42163,1.0,0.261917,0.827451,0.172641
controlled_v1,controlled_route_sensitive_v1_0015,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0015.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0015_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,mixed,0.038461,0.269231,0.307692,0.307692,clean_turn_taking,0.122891,1.0,0.180199,0.345098,0.372656,1.0,0.255296,0.796078,0.384482,1.0,0.235783,0.776471,0.151749
controlled_v1,controlled_route_sensitive_v1_0016,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0016.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0016_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,mixed,0.052631,0.421053,0.473684,0.473684,clean_turn_taking,0.126525,1.0,0.183247,0.34902,0.40239,1.0,0.270605,0.827451,0.421967,0.996078,0.240966,0.764706,0.174889
controlled_v1,controlled_route_sensitive_v1_0017,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0017.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0017_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.458333,0.25,0.25,clean_turn_taking,0.121227,1.0,0.18602,0.352941,0.417754,1.0,0.234525,0.745098,0.445374,1.0,0.262151,0.792157,0.193783
controlled_v1,controlled_route_sensitive_v1_0018,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0018.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0018_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.178571,0.142857,0.142857,clean_turn_taking,0.125856,1.0,0.180812,0.341176,0.414507,1.0,0.255063,0.807843,0.420358,0.94902,0.239678,0.752941,0.177784
controlled_v1,controlled_route_sensitive_v1_0019,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0019.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0019_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.590909,0.318182,0.318182,clean_turn_taking,0.120226,1.0,0.18241,0.352941,0.441452,1.0,0.260005,0.878431,0.419838,1.0,0.2635,0.756863,0.177048
controlled_v1,controlled_route_sensitive_v1_0020,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0020.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0020_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.416667,0.25,0.25,clean_turn_taking,0.117572,1.0,0.187431,0.34902,0.374939,1.0,0.270996,0.839216,0.35936,1.0,0.249693,0.72549,0.130441
controlled_v1,controlled_route_sensitive_v1_0021,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0021.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0021_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.285714,0.190476,0.190476,clean_turn_taking,0.11664,1.0,0.176495,0.321569,0.416023,1.0,0.225748,0.788235,0.377175,0.964706,0.256699,0.768627,0.170833
controlled_v1,controlled_route_sensitive_v1_0022,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0022.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0022_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.324324,0.135135,0.135135,clean_turn_taking,0.118318,1.0,0.175072,0.321569,0.3678,1.0,0.253392,0.756863,0.370083,0.984314,0.241705,0.72549,0.131063
controlled_v1,controlled_route_sensitive_v1_0023,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0023.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0023_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,mixed,0.0,0.235294,0.235294,0.235294,clean_turn_taking,0.113265,1.0,0.172744,0.317647,0.388925,1.0,0.229023,0.745098,0.377543,0.956863,0.248819,0.741176,0.148922
controlled_v1,controlled_route_sensitive_v1_0024,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0024.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0024_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.826087,0.217391,0.217391,clean_turn_taking,0.124719,1.0,0.181528,0.34902,0.465778,0.992157,0.260859,0.933333,0.410478,0.976471,0.260687,0.760784,0.187203
controlled_v1,controlled_route_sensitive_v1_0025,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0025.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0025_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.526316,0.157895,0.157895,clean_turn_taking,0.118607,1.0,0.177142,0.313726,0.378202,1.0,0.237277,0.776471,0.469041,1.0,0.243593,0.796078,0.173898
controlled_v1,controlled_route_sensitive_v1_0026,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0026.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0026_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.722222,0.222222,0.222222,clean_turn_taking,0.129697,1.0,0.182563,0.352941,0.413955,1.0,0.236352,0.74902,0.450169,1.0,0.261403,0.8,0.178387
controlled_v1,controlled_route_sensitive_v1_0027,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0027.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0027_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.85,0.15,0.15,clean_turn_taking,0.143223,1.0,0.189591,0.388235,0.396354,1.0,0.254549,0.819608,0.435126,1.0,0.238576,0.772549,0.175669
controlled_v1,controlled_route_sensitive_v1_0028,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0028.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0028_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.625,0.5,0.5,short_backchannel,0.112726,1.0,0.185318,0.333333,0.329289,1.0,0.228718,0.654902,0.392479,1.0,0.264268,0.764706,0.130212
controlled_v1,controlled_route_sensitive_v1_0029,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0029.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0029_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,mixed,0.076923,0.192308,0.269231,0.269231,short_backchannel,0.115133,1.0,0.174564,0.321569,0.374066,1.0,0.26462,0.843137,0.33148,1.0,0.245968,0.713726,0.140575
controlled_v1,controlled_route_sensitive_v1_0030,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0030.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0030_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.608696,0.478261,0.478261,short_backchannel,0.123354,1.0,0.187415,0.364706,0.423514,1.0,0.276638,0.882353,0.368168,1.0,0.281409,0.796078,0.151707
controlled_v1,controlled_route_sensitive_v1_0031,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0031.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0031_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.263158,0.105263,0.105263,short_backchannel,0.103875,1.0,0.186222,0.321569,0.388848,1.0,0.243182,0.764706,0.290365,0.996078,0.276,0.721569,0.124877
controlled_v1,controlled_route_sensitive_v1_0032,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0032.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0032_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.290323,0.225806,0.225806,short_backchannel,0.111243,1.0,0.176261,0.32549,0.460892,1.0,0.249936,0.839216,0.336213,0.984314,0.247532,0.733333,0.167578
controlled_v1,controlled_route_sensitive_v1_0033,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0033.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0033_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.5,0.222222,0.222222,short_backchannel,0.120912,1.0,0.178969,0.329412,0.42932,1.0,0.273428,0.854902,0.420956,0.956863,0.244092,0.756863,0.16888
controlled_v1,controlled_route_sensitive_v1_0034,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0034.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0034_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.75,0.291667,0.291667,short_backchannel,0.116831,1.0,0.175934,0.321569,0.40337,1.0,0.234659,0.760784,0.385585,1.0,0.246648,0.721569,0.161355
controlled_v1,controlled_route_sensitive_v1_0035,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0035.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0035_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.761905,0.190476,0.190476,short_backchannel,0.110173,1.0,0.178583,0.305882,0.396415,1.0,0.237817,0.733333,0.34015,0.964706,0.255925,0.698039,0.138323
controlled_v1,controlled_route_sensitive_v1_0036,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0036.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0036_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.481481,0.185185,0.185185,short_backchannel,0.111666,1.0,0.175066,0.305882,0.391896,1.0,0.246037,0.768627,0.39882,0.992157,0.273511,0.796078,0.165837
controlled_v1,controlled_route_sensitive_v1_0037,resources/audiodepth_v2_maps/controlled_v1/controlled_route_sensitive_v1_0037.npy,,resources/controlled_route_sensitive_v1/audio/controlled_route_sensitive_v1_0037_mixed.wav,deployable_mixed_only,3x128x256,mixed_logmel,mixed_only_overlap_proxy,mixed_only_uncertainty_proxy,False,separated,0.0,0.285714,0.142857,0.142857,short_backchannel,0.11308,1.0,0.172825,0.314897,0.365135,1.0,0.251722,0.764706,0.37739,0.996078,0.23788,0.733333,0.130793
