sample_id,split,overlap_ratio,dominance_type,style,duration,reference_type,mixed_cer,separated_cer,cleaned_cer,oracle_route,oracle_cer,route_gap,separation_gain
controlled_route_sensitive_v1_0001,train,0.0,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,0.375,0.3125,0.3125,separated,0.3125,0.0,-0.0625
controlled_route_sensitive_v1_0002,train,0.1,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,0.238095,0.095238,0.095238,separated,0.095238,0.0,-0.142857
controlled_route_sensitive_v1_0003,train,0.2,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,0.153846,0.0,0.0,separated,0.0,0.0,-0.153846
controlled_route_sensitive_v1_0004,test,0.3,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,0.25,0.142857,0.142857,separated,0.142857,0.0,-0.107143
controlled_route_sensitive_v1_0005,test,0.4,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,0.611111,0.388889,0.388889,separated,0.388889,0.0,-0.222222
controlled_route_sensitive_v1_0006,test,0.5,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,0.764706,0.470588,0.470588,separated,0.470588,0.0,-0.294118
controlled_route_sensitive_v1_0007,train,0.6,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,0.277778,0.277778,0.277778,mixed,0.277778,0.0,0.0
controlled_route_sensitive_v1_0008,train,0.7,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,1.0,0.173913,0.173913,separated,0.173913,0.0,-0.826087
controlled_route_sensitive_v1_0009,test,0.8,speaker_A_dominant,clean_turn_taking,short,silver_plus_unverified,0.35,0.1,0.1,separated,0.1,0.0,-0.25
controlled_route_sensitive_v1_0010,train,0.0,speaker_B_dominant,clean_turn_taking,short,silver_plus_unverified,0.258065,0.193548,0.193548,separated,0.193548,0.0,-0.064517
controlled_route_sensitive_v1_0011,train,0.1,speaker_B_dominant,clean_turn_taking,short,silver_plus_unverified,0.384615,0.282051,0.282051,separated,0.282051,0.0,-0.102564
controlled_route_sensitive_v1_0012,dev,0.2,speaker_B_dominant,clean_turn_taking,short,silver_plus_unverified,0.458333,0.333333,0.333333,separated,0.333333,0.0,-0.125
controlled_route_sensitive_v1_0013,train,0.3,speaker_B_dominant,clean_turn_taking,short,silver_plus_unverified,0.636364,0.5,0.5,separated,0.5,0.0,-0.136364
controlled_route_sensitive_v1_0014,test,0.4,speaker_B_dominant,clean_turn_taking,short,silver_plus_unverified,0.611111,0.277778,0.277778,separated,0.277778,0.0,-0.333333
controlled_route_sensitive_v1_0015,test,0.5,speaker_B_dominant,clean_turn_taking,short,silver_plus_unverified,0.269231,0.307692,0.307692,mixed,0.269231,0.038461,0.038461
controlled_route_sensitive_v1_0016,test,0.6,speaker_B_dominant,clean_turn_taking,short,silver_plus_unverified,0.421053,0.473684,0.473684,mixed,0.421053,0.052631,0.052631
controlled_route_sensitive_v1_0017,train,0.7,speaker_B_dominant,clean_turn_taking,short,silver_plus_unverified,0.458333,0.25,0.25,separated,0.25,0.0,-0.208333
controlled_route_sensitive_v1_0018,test,0.8,speaker_B_dominant,clean_turn_taking,short,silver_plus_unverified,0.178571,0.142857,0.142857,separated,0.142857,0.0,-0.035714
controlled_route_sensitive_v1_0019,dev,0.0,balanced,clean_turn_taking,short,silver_plus_unverified,0.590909,0.318182,0.318182,separated,0.318182,0.0,-0.272727
controlled_route_sensitive_v1_0020,train,0.1,balanced,clean_turn_taking,short,silver_plus_unverified,0.416667,0.25,0.25,separated,0.25,0.0,-0.166667
controlled_route_sensitive_v1_0021,dev,0.2,balanced,clean_turn_taking,short,silver_plus_unverified,0.285714,0.190476,0.190476,separated,0.190476,0.0,-0.095238
controlled_route_sensitive_v1_0022,train,0.3,balanced,clean_turn_taking,short,silver_plus_unverified,0.324324,0.135135,0.135135,separated,0.135135,0.0,-0.189189
controlled_route_sensitive_v1_0023,train,0.4,balanced,clean_turn_taking,short,silver_plus_unverified,0.235294,0.235294,0.235294,mixed,0.235294,0.0,0.0
controlled_route_sensitive_v1_0024,train,0.5,balanced,clean_turn_taking,short,silver_plus_unverified,0.826087,0.217391,0.217391,separated,0.217391,0.0,-0.608696
controlled_route_sensitive_v1_0025,train,0.6,balanced,clean_turn_taking,short,silver_plus_unverified,0.526316,0.157895,0.157895,separated,0.157895,0.0,-0.368421
controlled_route_sensitive_v1_0026,test,0.7,balanced,clean_turn_taking,short,silver_plus_unverified,0.722222,0.222222,0.222222,separated,0.222222,0.0,-0.5
controlled_route_sensitive_v1_0027,test,0.8,balanced,clean_turn_taking,short,silver_plus_unverified,0.85,0.15,0.15,separated,0.15,0.0,-0.7
controlled_route_sensitive_v1_0028,train,0.0,speaker_A_dominant,short_backchannel,short,silver_plus_unverified,0.625,0.5,0.5,separated,0.5,0.0,-0.125
controlled_route_sensitive_v1_0029,dev,0.1,speaker_A_dominant,short_backchannel,short,silver_plus_unverified,0.192308,0.269231,0.269231,mixed,0.192308,0.076923,0.076923
controlled_route_sensitive_v1_0030,dev,0.2,speaker_A_dominant,short_backchannel,short,silver_plus_unverified,0.608696,0.478261,0.478261,separated,0.478261,0.0,-0.130435
controlled_route_sensitive_v1_0031,test,0.3,speaker_A_dominant,short_backchannel,short,silver_plus_unverified,0.263158,0.105263,0.105263,separated,0.105263,0.0,-0.157895
controlled_route_sensitive_v1_0032,train,0.4,speaker_A_dominant,short_backchannel,short,silver_plus_unverified,0.290323,0.225806,0.225806,separated,0.225806,0.0,-0.064517
