group,sample_count,mixed_cer,separated_cer,cleaned_cer,oracle_cer,mean_route_gap,mean_separation_gain,overlap_ratio
all,40,0.467818,0.260124,0.260124,0.255923,0.0042,-0.207694,
overlap_0.0,5,0.426938,0.293417,0.293417,0.293417,0.0,-0.13352,0.0
overlap_0.1,5,0.37967,0.255494,0.255494,0.24011,0.015385,-0.124176,0.1
overlap_0.2,5,0.43073,0.329826,0.329826,0.329826,0.0,-0.100904,0.2
overlap_0.3,5,0.328103,0.209984,0.209984,0.209984,0.0,-0.118118,0.3
overlap_0.4,4,0.43696,0.281942,0.281942,0.281942,0.0,-0.155018,0.4
overlap_0.5,4,0.590006,0.304473,0.304473,0.294858,0.009615,-0.285533,0.5
overlap_0.6,4,0.493787,0.300256,0.300256,0.287098,0.013158,-0.193531,0.6
overlap_0.7,4,0.735615,0.209153,0.209153,0.209153,0.0,-0.526462,0.7
overlap_0.8,4,0.465013,0.14451,0.14451,0.14451,0.0,-0.320502,0.8
