candidate_id,intended_family,expected_winner,overlap_ratio,dominance_type,stress_seed,final_rank
controlled_route_sensitive_v2_candidate_0001,mixed_win_anchor,mixed,0.0,balanced,13,37
controlled_route_sensitive_v2_candidate_0002,separated_win_anchor,separated,0.55,balanced,26,74
controlled_route_sensitive_v2_candidate_0003,cleaned_win_anchor,cleaned,0.25,balanced,39,111
controlled_route_sensitive_v2_candidate_0004,review_needed_anchor,review_needed,0.3,balanced,52,148
controlled_route_sensitive_v2_candidate_0005,mixed_win_anchor,mixed,0.05,balanced,65,185
controlled_route_sensitive_v2_candidate_0006,separated_win_anchor,separated,0.65,balanced,78,222
controlled_route_sensitive_v2_candidate_0007,cleaned_win_anchor,cleaned,0.35,balanced,91,19
controlled_route_sensitive_v2_candidate_0008,review_needed_anchor,review_needed,0.5,speaker_A_dominant,104,56
controlled_route_sensitive_v2_candidate_0009,mixed_win_anchor,mixed,0.1,speaker_A_dominant,117,93
controlled_route_sensitive_v2_candidate_0010,separated_win_anchor,separated,0.75,speaker_A_dominant,130,130
controlled_route_sensitive_v2_candidate_0011,cleaned_win_anchor,cleaned,0.45,speaker_A_dominant,143,167
controlled_route_sensitive_v2_candidate_0012,review_needed_anchor,review_needed,0.7,speaker_A_dominant,156,204
controlled_route_sensitive_v2_candidate_0013,mixed_win_anchor,mixed,0.15,speaker_A_dominant,169,1
controlled_route_sensitive_v2_candidate_0014,separated_win_anchor,separated,0.85,speaker_A_dominant,182,38
controlled_route_sensitive_v2_candidate_0015,cleaned_win_anchor,cleaned,0.55,speaker_B_dominant,195,75
controlled_route_sensitive_v2_candidate_0016,review_needed_anchor,review_needed,0.9,speaker_B_dominant,208,112
controlled_route_sensitive_v2_candidate_0017,mixed_win_anchor,mixed,0.0,speaker_B_dominant,221,149
controlled_route_sensitive_v2_candidate_0018,separated_win_anchor,separated,0.55,speaker_B_dominant,234,186
controlled_route_sensitive_v2_candidate_0019,cleaned_win_anchor,cleaned,0.25,speaker_B_dominant,247,223
controlled_route_sensitive_v2_candidate_0020,review_needed_anchor,review_needed,0.3,speaker_B_dominant,260,20
controlled_route_sensitive_v2_candidate_0021,mixed_win_anchor,mixed,0.05,speaker_B_dominant,273,57
controlled_route_sensitive_v2_candidate_0022,separated_win_anchor,separated,0.65,balanced,286,94
controlled_route_sensitive_v2_candidate_0023,cleaned_win_anchor,cleaned,0.35,balanced,299,131
controlled_route_sensitive_v2_candidate_0024,review_needed_anchor,review_needed,0.5,balanced,312,168
controlled_route_sensitive_v2_candidate_0025,mixed_win_anchor,mixed,0.1,balanced,325,205
controlled_route_sensitive_v2_candidate_0026,separated_win_anchor,separated,0.75,balanced,338,2
controlled_route_sensitive_v2_candidate_0027,cleaned_win_anchor,cleaned,0.45,balanced,351,39
controlled_route_sensitive_v2_candidate_0028,review_needed_anchor,review_needed,0.7,balanced,364,76
