sample_id,sample_runtime_sec,model_size
controlled_route_sensitive_v2_0001,5.7718,base
controlled_route_sensitive_v2_0002,1.3609,base
controlled_route_sensitive_v2_0003,1.4667,base
controlled_route_sensitive_v2_0004,1.6112,base
controlled_route_sensitive_v2_0005,2.3241,base
controlled_route_sensitive_v2_0006,3.3666,base
controlled_route_sensitive_v2_0007,1.3999,base
controlled_route_sensitive_v2_0008,1.226,base
controlled_route_sensitive_v2_0009,2.0082,base
controlled_route_sensitive_v2_0010,2.1137,base
controlled_route_sensitive_v2_0011,1.6685,base
controlled_route_sensitive_v2_0012,1.2998,base
controlled_route_sensitive_v2_0013,1.5826,base
controlled_route_sensitive_v2_0014,1.2064,base
controlled_route_sensitive_v2_0015,1.4707,base
controlled_route_sensitive_v2_0016,1.31,base
controlled_route_sensitive_v2_0017,1.4393,base
controlled_route_sensitive_v2_0018,5.8341,base
controlled_route_sensitive_v2_0019,1.347,base
controlled_route_sensitive_v2_0020,3.5341,base
controlled_route_sensitive_v2_0021,2.2382,base
controlled_route_sensitive_v2_0022,1.513,base
controlled_route_sensitive_v2_0023,1.4477,base
controlled_route_sensitive_v2_0024,1.7099,base
controlled_route_sensitive_v2_0025,1.5233,base
controlled_route_sensitive_v2_0026,1.8754,base
controlled_route_sensitive_v2_0027,1.5501,base
controlled_route_sensitive_v2_0028,1.2252,base
controlled_route_sensitive_v2_0029,2.7951,base
controlled_route_sensitive_v2_0030,1.3447,base
controlled_route_sensitive_v2_0031,3.0377,base
controlled_route_sensitive_v2_0032,1.2225,base
controlled_route_sensitive_v2_0033,3.2172,base
controlled_route_sensitive_v2_0034,5.3429,base
controlled_route_sensitive_v2_0035,1.5975,base
controlled_route_sensitive_v2_0036,1.1759,base
controlled_route_sensitive_v2_0037,3.4991,base
controlled_route_sensitive_v2_0038,1.4153,base
controlled_route_sensitive_v2_0039,4.2255,base
controlled_route_sensitive_v2_0040,6.1208,base
controlled_route_sensitive_v2_0041,6.4462,base
controlled_route_sensitive_v2_0042,2.8714,base
controlled_route_sensitive_v2_0043,1.9934,base
controlled_route_sensitive_v2_0044,1.215,base
controlled_route_sensitive_v2_0045,5.1966,base
controlled_route_sensitive_v2_0046,1.4719,base
controlled_route_sensitive_v2_0047,1.4242,base
controlled_route_sensitive_v2_0048,1.2043,base
controlled_route_sensitive_v2_0049,3.4491,base
controlled_route_sensitive_v2_0050,3.373,base
controlled_route_sensitive_v2_0051,1.5104,base
controlled_route_sensitive_v2_0052,1.2667,base
controlled_route_sensitive_v2_0053,2.4892,base
controlled_route_sensitive_v2_0054,1.5422,base
controlled_route_sensitive_v2_0055,1.6165,base
controlled_route_sensitive_v2_0056,1.1612,base
controlled_route_sensitive_v2_0057,1.5503,base
controlled_route_sensitive_v2_0058,1.4876,base
controlled_route_sensitive_v2_0059,1.325,base
controlled_route_sensitive_v2_0060,1.2563,base
__total__,135.2691,base
