checklist_order,current_frontier,prerequisite_artifact,receipt_target,checklist_goal,map_note,next_gate
1,meeteval_compatibility,results/figures/meeteval_cpwer_bridge_handoff.md,results/tables/meeteval_cpwer_bridge_receipt.json,Verify the receipt map entry for meeteval_compatibility before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
2,external_validation,results/figures/external_validation_prioritization.md,results/tables/external_validation_slice_receipt.json,Verify the receipt map entry for external_validation before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
3,speaker_profile,results/figures/speaker_profile_triage.md,results/tables/speaker_profile_method_receipt.json,Verify the receipt map entry for speaker_profile before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
4,llm_critic,results/figures/llm_critic_review_queue.md,results/tables/llm_critic_review_receipt.json,Verify the receipt map entry for llm_critic before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
5,demo_excellence,results/figures/demo_walkthrough.md,results/tables/demo_walkthrough_receipt.json,Verify the receipt map entry for demo_excellence before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
6,wave1_error_type_boundary_report,,,Verify the receipt map entry for wave1_error_type_boundary_report before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
7,wave1_frontier_boundary_consolidated_report,,,Verify the receipt map entry for wave1_frontier_boundary_consolidated_report before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
8,wave1_router_boundary_alignment,,,Verify the receipt map entry for wave1_router_boundary_alignment before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
9,wave1_separation_phase_diagram,,,Verify the receipt map entry for wave1_separation_phase_diagram before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
10,wave1_speaker_profile_spectral_baseline,,,Verify the receipt map entry for wave1_speaker_profile_spectral_baseline before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
11,wave2_cascade_boundary_bridge,,,Verify the receipt map entry for wave2_cascade_boundary_bridge before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
12,wave2_llm_critic_qualitative_brief_light_mid,,,Verify the receipt map entry for wave2_llm_critic_qualitative_brief_light_mid before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
13,wave2_meeteval_gold_cer_cpwer_reconciliation,,,Verify the receipt map entry for wave2_meeteval_gold_cer_cpwer_reconciliation before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
14,wave2_risk_aware_boundary_audit,,,Verify the receipt map entry for wave2_risk_aware_boundary_audit before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
15,wave2_speaker_profile_multisignal_gold_sweep,,,Verify the receipt map entry for wave2_speaker_profile_multisignal_gold_sweep before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
16,wave2_synthetic_router_boundary_alignment,,,Verify the receipt map entry for wave2_synthetic_router_boundary_alignment before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
17,wave3_external_validation_aishell4_excerpt_fetch,,,Verify the receipt map entry for wave3_external_validation_aishell4_excerpt_fetch before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
18,wave3_external_validation_audio_excerpt_staging_plan,,,Verify the receipt map entry for wave3_external_validation_audio_excerpt_staging_plan before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
19,wave3_external_validation_license_confirmation,,,Verify the receipt map entry for wave3_external_validation_license_confirmation before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
20,wave3_external_validation_mini_sanity_check,,,Verify the receipt map entry for wave3_external_validation_mini_sanity_check before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
21,wave3_external_validation_narrow_audio_eval,,,Verify the receipt map entry for wave3_external_validation_narrow_audio_eval before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
22,wave3_external_validation_narrow_audio_eval_receipt,,,Verify the receipt map entry for wave3_external_validation_narrow_audio_eval_receipt before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
23,wave3_external_validation_staging_execution_receipt_fill,,,Verify the receipt map entry for wave3_external_validation_staging_execution_receipt_fill before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
24,wave4_demo_presentation_writeback,,,Verify the receipt map entry for wave4_demo_presentation_writeback before opening the next frontier artifact.,"Open the prerequisite artifact first, then use the receipt target for writeback.",Confirm this map row before moving to the next receipt path.
