checklist_order,frontier_id,status,evidence_path,expected_output,next_step,checklist_goal,status_note,next_gate
1,speaker_profile,documented_skill,docs/skills/skill_03_speaker_profile_voiceprint.md,speaker profile triage card,Use the triage card to justify a stronger profile method while keeping the signal scoped to risk detection.,Verify the frontier status entry for speaker_profile before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
2,meeteval_compatibility,documented_skill,docs/skills/skill_04_meeteval_compatibility.md,MeetEval readiness card,Use the readiness card to stage one narrow dry run before claiming any benchmark bridge.,Verify the frontier status entry for meeteval_compatibility before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
3,llm_critic,documented_skill,docs/skills/skill_05_agentic_llm_critic.md,qualitative critic queue,Use the review queue to decide which critic-style review queue item should be read first.,Verify the frontier status entry for llm_critic before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
4,external_validation,documented_skill,docs/ambitious_research_agenda.md,external sanity-check prioritization card,Use the prioritization card to map one tiny sanity-check slice without claiming a completed benchmark.,Verify the frontier status entry for external_validation before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
5,demo_excellence,documented_skill,docs/skills/skill_06_github_demo_excellence.md,demo-facing storyboard or walkthrough,Use the demo walkthrough to shape a short demo walk before any heavier app build.,Verify the frontier status entry for demo_excellence before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
6,wave1_separation_phase_diagram,module_present,src/separation_phase_diagram.py,results/figures/separation_phase_diagram.md,Run python -m src.separation_phase_diagram to refresh experimental/frontier phase outputs.,Verify the frontier status entry for wave1_separation_phase_diagram before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
7,wave1_router_boundary_alignment,module_present,src/router_boundary_alignment.py,results/figures/router_boundary_alignment.md,Run python -m src.router_boundary_alignment to audit router v2 against gold phase boundaries.,Verify the frontier status entry for wave1_router_boundary_alignment before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
8,wave1_error_type_boundary_report,module_present,src/error_type_boundary_report.py,results/figures/error_type_boundary_report.md,Run python -m src.error_type_boundary_report to explain separation harm via error types.,Verify the frontier status entry for wave1_error_type_boundary_report before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
9,wave1_speaker_profile_spectral_baseline,module_present,src/speaker_profile_spectral_embedding_baseline.py,results/figures/speaker_profile_spectral_embedding_baseline.md,Run python -m src.speaker_profile_spectral_embedding_baseline for the NoOverlap narrow baseline.,Verify the frontier status entry for wave1_speaker_profile_spectral_baseline before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
10,wave1_frontier_boundary_consolidated_report,module_present,src/frontier_boundary_consolidated_report.py,results/figures/frontier_boundary_consolidated_report.md,Run python -m src.frontier_boundary_consolidated_report to merge Wave1 boundary findings.,Verify the frontier status entry for wave1_frontier_boundary_consolidated_report before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
