pair_id,source_utterance_ids,low_sample_id,high_sample_id,low_overlap_ratio,high_overlap_ratio,pair_type
controlled_route_sensitive_v2_0001__controlled_route_sensitive_v2_0017,not_exact_counterfactual,controlled_route_sensitive_v2_0001,controlled_route_sensitive_v2_0017,0.0,0.0,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0017__controlled_route_sensitive_v2_0033,not_exact_counterfactual,controlled_route_sensitive_v2_0017,controlled_route_sensitive_v2_0033,0.0,0.0,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0033__controlled_route_sensitive_v2_0049,not_exact_counterfactual,controlled_route_sensitive_v2_0033,controlled_route_sensitive_v2_0049,0.0,0.0,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0049__controlled_route_sensitive_v2_0005,not_exact_counterfactual,controlled_route_sensitive_v2_0049,controlled_route_sensitive_v2_0005,0.0,0.05,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0005__controlled_route_sensitive_v2_0021,not_exact_counterfactual,controlled_route_sensitive_v2_0005,controlled_route_sensitive_v2_0021,0.05,0.05,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0021__controlled_route_sensitive_v2_0037,not_exact_counterfactual,controlled_route_sensitive_v2_0021,controlled_route_sensitive_v2_0037,0.05,0.05,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0037__controlled_route_sensitive_v2_0053,not_exact_counterfactual,controlled_route_sensitive_v2_0037,controlled_route_sensitive_v2_0053,0.05,0.05,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0053__controlled_route_sensitive_v2_0009,not_exact_counterfactual,controlled_route_sensitive_v2_0053,controlled_route_sensitive_v2_0009,0.05,0.1,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0009__controlled_route_sensitive_v2_0025,not_exact_counterfactual,controlled_route_sensitive_v2_0009,controlled_route_sensitive_v2_0025,0.1,0.1,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0025__controlled_route_sensitive_v2_0041,not_exact_counterfactual,controlled_route_sensitive_v2_0025,controlled_route_sensitive_v2_0041,0.1,0.1,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0041__controlled_route_sensitive_v2_0057,not_exact_counterfactual,controlled_route_sensitive_v2_0041,controlled_route_sensitive_v2_0057,0.1,0.1,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0057__controlled_route_sensitive_v2_0013,not_exact_counterfactual,controlled_route_sensitive_v2_0057,controlled_route_sensitive_v2_0013,0.1,0.15,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0013__controlled_route_sensitive_v2_0029,not_exact_counterfactual,controlled_route_sensitive_v2_0013,controlled_route_sensitive_v2_0029,0.15,0.15,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0029__controlled_route_sensitive_v2_0045,not_exact_counterfactual,controlled_route_sensitive_v2_0029,controlled_route_sensitive_v2_0045,0.15,0.15,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0003__controlled_route_sensitive_v2_0019,not_exact_counterfactual,controlled_route_sensitive_v2_0003,controlled_route_sensitive_v2_0019,0.25,0.25,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0019__controlled_route_sensitive_v2_0035,not_exact_counterfactual,controlled_route_sensitive_v2_0019,controlled_route_sensitive_v2_0035,0.25,0.25,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0035__controlled_route_sensitive_v2_0051,not_exact_counterfactual,controlled_route_sensitive_v2_0035,controlled_route_sensitive_v2_0051,0.25,0.25,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0004__controlled_route_sensitive_v2_0020,not_exact_counterfactual,controlled_route_sensitive_v2_0004,controlled_route_sensitive_v2_0020,0.3,0.3,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0020__controlled_route_sensitive_v2_0036,not_exact_counterfactual,controlled_route_sensitive_v2_0020,controlled_route_sensitive_v2_0036,0.3,0.3,family_level_proxy_not_same_source
controlled_route_sensitive_v2_0036__controlled_route_sensitive_v2_0052,not_exact_counterfactual,controlled_route_sensitive_v2_0036,controlled_route_sensitive_v2_0052,0.3,0.3,family_level_proxy_not_same_source
