base_sample_id,family,case_count,monotonic_consistent,pairwise_ordering_accuracy,spearman,prediction_flip_rate,map_stability,first_route,last_route,metric_min,metric_max
controlled_route_sensitive_v2_0002,backchannel_duration,4,True,1.0,1.0,0.0,0.986052,mixed,mixed,0.12835,0.165613
controlled_route_sensitive_v2_0002,dominance_sdr_sweep,5,False,0.5,0.1,0.0,0.994186,mixed,mixed,0.192274,0.20897
controlled_route_sensitive_v2_0002,gain_noise,3,True,1.0,1.0,0.0,0.951197,mixed,mixed,0.35837,0.483806
controlled_route_sensitive_v2_0002,overlap_sweep,7,True,1.0,1.0,0.166667,0.808331,mixed,separated,0.048189,0.748189
controlled_route_sensitive_v2_0002,time_shift,4,True,1.0,0.0,0.0,1.0,mixed,mixed,0.192757,0.192757
controlled_route_sensitive_v2_0008,backchannel_duration,4,True,1.0,1.0,0.0,0.972081,mixed,mixed,0.260614,0.336276
controlled_route_sensitive_v2_0008,dominance_sdr_sweep,5,True,1.0,1.0,0.0,0.961937,mixed,mixed,0.282413,0.392206
controlled_route_sensitive_v2_0008,gain_noise,3,True,1.0,1.0,0.0,0.967074,mixed,mixed,0.812116,0.895318
controlled_route_sensitive_v2_0008,overlap_sweep,7,True,1.0,1.0,0.0,0.808331,mixed,mixed,0.11896,0.81896
controlled_route_sensitive_v2_0008,time_shift,4,True,1.0,0.0,0.0,1.0,mixed,mixed,0.47584,0.47584
controlled_route_sensitive_v2_0013,backchannel_duration,4,True,1.0,1.0,0.0,0.97625,mixed,mixed,0.220742,0.284829
controlled_route_sensitive_v2_0013,dominance_sdr_sweep,5,True,1.0,1.0,0.0,0.976793,mixed,mixed,0.351141,0.417074
controlled_route_sensitive_v2_0013,gain_noise,3,True,1.0,1.0,0.0,0.963859,mixed,mixed,0.640467,0.731926
controlled_route_sensitive_v2_0013,overlap_sweep,7,True,1.0,1.0,0.0,0.808331,mixed,mixed,0.088909,0.788909
controlled_route_sensitive_v2_0013,time_shift,4,True,1.0,0.0,0.0,1.0,mixed,mixed,0.355638,0.355638
controlled_route_sensitive_v2_0024,backchannel_duration,4,True,1.0,1.0,0.0,0.96797,mixed,mixed,0.300253,0.387423
controlled_route_sensitive_v2_0024,dominance_sdr_sweep,5,True,1.0,1.0,0.0,0.964814,mixed,mixed,0.274535,0.377274
controlled_route_sensitive_v2_0024,gain_noise,3,True,1.0,1.0,0.0,0.965074,mixed,mixed,0.833367,0.92178
controlled_route_sensitive_v2_0024,overlap_sweep,7,True,1.0,1.0,0.0,0.808331,mixed,mixed,0.111486,0.811486
controlled_route_sensitive_v2_0024,time_shift,4,True,1.0,0.0,0.0,1.0,mixed,mixed,0.445944,0.445944
controlled_route_sensitive_v2_0030,backchannel_duration,4,True,1.0,1.0,0.0,0.986802,mixed,mixed,0.121361,0.156595
controlled_route_sensitive_v2_0030,dominance_sdr_sweep,5,True,1.0,1.0,0.0,0.982569,mixed,mixed,0.242042,0.291333
controlled_route_sensitive_v2_0030,gain_noise,3,True,1.0,1.0,0.0,0.952,mixed,mixed,0.34455,0.467753
controlled_route_sensitive_v2_0030,overlap_sweep,7,True,1.0,1.0,0.0,0.808331,mixed,mixed,0.046989,0.746989
controlled_route_sensitive_v2_0030,time_shift,4,True,1.0,0.0,0.0,1.0,mixed,mixed,0.187955,0.187955
controlled_route_sensitive_v2_0036,backchannel_duration,4,True,1.0,1.0,0.0,0.97409,mixed,mixed,0.241357,0.311428
controlled_route_sensitive_v2_0036,dominance_sdr_sweep,5,True,1.0,1.0,0.0,0.96719,mixed,mixed,0.233031,0.327565
controlled_route_sensitive_v2_0036,gain_noise,3,True,1.0,1.0,0.0,0.963684,mixed,mixed,0.752922,0.84498
controlled_route_sensitive_v2_0036,overlap_sweep,7,True,1.0,1.0,0.0,0.808331,mixed,mixed,0.110373,0.810373
controlled_route_sensitive_v2_0036,time_shift,4,True,1.0,0.0,0.0,1.0,mixed,mixed,0.441494,0.441494
