pair_id,source_utterance_ids,low_sample_id,high_sample_id,low_overlap_ratio,high_overlap_ratio,pair_type,low_mixed_only_overlap_proxy_mean,high_mixed_only_overlap_proxy_mean,overlap_proxy_monotonic,dominance_changed,interpretation
controlled_route_sensitive_v2_0001__controlled_route_sensitive_v2_0017,not_exact_counterfactual,controlled_route_sensitive_v2_0001,controlled_route_sensitive_v2_0017,0.0,0.0,family_level_proxy_not_same_source,0.36201,0.327727,False,True,proxy_pair_only
controlled_route_sensitive_v2_0017__controlled_route_sensitive_v2_0033,not_exact_counterfactual,controlled_route_sensitive_v2_0017,controlled_route_sensitive_v2_0033,0.0,0.0,family_level_proxy_not_same_source,0.327727,0.349755,True,True,proxy_pair_only
controlled_route_sensitive_v2_0033__controlled_route_sensitive_v2_0049,not_exact_counterfactual,controlled_route_sensitive_v2_0033,controlled_route_sensitive_v2_0049,0.0,0.0,family_level_proxy_not_same_source,0.349755,0.343949,False,True,proxy_pair_only
controlled_route_sensitive_v2_0049__controlled_route_sensitive_v2_0005,not_exact_counterfactual,controlled_route_sensitive_v2_0049,controlled_route_sensitive_v2_0005,0.0,0.05,family_level_proxy_not_same_source,0.343949,0.325613,False,False,proxy_pair_only
controlled_route_sensitive_v2_0005__controlled_route_sensitive_v2_0021,not_exact_counterfactual,controlled_route_sensitive_v2_0005,controlled_route_sensitive_v2_0021,0.05,0.05,family_level_proxy_not_same_source,0.325613,0.416927,True,True,proxy_pair_only
controlled_route_sensitive_v2_0021__controlled_route_sensitive_v2_0037,not_exact_counterfactual,controlled_route_sensitive_v2_0021,controlled_route_sensitive_v2_0037,0.05,0.05,family_level_proxy_not_same_source,0.416927,0.368183,False,False,proxy_pair_only
controlled_route_sensitive_v2_0037__controlled_route_sensitive_v2_0053,not_exact_counterfactual,controlled_route_sensitive_v2_0037,controlled_route_sensitive_v2_0053,0.05,0.05,family_level_proxy_not_same_source,0.368183,0.368474,True,True,proxy_pair_only
controlled_route_sensitive_v2_0053__controlled_route_sensitive_v2_0009,not_exact_counterfactual,controlled_route_sensitive_v2_0053,controlled_route_sensitive_v2_0009,0.05,0.1,family_level_proxy_not_same_source,0.368474,0.428952,True,False,proxy_pair_only
controlled_route_sensitive_v2_0009__controlled_route_sensitive_v2_0025,not_exact_counterfactual,controlled_route_sensitive_v2_0009,controlled_route_sensitive_v2_0025,0.1,0.1,family_level_proxy_not_same_source,0.428952,0.410248,False,True,proxy_pair_only
controlled_route_sensitive_v2_0025__controlled_route_sensitive_v2_0041,not_exact_counterfactual,controlled_route_sensitive_v2_0025,controlled_route_sensitive_v2_0041,0.1,0.1,family_level_proxy_not_same_source,0.410248,0.347917,False,True,proxy_pair_only
controlled_route_sensitive_v2_0041__controlled_route_sensitive_v2_0057,not_exact_counterfactual,controlled_route_sensitive_v2_0041,controlled_route_sensitive_v2_0057,0.1,0.1,family_level_proxy_not_same_source,0.347917,0.384758,True,False,proxy_pair_only
controlled_route_sensitive_v2_0057__controlled_route_sensitive_v2_0013,not_exact_counterfactual,controlled_route_sensitive_v2_0057,controlled_route_sensitive_v2_0013,0.1,0.15,family_level_proxy_not_same_source,0.384758,0.395466,True,True,proxy_pair_only
controlled_route_sensitive_v2_0013__controlled_route_sensitive_v2_0029,not_exact_counterfactual,controlled_route_sensitive_v2_0013,controlled_route_sensitive_v2_0029,0.15,0.15,family_level_proxy_not_same_source,0.395466,0.448146,True,False,proxy_pair_only
controlled_route_sensitive_v2_0029__controlled_route_sensitive_v2_0045,not_exact_counterfactual,controlled_route_sensitive_v2_0029,controlled_route_sensitive_v2_0045,0.15,0.15,family_level_proxy_not_same_source,0.448146,0.353646,False,True,proxy_pair_only
controlled_route_sensitive_v2_0003__controlled_route_sensitive_v2_0019,not_exact_counterfactual,controlled_route_sensitive_v2_0003,controlled_route_sensitive_v2_0019,0.25,0.25,family_level_proxy_not_same_source,0.591651,0.648591,True,True,proxy_pair_only
controlled_route_sensitive_v2_0019__controlled_route_sensitive_v2_0035,not_exact_counterfactual,controlled_route_sensitive_v2_0019,controlled_route_sensitive_v2_0035,0.25,0.25,family_level_proxy_not_same_source,0.648591,0.706173,True,True,proxy_pair_only
controlled_route_sensitive_v2_0035__controlled_route_sensitive_v2_0051,not_exact_counterfactual,controlled_route_sensitive_v2_0035,controlled_route_sensitive_v2_0051,0.25,0.25,family_level_proxy_not_same_source,0.706173,0.644884,False,False,proxy_pair_only
controlled_route_sensitive_v2_0004__controlled_route_sensitive_v2_0020,not_exact_counterfactual,controlled_route_sensitive_v2_0004,controlled_route_sensitive_v2_0020,0.3,0.3,family_level_proxy_not_same_source,0.615441,0.639782,True,True,proxy_pair_only
controlled_route_sensitive_v2_0020__controlled_route_sensitive_v2_0036,not_exact_counterfactual,controlled_route_sensitive_v2_0020,controlled_route_sensitive_v2_0036,0.3,0.3,family_level_proxy_not_same_source,0.639782,0.554887,False,False,proxy_pair_only
controlled_route_sensitive_v2_0036__controlled_route_sensitive_v2_0052,not_exact_counterfactual,controlled_route_sensitive_v2_0036,controlled_route_sensitive_v2_0052,0.3,0.3,family_level_proxy_not_same_source,0.554887,0.562132,True,True,proxy_pair_only
